Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
1,Vingadores - Guerra infinita,Disney,EUA,4/26/2018,2.400,708,35,14.587.731
2,Nada a perder,DT/Paris,Brasil,3/29/2018,1.176,675,33,11.986.011
3,"Incríveis 2, Os",Disney,EUA,6/28/2018,1.686,701,19,9.881.675
4,Pantera Negra,Disney,EUA,2/15/2018,1.460,611,44,7.488.265
5,Aquaman,Warner,EUA,12/13/2018,1.840,711,3,5.674.656
6,Hotel Transilvânia 3 - Férias monstruosas,Sony,EUA,7/12/2018,1.210,628,25,5.410.608
7,Jurassic World - Reino ameaçado,Universal,EUA,6/21/2018,1.518,695,28,5.325.016
8,"Freira, A",Warner,EUA,9/6/2018,1.396,677,14,5.294.350
9,Jumanji: Bem-vindo à selva,Sony,EUA,1/4/2018,1.035,567,43,4.798.832
10,Deadpool 2,Fox,EUA,5/17/2018,1.569,674,9,4.647.277
11,Venom (2018),Sony,EUA,10/4/2018,1.553,665,11,4.624.605
12,Cinquenta tons de liberdade,Universal,EUA,2/8/2018,1.620,662,11,4.360.741
13,Animais fantásticos - Os crimes de Grindelwald,Warner,EUA/ Reino Unido,11/15/2018,1.541,681,7,3.557.014
14,"Touro Ferdinando, O",Disney,EUA,1/11/2018,1.006,601,49,3.465.627
15,Homem-Formiga e a Vespa (2015),Disney,EUA,7/5/2018,1.558,664,24,3.281.910
16,Bohemian Rhapsody,Disney,EUA,11/1/2018,719,475,9,2.917.786
17,Extraordinário,Paris,EUA,12/7/2017,879,539,56,2.880.667
18,"Farofeiros, Os",DT/Paris,Brasil,3/8/2018,728,543,40,2.629.399
19,Missão: Impossivel - Efeito Fallout,Paramount,EUA,7/26/2018,1.357,627,11,2.575.024
20,"Fala sério, mãe!",DT/Paris,Brasil,12/28/2017,682,521,49,2.418.001
21,Viva - A vida é uma festa,Disney,EUA,1/4/2018,630,382,51,1.987.695
22,Megatubarão,Warner,EUA,8/9/2018,931,552,17,1.893.848
23,"Grinch, O",Universal,EUA,11/8/2018,964,577,8,1.516.481
24,"Lugar silencioso, Um",Paramount,EUA,4/5/2018,605,467,12,1.506.428
25,PéPequeno,Warner,EUA,9/27/2018,976,627,13,1.500.582
26,Maze Runner - A cura mortal,Fox,EUA,1/25/2018,1.058,576,12,1.453.897
27,Nasce uma estrela,Warner,EUA,10/11/2018,553,334,12,1.405.581
28,Rampage - Destruição total,Warner,EUA,4/12/2018,1.031,595,9,1.348.937
29,Oito mulheres e um segredo,Warner,Ucrânia/ Holanda,6/7/2018,700,527,12,1.303.554
30,Tudo por um popstar,DT/Paris,Brasil,10/11/2018,577,495,12,1.191.512
31,Jogador nº 1,Warner,EUA,3/29/2018,798,509,10,1.164.857
32,Halloween (2018),Universal,EUA,10/25/2018,913,582,9,1.129.383
33,Sobrenatural - A última chave,Sony,EUA,1/18/2018,592,475,28,1.077.746
34,"Jovens titãs em ação! Nos cinemas, Os",Warner,EUA,8/30/2018,745,540,17,1.020.046
35,Arranha-céu - Coragem sem limite,Universal,EUA,7/12/2018,855,539,8,955.888
36,Pedro coelho,Sony,EUA,3/22/2018,740,544,39,940.604
37,Minha vida em Marte,DT/Paris,Brasil,12/27/2018,933,539,1,925.042
38,Tomb Raider - A origem,Warner,EUA,3/15/2018,991,592,12,904.294
39,Robin Hood - A origem,Paris,EUA,11/29/2018,605,530,5,889.900
40,Detetives do Prédio Azul 2 - O mistério italiano,DT/Paris,Brasil,12/20/2018,1.054,558,2,879.716
41,"Forma da água, A",Fox,EUA,2/1/2018,206,155,38,871.667
42,"Quebra-Nozes e os quatro reinos, O",Disney,EUA,11/1/2018,835,571,9,857.299
43,Círculo de fogo - A revolta,Universal,EUA,3/22/2018,844,533,13,855.144
