Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
44,"Protetor 2, O",Sony,EUA,8/16/2018,693,535,8,852.776
45,Mamma Mia! Lá vamos nós de novo!,Universal,EUA,8/2/2018,635,450,13,810.046
46,"Predador, O",Fox,EUA,9/13/2018,830,541,10,809.387
47,Paulo - Apóstolo de Cristo,Sony,EUA,5/3/2018,477,394,22,776.616
48,"Maldição da casa Winchester, A",Paris,EUA/Austrália,3/1/2018,457,397,8,729.351
49,Bumblebee,Paramount,EUA,12/25/2018,1.045,591,1,722.575
50,Han Solo - Uma história Star Wars,Disney,EUA,5/24/2018,1.327,594,7,711.337
51,"Quase dupla, Uma",DT/Paris,Brasil,7/19/2018,445,371,23,643.092
52,"Candidato honesto 2, O",DT/Paris,Brasil,8/30/2018,738,524,17,588.369
53,Star Wars - Os últimos jedi,Disney,EUA,12/14/2017,1.646,666,17,565.343
54,Alfa,Sony,EUA,9/6/2018,471,417,12,510.144
55,Gnomeu e Julieta - O mistério do jardim,Paramount,EUA,5/31/2018,601,488,28,509.530
56,Verdade ou desafio,Universal,EUA,5/3/2018,446,349,9,502.371
57,Crô em família,Imagem,Brasil,9/6/2018,613,455,16,484.443
58,The Post - A guerra secreta,Universal,EUA,1/25/2018,248,211,26,476.775
59,Slender man - Pesadelo sem rosto,Sony,EUA,8/23/2018,557,481,9,472.627
60,Cadáver,Sony,EUA,11/29/2018,483,402,5,437.757
61,"Destino de uma nação, O",Universal,Reino Unido,1/11/2018,183,153,47,413.632
62,Três anúncios para um crime,Fox,EUA,2/15/2018,115,100,35,393.042
63,"Mistério do relógio na parede, O",Universal,EUA,9/20/2018,414,360,13,379.548
64,"Que de verdade importa, O",Anagrama Filmes,Espanha/ EUA,9/27/2018,462,374,10,350.708
65,Operação Red Sparrow,Fox,EUA,3/1/2018,304,269,10,346.072
66,Goosebumps 2: Halloween assombrado,Sony,EUA,10/11/2018,436,384,9,338.358
67,"Passageiro, O",Imagem/California,EUA,3/8/2018,406,370,13,332.242
68,De repente uma familia,Paramount,EUA,11/29/2018,429,372,5,330.051
69,"Com amor, Simon",Fox,EUA,4/5/2018,396,336,7,325.021
70,"Rei do show, O",Fox,EUA,12/25/2017,498,388,22,319.676
71,Exorcismos e demônios,Imagem/California,EUA,4/19/2018,447,377,10,308.960
72,"Primeiro homem, O",Universal,Ucrânia/ Holanda,10/18/2018,468,373,6,302.439
73,"Parças, Os",DT/Paris,Brasil,11/30/2017,335,245,50,301.440
74,Não se aceitam devoluções,Fox,Brasil,5/31/2018,494,412,27,299.986
75,Christopher Robin - Um reencontro inesquecível,Disney,EUA,8/16/2018,305,263,19,295.598
76,"Retorno de Mary Poppins, O",Disney,EUA,12/20/2018,675,462,2,282.256
77,"Doutrinador, O",DT/Paris,Brasil,11/1/2018,471,431,9,281.735
78,Deus não está morto - Uma luz na escuridão,California,EUA,8/30/2018,292,248,11,273.949
79,Paddington 2,Imagem,Reino Unido,2/1/2018,666,471,43,273.502
80,Eu só posso imaginar,Paris,EUA,5/31/2018,473,412,11,252.319
81,Hereditário,Diamond,EUA,6/21/2018,465,413,15,251.437
82,Encantado (2018),Imagem,Canadá/ EUA,12/6/2018,602,480,4,243.174
83,Vidas à deriva,Diamond,EUA,8/9/2018,509,426,21,236.189
84,Liga da Justiça,Warner,EUA,11/15/2017,1.673,684,57,230.370
85,No olho do furacão,Imagem/California,EUA,6/7/2018,397,361,4,225.705
86,"Casa do medo - Incidente em Ghostland, A",Paris,França/Canadá,10/18/2018,294,264,8,223.841
87,Fúria em alto mar,Imagem/California,EUA,10/25/2018,397,361,7,222.265
88,Buscando...,Sony,EUA,9/20/2018,240,186,12,220.675
89,Maria Madalena,Universal,Reino Unido,3/15/2018,392,370,13,204.333
90,"Noite do jogo, A",Warner,EUA,5/10/2018,394,287,6,202.207
91,"Parque do inferno, O",Paris,EUA,11/22/2018,297,270,4,199.055
92,Operação Overlord,Paramount,EUA,11/8/2018,429,290,5,198.613
93,Millennium - A garota na teia de aranha,Sony,EUA,11/8/2018,354,279,7,194.749
94,"Chamado do mal, O",Imagem,EUA,12/6/2018,410,354,3,194.645
95,Entrevista com Deus,Imagem,Ucrânia/ Holanda,11/15/2018,249,210,7,193.307
96,Duda e os gnomos,Imagem,EUA,3/1/2018,430,374,43,186.417
97,Mentes sombrias,Fox,EUA,8/16/2018,280,233,4,179.157
98,"Exterminadores do além - Contra a loira do banheiro, Os",Galeria Distribuidora,Brasil,11/29/2018,349,303,5,173.437
99,Me chame pelo seu nome,Sony,França/ Itália,1/18/2018,62,49,14,169.651
100,Do jeito que elas querem (2018),Paris,EUA,6/14/2018,274,250,15,163.323
101,"Dobra no tempo, Uma",Disney,EUA,3/29/2018,312,254,35,155.966
102,Meu ex é um espião,Paris,EUA,8/23/2018,343,320,15,154.845
103,"Primeira noite de crime, A",Universal,EUA,9/27/2018,135,121,7,153.377
104,"Viúvas, As",Fox,EUA,11/29/2018,253,197,5,150.789
105,Fátima - O último mistério,Coragem Distribuidora,Espanha,8/9/2018,34,34,20,145.201
106,"Pequeno favor, Um",Paris,EUA,9/27/2018,185,162,6,140.084
107,"Homem das cavernas, O",Paris,Reino Unido,4/5/2018,255,221,25,138.144
108,Sexy por acidente,Paris,EUA,6/28/2018,260,230,4,136.251
109,Desejo de matar,Imagem,EUA,5/10/2018,380,300,8,133.760
110,Todo o dinheiro do mundo,Diamond,EUA,2/1/2018,340,300,12,131.285
111,22 milhas,Diamond,EUA,9/20/2018,276,250,7,130.877
112,Infiltrado na Klan,Universal,EUA,11/22/2018,51,40,6,130.788
113,Johnny English 3.0,Universal,Reino Unido,11/1/2018,213,194,8,123.693
114,Meu amigo vampiro,Playarte,Alemanha/ Dinamarca,2/8/2018,216,201,45,119.519
115,Roda gigante,Imagem,EUA,12/28/2017,123,110,7,118.243
116,Pequena grande vida,Paramount,EUA,2/22/2018,202,190,44,117.729
117,Todo dia,Paris,EUA,7/26/2018,239,218,7,115.656
118,Trama fantasma,Universal,EUA,2/22/2018,71,64,22,114.261
119,Assassinato no Expresso do Oriente,Fox,EUA,11/30/2017,404,324,43,114.099
120,Lady Bird - A hora de voar,Universal,EUA,2/15/2018,78,61,9,104.564
121,"Abelhinha Maya - O filme, A (2018)",Playarte,Alemanha,5/17/2018,337,249,28,100.813
122,Correndo atrás de um pai,Paris,EUA,1/18/2018,176,152,3,100.155
123,"Aventuras de Tadeo 2 - O segredo do Rei Midas, As",Paramount,Espanha,12/21/2017,598,445,51,95.645
124,7 dias em Entebbe,Diamond,Reino Unido/ EUA,4/19/2018,180,161,6,93.533
125,Mulheres alteradas,DT/Paris,Brasil,7/5/2018,163,137,21,92.568
126,"Justiceira, A",Diamond,EUA,10/18/2018,154,138,4,89.270
127,Cinderela e o príncipe secreto,Imagem,EUA,10/11/2018,323,278,8,87.088
128,"Estrangeiro, O",Diamond,China/ Reino Unido,1/11/2018,222,176,5,84.230
129,"Vida em si, A",Paris,EUA,12/6/2018,209,170,4,82.734
130,"Grande jogada, A",Diamond,EUA,2/22/2018,188,176,4,76.676
131,Escobar - A traição,California,Espanha,8/23/2018,103,92,10,71.342
132,Ana e Vitória,Galeria Distribuidora,Brasil,8/2/2018,211,172,17,70.889
133,Desobediência,Sony,EUA,6/21/2018,31,27,11,70.045
134,"Noite de 12 anos, Uma",Vitrine Filmes,Uruguai/Argentina/Espanha,9/27/2018,12,12,14,66.215
135,Festival do Rio 2018,Festivais,Brasil,11/1/2018,16,8,7,61.590
136,Covil de ladrões,Diamond,EUA,4/5/2018,152,130,4,58.645
137,BTS - Burn The Stage: The Movie,Cinemark,Coréia do Sul,11/15/2018,8,4,4,57.613
138,"Estranhos - Caçada noturna, Os",Diamond,EUA,6/7/2018,215,194,3,55.394
139,"Orgulho, O",Pandora Filmes,França/ Belgica,7/19/2018,35,33,17,53.580
140,Papillon,Imagem,EUA,10/4/2018,68,62,8,53.570
141,Medo profundo (2017),Playarte,Reino Unido/ EUA,3/8/2018,221,190,3,53.323
142,Amigos alienígenas,Playarte,Alemanha/ Dinamarca,10/25/2018,185,161,10,52.044
143,10 segundos para vencer,Imagem,Brasil,9/27/2018,300,269,14,51.526
144,"Grande Circo Místico, O",H2O Films,Brasil/ Portugal,11/15/2018,106,93,7,51.526
145,Refém do jogo,California,EUA,11/22/2018,189,173,3,51.274
146,Fantástica: Uma aventura no mundo Bonnie Bears,Lança Filmes,China,9/13/2018,88,85,6,51.073
147,"Eu, Tonya",California,EUA,2/15/2018,54,50,12,50.764
148,"Processo, O",Vitrine Filmes,Brasil,5/17/2018,55,48,31,50.502
149,Deixe a luz do sol entrar,Imovision,França,3/29/2018,16,13,14,49.656
150,"Nome da morte, O",Imagem,Brasil,8/2/2018,145,121,19,47.248
151,Sicario - Dia do soldado,Sony,Ucrânia/ Holanda,6/28/2018,129,118,8,47.079
152,"Com amor, Van Gogh (2016)",Europa,Reino Unido,11/30/2017,38,33,20,45.257
153,"Festa, A",Mares Filmes/A2 Filmes,Reino Unido,7/26/2018,35,30,22,43.469
154,Festivais e Mostras 2018,Festivais,Brasil,1/1/2018,0,0,53,42.607
155,42ª Mostra Internacional de Cinema SP 2018,Distribuição Própria,Brasil,10/18/2018,13,7,7,42.078
156,Podres de ricos,Warner,EUA,10/25/2018,71,62,10,41.993
157,"Paciente - O caso Tancredo Neves, O",DT/Paris,Brasil,9/13/2018,92,79,15,40.792
158,"Insulto, O",Imovision,França/ Líbano,2/8/2018,12,12,21,39.769
159,"Casa à beira-mar, Uma",Imovision,França,7/12/2018,27,23,22,39.685
160,The square - A arte da discórdia,Pandora Filmes,Suécia/ Alemanha/ Noruega/ França,1/4/2018,32,30,15,39.576
161,Madame (2018),California,França,3/29/2018,33,29,19,39.388
162,"Outra mulher, A",Imovision,França,8/16/2018,41,35,14,39.355
163,Gaby Estrella,DT/Paris,Brasil,1/18/2018,172,147,43,38.486
164,Talvez uma história de amor,Warner,Brasil,6/14/2018,171,143,22,38.372
165,Legalize já - Amizade nunca morre,Imagem,Brasil,10/18/2018,173,156,11,37.629
166,15h17 - Trem para Paris,Warner,EUA,3/8/2018,26,24,13,36.212
167,Chacrinha - O velho guerreiro,DT/Paris,Brasil,11/8/2018,271,233,8,36.131
168,"Amante duplo, O",California,França/ Belgica,6/21/2018,50,47,15,35.442
169,Colette,Diamond,EUA/ Reino Unido,12/13/2018,54,49,3,34.868
170,Baseado em fatos reais,Paris,França,4/12/2018,50,45,15,34.861
171,Benzinho,Vitrine Filmes,Brasil,8/23/2018,38,32,19,34.529
172,Ella e John,Sony,Itália/ França,4/5/2018,7,6,16,34.233
173,Tully,Diamond,EUA,5/24/2018,62,50,13,34.098
174,Lou,Cineart Filmes,Alemanha,1/11/2018,9,9,35,33.799
175,"Livraria, A",Cineart Filmes,Espanha/ Reino Unido,3/22/2018,32,26,25,31.945
176,12 heróis,Diamond,EUA,3/15/2018,94,87,4,31.444
177,"Invisíveis, Os (2018)",Mares Filmes/A2 Filmes,Alemanha,10/4/2018,21,17,13,31.437
178,Coração de cowboy,O2 Play,Brasil,9/27/2018,203,193,11,31.257
179,Sansão,California,EUA,9/27/2018,85,71,9,31.167
180,"Jovem Karl Marx, O",California,França/Alemanha/Bélgica,12/28/2017,8,8,17,30.878
181,Sol da meia-noite,Diamond,EUA,6/14/2018,227,197,9,30.756
182,Tudo acaba em festa,DT/Paris,Brasil,11/15/2018,84,67,7,30.526
183,Copa do Mundo 2018,Distribuição Própria,Brasil,6/14/2018,194,188,5,29.633
184,Alguém como eu,DT/Paris,Brasil/ Portugal,5/24/2018,134,108,29,28.359
185,Troca de rainhas,Pandora Filmes,França,8/16/2018,33,25,11,28.329
186,Aos teus olhos,Pagu Pictures,Brasil,4/12/2018,49,48,31,26.782
187,Ferrugem,Olhar Distribuição,Brasil,8/30/2018,55,45,11,25.783
188,Todas as canções de amor,Galeria Distribuidora,Brasil,11/8/2018,76,63,8,25.662
189,Você nunca esteve realmente aqui,Supo Mungam Films,Reino Unido/França/EUA,8/9/2018,28,25,19,25.110
190,Te peguei!,Warner,EUA,8/23/2018,77,62,2,24.872
191,Hotel Artemis,Diamond,EUA/ Reino Unido,9/13/2018,67,57,4,24.273
192,Ilha dos cachorros,Fox,EUA,7/19/2018,14,11,18,23.928
193,Em pedaços,Imovision,Alemanha/ França,3/15/2018,23,22,10,23.791
194,Encolhi a professora,Mares Filmes/Alpha Filmes,Alemanha/ Áustria,1/25/2018,134,117,4,23.644
195,Projeto Flórida,Diamond,EUA,3/1/2018,44,38,11,23.336
196,50 são os novos 30,Cineart Filmes,França,6/28/2018,14,13,12,23.039
197,"Casa que Jack construiu, A",California,Dinamarca/ França,11/1/2018,36,36,8,22.625
198,Peixonauta - O filme,Riofilme,Brasil,1/25/2018,90,85,20,22.247
199,Final UEFA 2018,Distribuição Própria,Brasil,5/26/2018,208,187,1,21.861
200,Acertando o passo,California,Reino Unido,5/10/2018,43,39,5,21.701
201,Custódia,Supo Mungam Films,França,7/5/2018,30,30,9,21.284
202,"Dia para viver, Um",Playarte,EUA,6/7/2018,147,130,3,20.248
203,"Herdeiras, As",Imovision,Paraguai,8/30/2018,23,20,16,19.901
204,De encontro com a vida,Alpha Filmes/ Pandora,Alemanha,4/19/2018,50,41,24,19.813
205,"Segredo em Paris, Um",Pagu Pictures,França,11/15/2018,25,24,7,19.757
206,Submersão,California,EUA,4/19/2018,64,54,11,19.436
207,Gauguin - Viagem ao Taiti,Mares Filmes/A2 Filmes,França,8/23/2018,29,24,14,19.222
208,Paraíso Perdido,Vitrine Filmes,Brasil,5/31/2018,107,88,29,18.451
209,Tudo que quero,Imagem,EUA,4/26/2018,51,48,6,18.397
210,Clássicos do cinema 2018,Distribuição Própria,Brasil,1/1/2018,0,0,51,18.246
211,"Origem do dragão, A",Imagem,EUA,12/28/2017,122,112,5,17.079
212,Promessa ao Amanhecer,Bonfilm,França,7/26/2018,28,24,7,16.948
213,Show,Distribuição Própria,,1/1/2012,0,0,364,16.435
214,Antes que eu me esqueça,Imagem,Brasil,5/24/2018,66,63,25,16.424
215,"Melhor escolha, A",Imagem,EUA,3/22/2018,46,40,4,16.256
216,Era uma vez um Deadpool,Fox,EUA,12/27/2018,98,79,1,15.620
217,"Retorno do Herói, O",Mares Filmes/A2 Filmes,França,9/20/2018,27,24,10,15.477
218,"Vida em família, A",Pagu Pictures,Itália,9/6/2018,16,14,8,15.163
219,1945,Supo Mungam Films,Hungria,4/5/2018,18,17,13,15.047
220,Teu mundo não cabe nos meus olhos,DT/Paris,Brasil,5/3/2018,111,96,28,14.541
221,Sem amor,Sony,Rússia,2/8/2018,19,14,13,14.536
222,"Amante, A",Pandora Filmes,"Tunísia, França, Bélgica, EUA",5/31/2018,15,14,8,14.455
223,Maria Callas - Em suas próprias palavras,Imovision,França,12/6/2018,16,15,4,14.038
224,Sequestro relâmpago,Pagu Pictures,Brasil,11/22/2018,63,37,6,14.011
225,Lámen shop,Imovision,Japão/França,7/26/2018,24,18,9,13.980
226,"Sacrifício do cervo sagrado, O",Diamond,EUA,2/8/2018,73,65,14,13.734
227,Wheely - Velozes e divertidos,Playarte,Mauritânia/ França,9/6/2018,113,103,9,13.379
228,"Morte de Stalin, A",Paris,EUA/ França/ Reino Unido,6/7/2018,27,22,10,13.088
229,Nos vemos no paraiso,Pandora Filmes,França,7/5/2018,18,18,6,12.946
230,De Carona para o Amor,California,França,8/2/2018,16,14,9,12.861
231,Primavera em Casablanca,California,França,7/19/2018,15,15,16,12.448
232,Limites,Sony,EUA,9/13/2018,20,14,9,12.348
233,Museu,Supo Mungam Films,México,11/8/2018,27,23,8,12.188
234,"Visages, villages",Fênix Filmes,França,1/25/2018,13,13,15,12.154
235,Festival Italiano 2018,Distribuição Própria,Itália,7/5/2018,0,0,13,12.110
236,"Que te faz mais forte, O",Paris,EUA,2/8/2018,32,26,24,12.070
237,"Estrela de Belém, A",Sony,EUA,11/30/2017,452,413,55,11.978
238,Corpo e alma,Imovision,Hungria,12/21/2017,15,14,11,11.933
239,Somente o mar sabe,Paris,Reino Unido,4/26/2018,25,23,5,11.727
240,Praça Paris,Imovision,Brasil/ Portugal,4/26/2018,19,17,11,11.692
241,Gringo - Vivo ou morto,Diamond,EUA/Austrália,5/3/2018,71,55,4,11.671
242,Marvin,Mares Filmes/A2 Filmes,França,9/6/2018,24,22,13,11.664
243,"Homem perfeito, O",DT/Paris,Brasil,9/27/2018,46,36,11,11.315
244,Amante por um dia,Fênix Filmes,França,3/15/2018,20,17,13,11.273
245,Severina,Vitrine Filmes,Brasil /Uruguai,4/12/2018,22,20,13,11.158
246,120 batimentos por minuto,Imovision,França,1/4/2018,23,17,48,11.041
247,Estrelas de cinema nunca morrem,Diamond,Reino Unido,4/26/2018,9,9,19,10.999
248,Super Bowl 2018,Distribuição Própria,EUA,2/4/2018,119,102,1,10.951
249,"Câmera de Claire, A",Pandora Filmes,França,5/24/2018,15,13,31,10.783
250,Motorrad,Warner,Brasil,3/1/2018,170,155,42,10.623
251,"Cidade do futuro, A",Espaço Filmes / Vitrine,Brasil,4/26/2018,17,16,9,10.405
252,"Sem data, sem assinatura",Imovision,Irã,9/20/2018,15,15,11,10.401
253,Mudbound - Lágrimas sobre o Mississipi,Diamond,EUA,2/15/2018,25,24,12,10.345
254,Por trás dos seus olhos,Paris,EUA/ Tailândia,3/22/2018,31,29,4,10.253
255,Hannah,Zeta Filmes,Itália/ França,7/12/2018,21,18,10,10.176
256,Anna Karenina - A história de Vronsky,CPC-UMES Filmes,Rússia,6/7/2018,12,11,15,10.046
257,"Mulher fantástica, Uma",Imovision,Chile,9/7/2017,23,23,38,9.934
258,"Questão pessoal, Uma",Supo Mungam Films,Itália,9/20/2018,27,25,9,9.840
259,Culpa,California,Dinamarca,12/27/2018,35,34,1,9.708
260,Bergman 100 anos,Imovision,Suécia,7/19/2018,26,25,11,9.698
261,Oh Lucy!,Imovision,EUA/ Japão,6/28/2018,11,11,9,9.629
262,Meu tricolor de aço,Estação Luz Filmes,Brasil,12/6/2018,17,14,4,9.606
263,Chá com as damas,Supo Mungam Films,Reino Unido,12/13/2018,27,25,3,9.458
264,Café com canela,Arco Audiovisual,Brasil,8/16/2018,2,2,12,9.411
265,Arábia,Embaúba Filmes / Pique-Bandeira Filmes,Brasil,4/5/2018,12,12,37,9.310
266,"Segredo de Davi, O",Elo Studios,Brasil,11/22/2018,82,78,5,9.209
267,Balé 2018,Distribuição Própria,Brasil,1/1/2018,0,0,53,9.030
268,"Juliet, nua e crua",Diamond,EUA,10/4/2018,17,16,9,8.869
269,"Boas maneiras, As",Imovision,Brasil/ França,6/7/2018,31,26,28,8.863
270,"Quebra-cabeça, O",Sony,EUA,11/15/2018,13,11,7,8.862
271,"Banquete, O",Imovision,Brasil,9/13/2018,29,25,8,8.575
272,Assim é a vida,Paris,França,12/21/2017,30,26,42,8.363
273,Artista do desastre,Warner,EUA,1/25/2018,12,11,15,8.269
274,Rasga coração,Sony,Brasil,12/6/2018,32,31,4,7.901
275,Em chamas,Pandora Filmes,Coréia do Sul,11/15/2018,8,8,7,7.694
276,"Fantasmas de Ismael, Os",Imovision,França,5/3/2018,17,15,8,7.680
277,Coldplay: a head full of dreams,Cinemark,Reino Unido,11/14/2018,46,40,1,7.644
278,A pé ele não vai longe,Diamond,EUA,12/27/2018,40,36,1,7.373
279,Suburbicon - Bem-vindos ao paraíso,Diamond,EUA,12/21/2017,83,73,9,7.320
280,Meu malvado favorito 3,Universal,EUA,6/29/2017,1.384,654,78,7.115
281,Entre-laços,Lança Filmes,Japão,5/17/2018,8,6,24,7.082
282,Festivais e Mostras 2017,Festivais,Brasil,1/1/2017,0,0,104,7.026
283,Yonlu,Lança Filmes,Brasil,8/30/2018,27,22,12,6.984
284,Esplendor,Imovision,Japão/França,5/10/2018,15,15,15,6.976
285,Egon Schiele - Morte e a donzela,Cineart Filmes,Áustria,7/19/2018,17,16,11,6.957
286,Ex-pajé,Gullane Distribuidora,Brasil,4/26/2018,11,9,26,6.951
287,"Temporada na França, Uma",Imovision,França,4/5/2018,7,6,18,6.721
288,Estás me matando Susana,Mares Filmes/A2 Filmes,EUA/ México,10/18/2018,25,23,9,6.703
289,Zama,Vitrine Filmes,Argentina/ Espanha,3/29/2018,14,14,7,6.694
290,"Animal cordial, O",California,Brasil,8/9/2018,20,19,9,6.597
291,"Beijo no asfalto, O",Art House Movies,Brasil,12/6/2018,23,22,4,6.575
292,"Excêntrica familia de Gaspard, A",Bonfilm,Bélgica/ França,11/29/2018,13,10,5,6.560
293,Jurassic Park - Parque dos dinossauros (1993),Universal,EUA,6/13/1993,0,0,0,6.417
294,Ciganos da Ciambra,Pandora Filmes,Itália/ Alemanha/ Suiça,5/3/2018,9,8,11,6.390
295,"Confeiteiro, O",Imovision,Alemanha,12/27/2018,17,16,1,6.361
296,"Aparição, A",Mares Filmes/A2 Filmes,França,8/9/2018,12,11,4,6.166
297,Meu anjo,Imovision,França,10/25/2018,32,25,4,6.119
298,Torquato Neto - Todas as horas do fim,Vitrine Filmes,Brasil,3/8/2018,16,15,10,6.075
299,Tungstênio,Pagu Pictures,Brasil,6/21/2018,67,64,21,6.056
300,Minha filha,Imovision,Itália,10/11/2018,18,17,4,6.054
301,Indie Festival 17,Distribuição Própria,EUA,9/14/2017,1,1,49,5.854
302,"Odisseia, A",Esfera,França,3/22/2018,25,22,7,5.851
303,"Terceiro assassinato, O",Imovision,Japão,4/19/2018,7,6,17,5.781
304,Berenice procura,H2O Films,Brasil,6/28/2018,25,23,20,5.743
305,João de Deus - O silêncio é uma prece,DT/Paris,Brasil,5/31/2018,29,25,24,5.611
306,"Noiva do deserto, A",Imovision,Argentina,4/12/2018,10,9,13,5.409
307,Dunkirk,Warner,EUA,7/27/2017,522,370,36,5.406
308,Paris 8,Cineart Filmes,França,5/17/2018,28,27,12,5.350
309,"Renascimento do parto 2, O",Espaço Filmes,Brasil,5/10/2018,35,28,13,5.182
310,8½ Festa do Cinema Italiano 2017,Distribuição Própria,Itália,8/31/2017,6,6,49,5.137
311,Jogos mortais - Jigsaw,Paris,EUA,11/30/2017,518,422,10,5.112
312,"Poder de Diane, O",Bonfilm,França,10/18/2018,5,4,4,5.058
313,Mostra Cinema Negro 2018,Distribuição Própria,Brasil,7/1/2018,0,0,20,5.003
314,"Conquistar, amar e viver intensamente",Imovision,França,12/20/2018,17,13,2,5.000
315,Como é cruel viver assim,H2O Films,Brasil,8/16/2018,39,36,19,4.833
316,"Dia, Um",Zeta Filmes,Hungria,10/11/2018,11,10,9,4.832
317,Sem fôlego,H2O Films,EUA,1/25/2018,25,24,8,4.806
318,"Futuro adiante, O",Supo Mungam Films,Argentina,10/4/2018,14,13,12,4.732
319,Baronesa,Vitrine Filmes,Brasil,6/14/2018,16,16,17,4.709
320,Carnívoras,Bonfilm,França/ Belgica,9/13/2018,13,11,9,4.684
321,"Natureza do tempo, A",Imovision,Alemanha/Argélia/França,5/17/2018,6,6,5,4.664
322,"Homem comum, Um",Mares Filmes/A2 Filmes,EUA/ Sérvia,11/29/2018,28,24,5,4.652
323,"Número um, A",Imovision,França,3/8/2018,9,6,6,4.613
324,Tinta bruta,Vitrine Filmes,Brasil,12/6/2018,31,31,4,4.547
325,"Ódio que você semeia, O",Fox,EUA,12/6/2018,17,15,4,4.474
326,"Dia depois, O",Pandora Filmes,Coréia do Sul,4/12/2018,7,6,9,4.310
327,Emma e as cores da vida,Arteplex Filmes,Itália,12/27/2018,15,15,1,4.254
328,"Cabeça de Gumercindo Saraiva, A",Elo Studios,Brasil,10/25/2018,22,20,10,4.196
329,Tio Drew,Paris,EUA,7/19/2018,30,20,2,4.187
330,Alguma coisa assim,Vitrine Filmes,Brasil/Alemanha,7/26/2018,18,15,16,4.187
331,Medo viral,Fênix Filmes,EUA,8/16/2018,14,14,3,4.164
332,Cachorros,Imovision,Chile,7/5/2018,5,5,8,4.129
