Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,publico
728,Eu me lembro,Pandora Filmes,Brasil,9/29/2006,0,0,0,2
729,"Imperdoáveis, Os",Warner,EUA,1/20/2022,1,1,2,2
730,Jogo subterrâneo,Buena Vista,Brasil,4/1/2005,0,0,0,2
731,Procura-se,Warner,Brasil,11/25/2022,1,1,1,2
732,"Falta que nos move, A",Espaço Filmes,Brasil,7/1/2011,12,12,586,2
733,Sangue do meu sangue,Fênix Filmes,Itália/ França,12/1/2016,13,11,315,1
734,"Sombra de duas mulheres, À",Fênix Filmes,França/ Suiça,5/10/2015,0,0,398,1
735,Vingança,Fênix Filmes,França,6/7/2018,14,14,236,1
736,"Visita, A",Universal,EUA,11/26/2015,222,203,343,1
737,Eles só usam black tie,Fênix Filmes,África do Sul,3/9/2017,0,0,301,1
738,Dilili em Paris,Imovision,França,2/13/2020,12,10,140,1
739,Sniper americano,Warner,EUA,2/19/2015,203,170,363,1
740,Alguém como eu,DT/Paris,Brasil/ Portugal,5/24/2018,134,108,202,1
741,Migração alada,Mais Filmes/ Col,França,11/14/2003,0,0,0,0
742,"Lula, o filho do Brasil",Downtown/Europa,Brasil,1/1/2010,357,271,679,0
743,Arábia,Embaúba Filmes / Pique-Bandeira Filmes,Brasil,4/5/2018,12,12,222,0
744,"Pior vizinho do mundo, O",Sony,EUA,1/26/2023,637,482,0,0
745,Estrelas além do tempo,Fox,EUA,2/2/2017,305,248,303,0
746,Quem vai ficar com Mário?,DT/Paris,Brasil,6/10/2021,174,131,59,0
747,"Jantar, O",California,EUA,9/7/2017,27,23,274,0
748,"Dia para Susana, Um",Vitrine Filmes,Brasil,10/3/2019,3,3,141,0
749,Gato de Botas 2 - O último pedido,Universal,EUA,1/5/2023,1.821,749,0,0
750,"Aventuras de Gui e Estopa, As",Elo Studios,Brasil,1/27/2022,1,1,1,0
751,Para minha amada morta,Vitrine Filmes,Brasil,3/31/2016,26,22,332,0
752,"Minha fortaleza, os filhos de fulano",Distribuição Própria,Brasil,2/25/2021,1,1,57,0
753,Homem onça,Pandora Filmes,Brasil,8/26/2021,14,14,48,0
754,Como cães e gatos 2 - A vingança de Kitty Galore,Warner,EUA,9/3/2010,196,188,644,0
755,Angry Birds 2 - O filme,Sony,EUA,10/3/2019,771,539,159,0
756,Do luto à luta,Mais Filmes,Brasil,10/6/2006,0,0,0,0
757,Legalidade,Boulevard Filmes,Brasil,9/12/2019,32,31,152,0
758,Desobediência,Sony,EUA,6/21/2018,31,27,233,0
759,Magnum 44 (1973),Warner,EUA,6/24/2021,1,1,32,0
760,Tempo,Universal,EUA,7/29/2021,499,374,28,0
761,Ghostbusters - Mais além (2021),Sony,EUA,11/18/2021,1.204,562,12,0
762,"Lenda de Candyman, A",Universal,EUA,8/26/2021,546,400,33,0
763,Bela vingança,Universal,Reino Unido,5/13/2021,113,97,49,0
764,Gran Torino,Warner,EUA,3/20/2009,109,105,672,0
765,Invictus,Warner,EUA,1/29/2010,82,76,627,0
766,Colegas,Europa,Brasil,3/1/2013,145,141,496,0
767,"Chacrinha, eu vim para confundir e não para explicar",Bretz Filmes,Brasil,1/28/2021,2,2,79,0
768,Histórias que nosso cinema (não) contava,Boulevard Filmes,Brasil,8/23/2018,5,5,218,0
769,Judas e o Messias Negro,Warner,EUA,2/25/2021,86,72,61,0
,,,,,,,,97.909.568
