Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,publico
215,"Santo de todos - A vida e missão de Santo Antônio Maria Claret, O",Kolbe Arte Produções,Espanha,10/6/2022,55,48,7,3.554
216,Esperando Bojangles,California,Bélgica,11/3/2022,28,20,5,3.540
217,Paloma,Pandora Filmes,Brasil,11/10/2022,20,18,8,3.526
218,"Crônica francesa, A",Disney,EUA,11/18/2021,58,47,12,3.434
219,1982,Estúdio Escarlate,Libano,6/2/2022,20,19,8,3.374
220,Além da lenda - O filme,Boulevard Filmes,Brasil,8/4/2022,16,16,12,3.262
221,Marighella,DT/Paris,Brasil,11/4/2021,340,281,55,3.152
222,"Traidor, O",Pandora Filmes,Itália,4/14/2022,25,23,10,3.077
223,Homens à beira de um ataque de nervos,Synapse,França,10/13/2022,25,21,6,3.034
224,Ainbo - A guerreira da Amazônia,Paris,Peru,9/30/2021,504,373,66,3.014
225,"Próximo passo, O",Bonfilm,França,9/8/2022,19,18,10,2.861
226,Entre rosas,California,França,9/1/2022,29,21,9,2.821
227,Está tudo bem,California,França,6/2/2022,24,22,6,2.740
228,Duetto,Imagem,Brasil,9/29/2022,113,105,8,2.713
229,Encontros,Pandora Filmes,Coréia do Sul,9/1/2022,8,8,18,2.702
230,"Homem ideal, O",Diamond/Galeria,Alemanha,12/23/2021,6,6,15,2.645
231,"Mulher de um espião, A",Zeta Filmes,Japão,3/31/2022,11,11,31,2.588
232,Clarice Lispector - A descoberta do mundo,Anagrama Filmes,Brasil,12/8/2022,11,11,4,2.584
233,"Paris, 13º distrito",California,França,4/28/2022,12,9,7,2.452
234,Serial Kelly,Vitrine Filmes,Brasil,11/24/2022,26,26,6,2.447
235,Duna,Warner,Canadá,10/21/2021,1.047,621,26,2.331
236,Aline - A voz do amor,Imovision,França,6/16/2022,19,17,10,2.299
237,Mentes extraordinárias,California,França,5/19/2022,11,11,4,2.274
238,Ela e eu,Disney,Brasil,7/21/2022,11,11,9,2.260
239,Eu não choro,Arteplex Filmes,Polônia,1/20/2022,15,15,32,2.186
240,Kompromat - O dossiê russo,Mares Filmes/Polifilmes,França,9/29/2022,26,22,5,2.117
241,Onoda - 10 mil noites na selva,Imovision,França,8/25/2022,19,16,9,2.108
242,Miss França,Pandora Filmes,França,5/19/2022,14,14,8,2.092
243,"Perdão, O",Imovision,Irã,9/22/2022,7,5,15,2.081
244,"Eu, Christiane F., 13 anos, drogada e prostituída - Edição 40 anos",A2 Filmes,Alemanha,7/28/2022,6,6,6,2.047
245,"Poderoso chefinho 2 - Negócios da família, O",Universal,EUA,8/12/2021,1.188,662,70,2.045
246,Abestalhados 2,Disney,Brasil,10/27/2022,69,45,3,2.008
247,"Amores dela, Os",Imovision,França,7/21/2022,7,6,10,2.001
248,Pequena mamãe,Diamond,França,3/3/2022,6,6,21,1.987
249,Seventeen world tour - Be the sun,Distribuição Própria,Coréia do Sul,8/21/2022,35,33,2,1.987
250,Incompatível,Disney,Brasil,4/28/2022,31,26,22,1.977
251,Clara Sola,Imovision,Suécia,8/11/2022,10,10,8,1.972
252,Delicioso - Da cozinha para o mundo,Playarte,França,2/10/2022,19,17,19,1.965
253,XVIII Panorama Internacional Coisa de Cinema 2022,Distribuição Própria,Brasil,11/3/2022,3,1,1,1.936
254,Peter Von Kant,Bonfilm,França,10/20/2022,18,18,6,1.924
255,Il buco,Zeta Filmes,França,8/11/2022,12,12,20,1.923
256,Contratempos,Bonfilm,França,11/10/2022,10,10,5,1.889
257,De volta à Borgonha,Bretz Filmes,França,8/18/2022,7,6,8,1.885
258,"Felicidade das coisas, A",Embaúba Filmes,Brasil,5/19/2022,11,11,32,1.854
259,"Pacto, O",A2 Filmes,Dinamarca,4/7/2022,19,17,9,1.772
260,"Mulher que fugiu, A",Pandora Filmes,Coréia do Sul,2/10/2022,16,16,33,1.757
261,Amor de redenção,Cinecolor,EUA,6/9/2022,33,31,2,1.737
262,"Verdades, As",Gullane Distribuidora,Brasil,6/30/2022,14,14,8,1.700
263,"Segredo de Madeleine Collins, O",Synapse,França,9/22/2022,17,12,4,1.673
264,Des-igualdade,A2 Filmes,Brasil,10/25/2022,7,3,2,1.662
265,Madrugada em Paris,Bonfilm,França,3/24/2022,22,19,4,1.659
266,Astro - Stargazer: Astroscope,Trafalgar,Coréia do Sul,10/27/2022,39,37,1,1.651
267,Clifford - O gigante cão vermelho,Paramount,EUA,12/2/2021,540,427,53,1.650
268,"Chef, O",Synapse,Reino Unido,9/1/2022,6,5,4,1.635
269,Pedro Coelho 2 - O fugitivo,Sony,EUA,8/26/2021,734,505,69,1.630
270,League of Legends 2022,Distribuição Própria,Brasil,11/5/2022,15,14,1,1.615
271,Assalto na Paulista,O2 Play/Kinoscopio,Brasil,8/25/2022,21,21,6,1.614
272,"Broto legal, Um",Pandora Filmes,Brasil,6/16/2022,25,21,9,1.602
273,Segredos em família,Imovision,Chile,10/13/2022,8,7,8,1.586
274,Space jam - Um novo legado,Warner,EUA,7/15/2021,976,598,67,1.583
275,"Mãe, A (2022)",CUP Filmes,Brasil,11/10/2022,15,13,8,1.518
276,Bem-vindos a bordo,Synapse,França,12/8/2022,17,15,4,1.490
277,Espero que esta te encontre e que estejas bem,Embaúba Filmes,Brasil,6/9/2022,15,15,12,1.448
278,A-ha - True North,Trafalgar,Noruega,9/15/2022,41,39,1,1.443
279,Enquanto vivo,Bonfilm,França,6/9/2022,22,20,5,1.424
280,"Adeus, idiotas",Polifilmes/Mares Filmes,França,2/24/2022,9,9,4,1.403
281,Proibido nascer no paraíso,Boulevard Filmes,Brasil,4/15/2021,0,0,88,1.369
282,"Território, O",National Geographic Documentary Films,Brasil,9/8/2022,14,13,5,1.369
283,Super show 8 - Tempo infinito,Cinecolor,Coréia do Sul,2/24/2022,65,63,2,1.359
284,"Se eu contar, você escuta?",Distribuição Própria,Brasil,5/19/2022,4,3,4,1.347
285,Rua Guaicurus,Embaúba Filmes,Brasil,7/14/2022,9,8,23,1.339
286,Terror no estúdio 666,Sony,EUA,3/17/2022,17,15,2,1.326
287,Seguindo Todos os Protocolos,Vitrine Filmes,Brasil,6/30/2022,11,11,18,1.316
288,Amado,DT/Paris,Brasil,6/9/2022,22,18,2,1.303
289,Garota inflamável,Pandora Filmes,Alemanha,7/14/2022,8,8,12,1.288
290,Final da Liga Brasileira de Free Fire 7 (2022),Distribuição Própria,Brasil,4/16/2022,20,20,1,1.265
291,Ataque dos cães,O2 Play,Reino Unido,11/18/2021,8,8,22,1.249
292,Luta pela liberdade,A2 Filmes,China,8/18/2022,15,14,4,1.246
293,"Conferência, A",A2 Filmes,Alemanha,11/3/2022,9,9,5,1.242
294,"Pai da Rita, O",O2 Play,Brasil,5/19/2022,29,25,6,1.225
295,"Lima Barreto, ao terceiro dia",Pipa Produções,Brasil,9/29/2022,17,17,5,1.197
296,Carro rei,Boulevard Filmes,Brasil,6/30/2022,16,16,23,1.163
297,"Truque da galinha, O",Imovision,França,6/23/2022,7,5,8,1.146
298,Viúva Negra,Disney,EUA,7/8/2021,1.699,565,74,1.130
299,1999 - A conquista da América,Elo Studios,Brasil,3/31/2022,1,1,3,1.122
300,Festival Fantaspoa 2022,Festivais,Brasil,4/15/2022,2,2,3,1.115
301,Cano serrado,H2O Films,Brasil,8/25/2022,52,43,3,1.115
302,Top Gun - Ases Indomáveis (1986),Park Circus,EUA,8/6/2014,0,0,432,1.112
303,De repente drag,Elo Studios,Brasil,8/4/2022,10,10,8,1.108
304,Meu álbum de amores,Pandora Filmes,Brasil,8/18/2022,17,17,6,1.104
305,Deserto particular,Pandora Filmes,Brasil,11/25/2021,18,18,35,1.100
306,"Conto de amor e desejo, Um",Bonfilm,França,4/28/2022,13,13,5,1.085
307,"Dia qualquer, Um",Pipa Produções,Brasil,6/23/2022,22,20,7,1.079
308,Gyuri,Descoloniza Filmes,Brasil,7/7/2022,9,9,10,1.076
309,Pacificado,Disney,Brasil,8/11/2022,37,32,3,1.074
310,Lara,Imovision,Alemanha,12/30/2021,4,4,12,1.065
311,Rogue One - Uma história Star Wars,Disney,EUA,12/15/2016,1.396,615,300,1.009
312,Pequenos guerreiros,Sereia Filmes,Brasil,12/1/2022,6,6,5,1.005
313,"Mulher do mundo, Uma",Imovision,França,12/8/2022,6,6,4,997
314,Garoto chiffon,Imovision,França,3/24/2022,14,13,6,996
315,"Pequeno grande plano, Um",Synapse,França,8/18/2022,7,6,5,996
316,Klondike - A guerra na Ucrânia,Pandora Filmes,Ucrânia,5/5/2022,13,13,33,995
317,Amigos de risco,Inquieta,Brasil,5/19/2022,8,8,31,990
318,Decisão de partir,Diamond,Coréia do Sul,1/5/2023,22,21,0,983
319,Caixa preta,Bonfilm,França,4/7/2022,16,15,2,979
320,Meu tricolor de aço 2 - Um sonho que liberta,Estação Luz Filmes,Brasil,4/14/2022,10,8,3,976
321,Fortaleza Hotel,Vitrine Filmes,Brasil,1/27/2022,14,13,14,964
322,Águas selvagens,Imagem,Brasil,5/12/2022,42,35,2,960
323,Vitalina Varela,Zeta Filmes,Portugal,4/14/2022,8,8,38,951
324,"Família Addams 2 - Pé na estrada, A",Universal,EUA,10/28/2021,1.056,637,48,913
325,Rir para não chorar,Elo Studios,Brasil,10/20/2022,26,24,6,886
326,Mali twist,Imovision,França,11/24/2022,6,6,6,883
327,Amira,Imovision,Egito,9/8/2022,6,6,11,851
328,Patrulha Canina - O filme,Paramount,EUA,9/9/2021,826,495,61,846
329,Mateína - A Erva Perdida,Lança Filmes,Uruguai,3/31/2022,6,6,9,822
330,30º Festival Mix Brasil 2022,Distribuição Própria,Diversos,11/10/2022,2,1,1,818
331,Festival do Rio 2021,Festivais,Brasil,12/9/2021,6,4,40,817
332,Ménage,Lira Filmes,Brasil,3/17/2022,13,13,4,817
333,Fé e fúria,Embaúba Filmes,Brasil,10/13/2022,11,11,5,810
334,11º Olhar de Cinema - Festival Int. de CTBA,Cinemark,,6/2/2022,2,1,1,807
335,Undine,Imovision,Alemanha,12/23/2021,10,10,52,796
336,"Jangada de Welles, A",Sereia Filmes,Brasil,6/23/2022,9,9,9,774
337,Casa de antiguidades,Pandora Filmes,Brasil,7/21/2022,9,9,10,754
338,Segredos de Putumayo,O2 Play,Brasil,9/1/2022,8,8,16,746
339,@Arthur.Rambo - Ódio nas redes,Vitrine Filmes,França,5/12/2022,11,11,34,733
340,Desterro,Embaúba Filmes,Brasil,9/22/2022,16,16,4,721
341,"Boa mãe, A",Zeta Filmes,França,6/2/2022,8,7,29,720
342,Jesus Kid,Olhar Distribuição,Brasil,6/9/2022,13,13,5,716
343,"Colmeia, A",Lança Filmes,Brasil,6/30/2022,13,13,15,716
344,Shang-Chi e a lenda dos dez anéis,Disney,EUA,9/2/2021,1.728,637,63,715
345,Sujeito oculto,Lume,Brasil,6/23/2022,0,0,11,706
346,Tantas Almas,Vitrine Filmes,Colômbia,5/26/2022,13,13,6,702
347,Mar de dentro,California,Brasil,4/7/2022,9,8,7,699
348,Como matar a Besta,Vitrine Filmes,Argentina,4/28/2022,11,11,5,675
349,Sol,DT/Paris,Brasil,12/8/2022,30,27,4,673
350,"Critical Role 7-Year Anniversary, Campaign 3, Ep17",Cinemark,EUA,3/18/2022,6,3,1,671
351,"Brigada da chefe, A",Imovision,França,12/29/2022,18,16,1,668
352,Eternos,Disney,EUA,11/4/2021,2.158,666,59,656
353,Sociedade do medo,Forte Filmes,Brasil,10/20/2022,12,11,4,644
354,Lavra,Pandora Filmes,Brasil,10/6/2022,9,9,11,643
355,Ron bugado,Disney,EUA,10/21/2021,855,505,52,635
356,Hotel Transilvânia 3 - Férias monstruosas,Sony,EUA,7/12/2018,1.210,628,223,617
357,"Mesma parte de um homem, A",Olhar Distribuição,Brasil,4/7/2022,6,5,9,615
358,"Mulher sob influência, Uma",Filmes do Estação,EUA,2/16/2007,0,0,827,610
359,"Mi iubita, meu amor",Zeta Filmes,França,9/29/2022,9,8,4,590
360,"Espera de Liz, A",Pandora Filmes,Brasil,3/17/2022,19,19,7,589
361,Festivais e Mostras 2019,Festivais,Brasil,1/3/2019,1,1,203,589
362,5 casas,Lança Filmes,Brasil,9/8/2022,6,5,4,585
363,Pacarrete,Vitrine Filmes,Brasil,11/26/2020,30,27,83,570
364,George Michael freedom uncut,Trafalgar,EUA,6/16/2022,26,26,1,567
365,Primavera,O2 Play,Brasil,2/17/2022,12,12,8,565
366,Odd Taxi: In the woods,Sony,Japão,6/23/2022,11,11,1,561
367,Aldeotas,Gullane Distribuidora,Brasil,11/10/2022,1,1,6,561
368,Mostra de Cinema Japonês 2022,Independente,Japão,9/29/2022,1,1,6,558
369,Tralala,Bonfilm,França,8/4/2022,12,12,4,553
370,"Parque dos sonhos, O",Paramount,EUA,3/14/2019,561,438,195,552
371,Annette,Distribuição Própria,EUA,12/23/2021,6,6,4,552
372,Golias,Bonfilm,França,11/24/2022,9,9,6,536
373,Mostra-me o Pai,360 WayUp,EUA,12/2/2021,91,84,8,529
374,Kevin,Embaúba Filmes,Brasil,11/3/2022,13,12,5,526
375,Paixões recorrentes,O2 Play,Brasil,8/18/2022,7,7,18,522
376,Supercombo - Ao vivo: Quando a terra era redonda,Super Combo,Brasil,2/17/2022,15,15,1,501
377,Dentro da caixinha - Segredo de criança,Cineart Filmes,Brasil,3/24/2022,6,6,3,498
378,No ritmo da vida,A2 Filmes,Canadá,3/3/2022,9,9,2,493
379,Meu filho é um craque,Pandora Filmes,França,11/24/2022,25,22,3,493
380,Rebento,Distribuição Própria,Brasil,5/5/2022,1,1,8,491
381,Cantando na chuva (1952),Warner,EUA,7/30/2020,1,1,116,487
382,Pajeú,Embaúba Filmes,Brasil,3/31/2022,10,10,9,479
383,"Teoria dos vidros quebrados, A",Okna Produções,Argentina,8/18/2022,2,2,3,463
384,Curtas jornadas noite adentro,Livres Filmes,Brasil,9/15/2022,12,12,8,460
385,Fabian - O mundo está acabando,Zeta Filmes,Alemanha,3/10/2022,6,6,4,454
386,"Morte habita à noite, A",Vitrine Filmes,Brasil,12/15/2022,11,11,3,452
387,"Eu, um outro",O2 Play,Brasil,11/10/2022,9,9,4,449
388,Plano A,A2 Filmes,Alemanha,12/1/2022,5,5,5,448
389,Cordialmente teus,Pandora Filmes,Brasil,9/22/2022,5,5,5,421
390,Raya e o último dragão,Disney,EUA,3/4/2021,373,254,90,409
391,Shortbus - Remasterizado,Imovision,EUA,12/29/2022,8,8,1,407
392,Diário de viagem,Pandora Filmes,Brasil,11/17/2022,1,1,7,399
393,Enquanto estamos aqui,Pique-Bandeira Filmes,Brasil,10/6/2022,6,6,12,399
394,Nós duas,Imovision,França,12/16/2021,13,11,19,389
395,André Rieu - Maastricht 2022,Cinemark,Holanda,12/1/2022,25,25,1,387
396,Festival Varilux 2021,Festival Varilux,França,11/24/2021,2,2,15,387
397,"Presidente improvável, O",Bretz Filmes,Brasil,3/31/2022,11,11,3,383
398,Critical Role - The Mighty Nein Reunidos Parte 1,Cinemark,EUA,11/18/2022,8,6,1,377
399,"Abelhinha Maya - E o ovo dourado, A",Playarte,Alemanha,9/23/2021,492,361,55,370
400,Nunca fomos tão modernos,Pipa Produções,Brasil,4/21/2022,16,13,3,368
401,Deus tem aids,Vitrine Filmes,Brasil,12/1/2022,14,14,3,357
402,Maior que o mundo,Imagem,Brasil,8/18/2022,17,16,2,351
403,Rio de vozes,Pandora Filmes,Brasil,2/17/2022,6,6,4,350
404,Human life,Marques Filmes,Brasil,3/10/2022,2,1,4,347
405,"Dia para sempre!, Um",A2 Filmes,Alemanha,6/9/2022,4,4,5,345
406,Cruella,Disney,EUA,5/27/2021,825,351,83,345
407,"Professora de violino, A",Filmicca,Alemanha,3/17/2022,3,3,3,344
408,Sonic - O filme,Paramount,Japão,2/13/2020,1.143,635,140,343
409,Diários de Otsoga,Vitrine Filmes,França,7/21/2022,6,6,5,343
410,"Rio de Janeiro de Ho Chi Minh, O",Pipa Produções,Brasil,7/14/2022,7,7,13,338
411,Virar mar,Vitrine Filmes,Alemanha,7/28/2022,9,9,8,337
412,Copa do Mundo 2022,Distribuição Própria,Brasil,11/20/2022,0,0,4,334
413,"Bravos nunca se calam, Os",Lança Filmes,Brasil,11/17/2022,10,10,4,332
414,Homem-Aranha no Aranhaverso,Sony,EUA,1/10/2019,1.026,581,206,323
415,Aquilo que eu nunca perdi,Descoloniza Filmes,Brasil,9/8/2022,8,8,4,322
416,Missão resgate,Imagem,EUA,12/9/2021,476,376,9,322
417,"Queda, A (BR)",O2 Play,Brasil,7/14/2022,7,7,5,320
418,"Hora do pesadelo, A",Warner,EUA,5/7/2010,161,148,652,317
419,Sertânia,Bretz Filmes,Brasil,12/3/2020,5,5,82,306
420,"Fantástica fábrica de golpes, A",Quechua Films,Brasil,9/1/2022,2,2,3,304
421,Mulher-Maravilha 1984,Warner,EUA,12/17/2020,2.034,546,104,304
422,Amarelo manga,Riofilme,Brasil,8/15/2003,0,0,0,300
423,"Última noite, A",Paris,Inglaterra,12/23/2021,21,12,3,300
424,Nosferatu,Park Circus,Alemanha,9/17/2015,0,0,372,298
425,Quem tem medo?,Embaúba Filmes,Brasil,8/4/2022,8,8,5,293
426,Azor,Vitrine Filmes,Suíça,12/16/2021,14,13,6,288
427,Madame Satã,Lumière,Brasil,11/8/2002,0,0,0,284
428,Festivais e Mostras 2020,Festivais,Brasil,1/2/2020,0,0,120,276
429,Fado tropical,Distribuição Própria,Brasil,7/28/2022,1,1,4,274
430,Encontro de Cinema Negro Zozimo Bulbul,Distribuição Própria,Brasil,8/30/2017,0,0,270,268
431,Mudança,Elo Studios,Brasil,9/29/2022,1,1,3,266
432,Meu tio José,Fênix Filmes,Brasil,10/27/2022,9,9,5,256
433,Como agradar uma mulher,A2 Filmes,Austrália,12/29/2022,13,12,1,255
434,Critical Role: The Mighty Nein Reunidos Parte 2,Cinemark,EUA,12/2/2022,6,6,1,251
435,Cavalo de Santo,Distribuição Própria,Brasil,4/16/2021,0,0,84,250
436,Harry Potter e a pedra filosofal,Warner,EUA,11/23/2001,0,0,0,249
437,Eu sei que vou te amar,Própria,Brasil,12/8/2006,0,0,0,249
438,Cidade de Deus,Lumière,Brasil,8/30/2002,0,0,0,248
439,Bye bye Brasil (1980),Distribuição Própria,Brasil,2/8/1980,0,0,0,248
440,"Mão de deus, A",O2 Play,Itália,12/2/2021,13,12,19,241
441,Sapato 36,Cavídeo,Brasil,8/4/2022,10,10,3,238
442,Hélio Oiticica,Nossa,Brasil,7/31/2014,2,2,417,235
443,Mirador,Olhar Distribuição,Brasil,5/5/2022,5,5,10,235
444,Spirit - O indomável,Universal,EUA,6/10/2021,564,438,79,234
445,"Tablado e Maria Clara Machado, O",Gravinart Produções Artísticas,Brasil,12/8/2022,2,2,2,231
446,"Diário para Jordan: Memórias de amor e perda, Um",Sony,EUA,4/28/2022,2,2,2,227
447,Show,Distribuição Própria,,1/1/2012,0,0,540,222
448,Pets - A vida secreta dos bichos 2,Universal,EUA,6/27/2019,1.181,676,173,221
449,Tambores da diáspora,Distribuição Própria,Brasil,3/17/2022,1,1,1,216
450,Currais,O2 Play,Brasil,4/1/2021,0,0,64,214
451,Família monstro 2,Paris,EUA,12/9/2021,346,271,36,214
452,Breve história do planeta verde,Embaúba Filmes,Argentina,12/1/2022,10,10,4,206
453,Última cidade,Marrevolto Filmes,Brasil,7/21/2022,3,3,2,205
454,Deus não está morto - O próximo capítulo,California,EUA,11/11/2021,325,252,56,202
455,Alice Guy-Blaché - A história não contada da primeira cineasta do mundo,Arteplex Filmes,EUA,10/29/2020,14,14,83,192
456,"Jardim das aflições, O",Distribuição Própria,Brasil,6/1/2017,6,6,244,191
457,Scooby Doo,Warner,,10/4/2002,0,0,0,191
458,"Professora de piano, A",Mais Filmes,EUA,3/29/2002,0,0,0,190
459,"Demônio das onze horas, O",Filmes do Estação,França,6/28/2002,0,0,0,189
460,"Vez em Veneza, Uma",Zapata Filmes,Itália,11/11/2021,1,1,12,186
461,Desaparecidos (2021),A2 Filmes,França,8/4/2022,4,4,4,184
462,"História de família, Uma",Arteplex Filmes,EUA,10/28/2021,14,12,39,184
463,Madre,Imovision,Espanha,11/25/2021,6,6,17,183
464,"Escravos de Jó, Os",Sereia Filmes,Brasil,9/29/2022,1,1,3,183
465,Transversais,Deberton Filmes,Brasil,2/24/2022,2,2,2,180
466,Liberté,Zeta Filmes,França,3/12/2020,5,5,116,178
467,Extraordinário,Paris,EUA,12/7/2017,879,539,262,171
468,Yalda - Uma noite de perdão,Imovision,França,12/9/2021,8,8,16,169
469,"Massacre da serra elétrica, O",Synapse,EUA,2/16/2023,15,15,0,169
470,Aleluia - O canto infinito do Tincoã,Descoloniza Filmes,Brasil,11/18/2021,1,1,13,168
471,"Christine, o carro assassino (1983)",Distribuição Própria,EUA,7/16/2020,1,1,94,167
472,Hiroshima meu amor,Zeta Filmes,Japão/França,3/9/2017,11,10,303,164
473,"Grande Irmão - O dia que durou 21 anos 2, O",Elo Studios,Brasil,9/8/2022,1,1,2,163
474,Brado,Imovision,Itália,10/26/2023,7,6,1,160
475,"Lutar, lutar, lutar",Embaúba Filmes,Brasil,11/11/2021,24,22,29,160
476,Dissonantes,Disney,Brasil,6/23/2022,5,5,6,159
477,Doutor Estranho,Disney,EUA,11/3/2016,1.358,622,312,151
478,Coisa pública,Distribuição Própria,Brasil,9/22/2022,2,2,2,151
479,Pão e gente,Embaúba Filmes,Brasil,5/5/2022,1,1,4,149
480,Milagre das águas,Distribuição Própria,Brasil,9/15/2022,1,1,4,147
481,"Cavalo de Turim, O",Bretz Filmes,Hungria,1/7/2016,0,0,364,147
482,Fora de cena,Kinopus/Elo Studios,Brasil,2/17/2022,1,1,6,146
483,Amarcord,Mais Filmes,Itália,1/10/2003,0,0,0,142
484,Noites alienígenas,Vitrine Filmes,Brasil,3/30/2023,28,27,0,141
485,Nomadland,Disney,EUA,4/29/2021,128,108,86,136
486,Contatado,Pandora Filmes,Brasil,10/13/2022,5,5,3,134
487,Charuto de mel,Imovision,França,11/11/2021,10,9,22,133
488,"Cadeiras, As",Distribuição Própria,Brasil,10/13/2022,1,1,1,124
489,"Ossos da saudade, Os",Olhar Distribuição,Brasil,9/22/2022,3,3,8,123
490,Vaga carne,Embaúba Filmes,Brasil,3/19/2020,0,0,131,122
491,Cabra marcado para morrer,H2O Films,Brasil,9/14/2012,1,1,527,121
492,Êxtase,Descoloniza Filmes,Brasil,12/1/2022,6,6,4,121
493,Toada para José Siqueira,Distribuição Própria,Brasil,6/2/2022,1,1,5,117
494,Adeus à linguagem,Imovision,França,7/30/2015,24,21,375,116
495,Lola e o mar,Filmicca,Bélgica,4/14/2022,2,2,2,115
496,Capitã Marvel,Disney,EUA,3/7/2019,2.305,714,195,113
497,Sapatinho vermelho e os sete anões,Paris,EUA,12/31/2020,518,404,99,111
498,Sete anos em maio,Embaúba Filmes,Brasil,3/19/2020,0,0,111,111
499,007 - Sem tempo para morrer,Universal,EUA,9/30/2021,1.894,641,27,108
500,"Comedy club, O",SuperOito Produções,Brasil,10/27/2022,3,3,5,106
501,Que mal eu fiz a Deus? 2,A2 Filmes,França,12/2/2021,7,7,9,105
502,Los conductos,Olhar Distribuição,Colômbia,8/18/2022,5,5,4,104
503,Esse fim de semana,Pandora Filmes,Argentina,3/10/2022,2,2,2,103
504,Contágio zero,Cinecolor,Canadá,8/4/2022,5,4,1,103
505,Cabeça de nêgo,Corte Seco Filmes,Brasil,10/21/2021,9,8,57,102
506,"Ivan, o TerriRvel",Fênix Filmes,Brasil,9/15/2022,1,1,14,99
507,Não olhe para cima,O2 Play,EUA,12/9/2021,46,36,16,99
508,Terremoto,California,Noruega,3/12/2020,352,307,131,97
509,Desvio,Vitrine Filmes,Brasil,4/29/2021,3,3,61,93
510,"Reflexo do lago, O",Elo Studios,Brasil,8/11/2022,1,1,3,92
511,Turma da Mônica - Laços,DT/Paris,Brasil,6/27/2019,743,496,181,91
512,"Batalha de Shangri-lá, A",Moro Filmes,Brasil,8/11/2022,4,4,2,91
513,Babenco - Alguém tem que ouvir o coração e dizer: parou,Imovision,Brasil,11/26/2020,49,44,105,90
514,Dois irmãos - Uma jornada fantástica,Disney,EUA,3/5/2020,1.359,647,137,90
515,Jurassic World - Reino ameaçado,Universal,EUA,6/21/2018,1.518,695,231,90
516,Passagem secreta,A2 Filmes,Brasil,1/27/2022,5,5,12,90
517,Nunca mais serei a mesma,Bretz Filmes,Brasil,12/1/2022,1,1,4,89
518,Venom - Tempo de carnificina,Sony,EUA,10/7/2021,1.867,614,35,89
519,Nove dias,Sony,EUA,12/9/2021,10,10,4,86
520,Brasileiríssima - A história da telenovela,Bretz Filmes,Brasil,6/9/2022,3,3,3,83
521,"Doce vida, A",Zeta Filmes/FJ Cines,Itália,8/20/2015,12,12,369,82
522,Jumanji - Próxima fase,Sony,EUA,1/16/2020,1.453,649,143,81
523,"Mulher fantástica, Uma",Imovision,Chile,9/7/2017,23,23,235,81
524,Festivais e Mostras 2021,Festivais,Brasil,3/4/2021,1,1,95,81
525,7 Cortes de cabelo no Congo,Consciência Negra,Brasil,11/3/2022,1,1,3,79
526,Enquanto houver amor,California,Reino Unido,11/18/2021,6,6,23,79
527,Amores expressos,Distribuição Própria,Hong Kong,12/9/2021,2,2,23,78
528,Sangre,Distribuição Própria,Argentina,12/3/2020,0,0,106,77
529,Que horas ela volta?,Pandora Filmes,Brasil,8/27/2015,89,87,354,77
530,45ª Mostra Internacional de Cinema SP 2021,Distribuição Própria,Brasil,10/21/2021,14,8,52,75
531,Oito e Meio (1963),FJ Cines,França,8/6/2020,1,1,110,74
532,Aquarius,Vitrine Filmes,Brasil,9/1/2016,103,90,288,74
533,Festival Mulheres no Cinema 2022,Distribuição Própria,Itália,11/10/2022,3,3,1,73
534,"Divã na Tunísia, Um",Imovision,França,3/11/2021,0,0,62,72
535,Encontros (2019),Imovision,França,10/3/2019,12,11,137,71
536,Cidadãos do mundo,Imovision,Itália,9/9/2021,20,19,67,71
537,"Boas vidas, Os",FJ Cines,França,9/8/2022,1,1,1,70
538,Exorcismos e demônios,Imagem/California,EUA,4/19/2018,447,377,202,69
539,"Orfãos, Os",Universal,EUA,1/30/2020,312,273,141,69
540,"Trem da utopia, O",Distribuição Própria,Brasil,5/12/2022,4,4,2,68
541,FICI 2022 - Fest. Int. Cin. Inf.,FICI - Fest. Int. Cin. Inf.,Brasil,11/12/2022,2,1,1,67
542,Madalena,Vitrine Filmes,Brasil,12/9/2021,4,4,25,66
543,Ema,Imovision,Chile,8/12/2021,18,18,40,66
544,No coração do mundo,Embaúba Filmes,Brasil,8/1/2019,16,15,161,66
545,"Noite americana, A",Mais Filmes,França,5/23/2003,0,0,0,65
546,Tito e os pássaros,Elo Studios,Brasil,2/14/2019,38,35,177,64
547,Bagdá vive em mim,Arteplex Filmes,Suíça,9/2/2021,18,18,52,63
548,"Aventuras de Molière, um irreverente e adorável sedutor, As",Imagem,França,7/18/2008,12,12,730,62
549,Fale com as abelhas,Arteplex Filmes,Inglaterra,1/21/2021,21,18,85,62
550,Armadilha explosiva,A2 Filmes,França,6/16/2022,2,2,1,61
551,Doutor Gama,Elo Studios,Brasil,8/5/2021,11,10,69,61
552,"Jovem Ahmed, O",Imovision,França,2/20/2020,9,7,148,60
553,"Auto da compadecida, O (2000)",Globo Filmes,Brasil,6/26/2020,1,1,114,59
554,UglyDolls,Diamond,EUA,5/16/2019,426,353,145,59
555,"Voz da lua, A",FJ Cines,França,9/8/2022,1,1,1,58
556,"Espelho, O",Playarte,EUA,7/3/2014,131,127,422,57
557,Bacurau,Vitrine Filmes,Brasil,8/29/2019,321,242,164,55
558,Solaris,Fox,EUA,3/28/2003,0,0,0,55
