Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
78,"Amor, sublime amor",Disney,EUA,12/9/2021,365,269,4,29.859
79,No ritmo do coração,Diamond,EUA,9/23/2021,396,342,5,27.751
80,"Crônica francesa, A",Disney,EUA,11/18/2021,58,47,7,27.540
81,Alice e Peter - Onde nascem os sonhos,Imagem,EUA,6/3/2021,274,227,4,27.517
82,Convenção das bruxas,Warner,EUA,11/19/2020,568,472,27,27.478
83,Aqueles que me desejam a morte,Warner,Canadá,5/27/2021,235,212,5,27.409
84,"Babá - O chamado das sombras, A",Playarte,Rússia,12/9/2021,185,156,3,26.602
85,Blackpink the movie,Distribuição Própria,Coréia do Sul,7/29/2021,154,144,3,26.276
86,Amarração do amor,DT/Paris,Brasil,10/14/2021,293,211,3,25.826
87,Scooby! O Filme,Warner,EUA,9/10/2020,110,89,66,25.206
88,"Abelhinha Maya - E o ovo dourado, A",Playarte,Alemanha,9/23/2021,492,361,8,24.555
89,Bela vingança,Universal,Reino Unido,5/13/2021,113,97,22,22.156
90,Meu pai,California,Reino Unido,4/8/2021,12,8,20,21.459
91,Família monstro 2,Paris,EUA,12/9/2021,346,271,4,19.885
92,Festival Varilux 2021,Festival Varilux,França,11/24/2021,2,2,5,18.262
93,"Pequenos vestígios, Os",Warner,EUA,4/22/2021,107,87,12,17.116
94,Lucicreide vai pra Marte,DT/Paris,Brasil,3/18/2021,51,45,8,15.004
95,Chernobyl: O filme - Os segredos do desastre,Paris,Rússia,11/18/2021,148,129,2,14.865
96,45ª Mostra Internacional de Cinema SP 2021,Distribuição Própria,Brasil,10/21/2021,14,8,9,14.710
97,Dois + dois,DT/Paris,Brasil,8/12/2021,193,163,3,14.504
98,Matrix (1999),Warner,EUA,10/17/2015,70,46,322,14.064
99,Quem vai ficar com Mário?,DT/Paris,Brasil,6/10/2021,174,131,7,13.858
100,Mostra-me o Pai,360 WayUp,EUA,12/2/2021,91,84,4,13.561
101,Depois a louca sou eu,DT/Paris,Brasil,2/25/2021,199,163,10,13.486
102,Querido Evan Hansen,Universal,EUA,11/11/2021,224,195,5,11.830
103,"Auto da boa mentira, O",Imagem,Brasil,4/29/2021,204,190,10,11.690
104,Em um bairro de Nova York,Warner,EUA,6/17/2021,188,167,6,10.739
105,"Lutar, lutar, lutar",Embaúba Filmes,Brasil,11/11/2021,24,22,8,10.587
106,Vigaristas em Hollywood,Paris,EUA,12/2/2021,250,198,2,10.424
107,Judas e o Messias Negro,Warner,EUA,2/25/2021,86,72,39,10.104
108,Freaky - No corpo de um assassino,Universal,EUA,12/10/2020,495,321,12,9.989
