TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
"Hava, Maryam, Ayesha","Hava, Maryam, Ayesha",Imovision,7/8/2021,Afeganistão,Drama,12,5,"12.629,34",716
Lara,Lara,Imovision,12/30/2021,Alemanha,Drama,14,4,"690,59",35
"Homem ideal, O",I'm your man,Diamond/Galeria,12/23/2021,Alemanha,Comédia,14,6,"25.083,42",1.314
Undine,Undine,Imovision,12/23/2021,Alemanha,Drama,14,10,"15.103,81",757
Sem ressentimentos,No hard feelings,Olhar Distribuição,12/16/2021,Alemanha,Drama,16,4,"2.921,19",211
Casulo,Kokon,Olhar Distribuição,12/9/2021,Alemanha,Drama,16,4,"2.537,31",212
Meu fim. Seu começo.,Relativity,Arteplex Filmes,9/30/2021,Alemanha,Drama,12,19,"75.402,24",3.905
"Abelhinha Maya - E o ovo dourado, A",Maya the bee 3 - The golden orb,Playarte,9/23/2021,Alemanha / Austrália,Animação,Livre,492,"389.389,50",24.555
"Protocolo de Auschwitz, O",Správa - The Report Movie,A2 Filmes,3/25/2021,Alemanha / Eslováquia / República Tcheca,Drama,16,0,"5.053,31",291
Berlin Alexanderplatz,Berlin Alexanderplatz,A2 Filmes,2/18/2021,Alemanha / Holanda / França / Canadá,Drama,16,9,"16.315,51",773
"Matemático, O",Adventures of a mathematician,A2 Filmes,9/2/2021,Alemanha / Polônia / Reino Unido,Drama,12,16,"45.610,15",1.958
DAU. Natasha,DAU. Natasha,Imovision,10/7/2021,Alemanha / Reino Unido / Rússia,Drama,14,1,"508,52",25
"Eu estava em casa, mas","Ich war zuhause, aber...",Zeta Filmes,6/10/2021,Alemanha / Sérvia,Drama,12,4,"3.859,25",188
Quando Hitler roubou o coelho cor-de-rosa,Als Hitler das rosa kaninchen stahl,A2 Filmes,2/18/2021,Alemanha / Suíça,Drama,12,0,"5.793,34",311
"Candidata perfeita, A",The perfect candidate,Imovision,8/26/2021,Arábia Saudita,Drama,12,15,"26.676,57",1.295
Lamaçal,Lamaçal,Elo Company,10/28/2021,Argentina / Brasil,Drama,14,2,"1.000,19",47
"Outra pele, A",La otra piel,Plural Filmes,8/12/2021,Argentina / Brasil,Drama,14,1,"1.620,00",135
"Diabo branco, O",El diablo blanco,Pandora Filmes,8/5/2021,Argentina / Brasil,Terror,14,3,"2.318,75",155
"Barqueira, A",La botera,Zeta Filmes,5/20/2021,Argentina / Brasil,Drama,12,7,"3.162,12",207
Aranha,Araña,Pandora Filmes,9/23/2021,Argentina / Brasil / Chile,Drama,16,17,"23.311,44",1.263
"Crime em comum, Um",Un crimen común,Vitrine Filmes,1/14/2021,Argentina / Brasil / Suíça,Drama,14,15,"18.553,32",1.093
Turma da Mônica - Lições,Turma da Mônica - Lições,DT/Paris,12/30/2021,Brasil,Infantil,Livre,968,"1.043.918,41",59.163
Cora,Cora,Pandora Filmes,12/23/2021,Brasil,Drama,12,1,"299,00",18
Contos do amanhã,Contos do amanhã,Europa,12/9/2021,Brasil,Ficção-científica,14,9,"8.495,97",557
Esquadrão na moral,Esquadrão na moral,Cineart Filmes,12/9/2021,Brasil,Aventura Infantil,Livre,12,"4.411,88",292
Madalena,Madalena,Vitrine Filmes,12/9/2021,Brasil,Suspense,12,4,"1.265,29",162
Hermanoteu na terra de Godah - O filme,Hermanoteu na terra de Godah - O filme,Warner,12/9/2021,Brasil,Comédia,12,1,"173,16",8
Selvagem,Selvagem,Pietá Filmes,12/2/2021,Brasil,Drama,Livre,10,"8.221,21",1.394
Nheengatu - O filme,Nheengatu - O filme,Pandora Filmes,12/2/2021,Brasil,Documentário,Livre,1,"470,00",28
Wild - Rede selvagem,Wild - Rede selvagem,Bretz Filmes,12/2/2021,Brasil,Documentário,10,2,"276,32",16
"Sogra perfeita, A","Sogra perfeita, A",DT/Paris,11/25/2021,Brasil,Comédia,12,406,"839.301,77",66.803
Cravos,Cravos,Elo Company,11/25/2021,Brasil,Documentário,14,11,"3.338,88",200
Meu querido supermercado,Meu querido supermercado,Elo Company,11/25/2021,Brasil,Documentário,Livre,2,"713,29",93
"Novelo, O","Novelo, O",O2 Play,11/25/2021,Brasil,Drama,16,2,"312,00",32
8 Presidentes 1 juramento - A história de um tempo presente,8 Presidentes 1 juramento - A história de um tempo presente,Copacabana,11/18/2021,Brasil,Documentário,12,8,"13.326,75",712
Galeria Futuro,Galeria Futuro,H2O Films,11/18/2021,Brasil,Comédia,16,20,"7.487,93",554
Aleluia - O canto infinito do Tincoã,Aleluia - O canto infinito do Tincoã,Descoloniza Filmes,11/18/2021,Brasil,Documentário,Livre,1,"2.343,00",101
SARS-CoV-2 - O tempo da pandemia,SARS-CoV-2 - O tempo da pandemia,Arteplex Filmes,11/18/2021,Brasil,Documentário,10,9,"1.841,27",106
Nina,Nina,Europa,11/18/2021,Brasil,Drama,14,2,"1.617,21",86
"Lutar, lutar, lutar","Lutar, lutar, lutar",Embaúba Filmes,11/11/2021,Brasil,Documentário,12,24,"208.923,66",10.587
Pixinguinha - Um homem carinhoso,Pixinguinha - Um homem carinhoso,DT/Paris,11/11/2021,Brasil,Drama,14,90,"111.465,87",5.996
Bob Cuspe - Nós não gostamos de gente,Bob Cuspe - Nós não gostamos de gente,Vitrine Filmes,11/11/2021,Brasil,Animação,16,22,"21.680,82",1.257
Curral,Curral,Pandora Filmes,11/11/2021,Brasil,Drama,14,12,"13.227,75",705
Marighella,Marighella,DT/Paris,11/4/2021,Brasil,Biografia,16,341,"6.067.271,20",319.541
Frei Damião - O santo do nordeste,Frei Damião - O santo do nordeste,Elo Company,11/4/2021,Brasil,Documentário,Livre,6,"8.976,61",589
Amigo Arrigo,Amigo Arrigo,Elo Company,11/4/2021,Brasil,Documentário,10,4,"3.241,97",150
Amor sem medida,Amor sem medida,DT/Paris,11/4/2021,Brasil,Comédia - Romântica,14,7,"1.130,00",95
Curupira - O demônio da floresta,Curupira - O demônio da floresta,O2 Play,10/28/2021,Brasil,Fantasia,16,12,"20.895,29",1.250
Júpiter,Júpiter,Elite Filmes,10/28/2021,Brasil,Drama,16,1,"120,00",15
Andre Matos - O Maestro do Rock,Andre Matos - O Maestro do Rock,Cinemark,10/26/2021,Brasil,Documentário,12,5,"27.821,40",1.282
Cabeça de nêgo,Cabeça de nêgo,Corte Seco Filmes,10/21/2021,Brasil,Drama,14,9,"19.026,84",1.482
Amarração do amor,Amarração do amor,DT/Paris,10/14/2021,Brasil,Comédia,12,293,"429.085,65",25.826
Taís e Taiane,Taís e Taiane,Pandora Filmes,10/14/2021,Brasil,Drama,16,1,"803,86",58
"Princesa da Yakuza, A","Princesa da Yakuza, A",Warner,10/7/2021,Brasil,Suspense,16,1,"2.504,00",109
"Jardim secreto de Mariana, O","Jardim secreto de Mariana, O",H2O Films,9/30/2021,Brasil,Drama,16,28,"16.935,60",845
Bravos valentes,Bravos valentes,Plural Filmes,9/30/2021,Brasil,Documentário,,2,"3.915,82",258
Zimba,Zimba,Bretz Filmes,9/30/2021,Brasil,Documentário,12,2,"1.037,03",57
Garota da moto,Garota da moto,DT/Paris,9/23/2021,Brasil,Ação,14,131,"49.062,23",2.930
"Silêncio da chuva, O","Silêncio da chuva, O",Elo Company,9/23/2021,Brasil,Suspense,16,20,"29.053,57",1.559
"Filho único do meu pai, O","Filho único do meu pai, O",D1 Realizações,9/23/2021,Brasil,Comédia,12,6,"11.855,96",878
Nem tudo se desfaz,Nem tudo se desfaz,Lavra Filmes,9/23/2021,Brasil,Documentário,14,2,"5.359,00",333
Dora e Gabriel,Dora e Gabriel,O2 Play,9/23/2021,Brasil,Drama,14,5,"1.559,04",90
Você não é um soldado,Você não é um soldado,Elo Company,9/23/2021,Brasil,Documentário,14,1,"364,00",59
Reação em cadeia,Reação em cadeia,DT/Paris,9/16/2021,Brasil,Ação,16,115,"62.230,89",3.217
Meu nome é Bagdá,Meu nome é Bagdá,Pagu Pictures,9/16/2021,Brasil,Drama,16,4,"10.866,80",700
Virando a mesa,Virando a mesa,DT/Paris,9/16/2021,Brasil,Comédia - Ação,16,5,"542,06",37
"Última floresta, A",A última floresta,Gullane Distribuidora,9/9/2021,Brasil,Documentário,14,5,"33.312,38",1.621
"Casal inseparável, Um","Casal inseparável, Um",H2O Films,9/9/2021,Brasil,Comédia - Romântica,12,17,"16.551,33",898
Danças negras,Danças negras,Lira Filmes,9/9/2021,Brasil,Documentário,12,5,"6.169,91",491
Por que você não chora?,Por que você não chora?,O2 Play,9/9/2021,Brasil,Drama,14,5,"5.564,65",311
"Palhaço, deserto, O","Palhaço, deserto, O",Bretz Filmes,9/2/2021,Brasil,Drama,14,2,"1.569,72",70
Intervenção,Intervenção,DT/Paris,9/2/2021,Brasil,Ação - Policial,16,0,"523,50",37
Encarcerados,Encarcerados,Gullane Distribuidora,8/26/2021,Brasil,Documentário,14,16,"30.763,71",2.804
Homem onça,Homem onça,Pandora Filmes,8/26/2021,Brasil,Drama,14,14,"8.669,99",500
"Nuvem rosa, A","Nuvem rosa, A",O2 Play,8/26/2021,Brasil,Ficção-científica,16,7,"4.271,28",270
Lamento,Lamento,Moro Filmes,8/26/2021,Brasil,Suspense,16,5,"3.142,90",155
Valentina,Valentina,Anagrama Filmes,8/19/2021,Brasil,Drama,14,13,"3.331,11",178
Limiar,Limiar,Taturana Mobilização Social,8/19/2021,Brasil,Documentário,12,2,"558,63",60
Coração errante,Errante corazón,Elo Company,8/19/2021,Brasil,Drama,18,1,"399,80",20
Dois + dois,Dois + dois,DT/Paris,8/12/2021,Brasil,Comédia,16,193,"272.747,92",14.504
Cavalo,Cavalo,Descoloniza/La Ursa,8/12/2021,Brasil,Documentário,14,11,"17.188,95",1.344
Luana Muniz - Filha da lua,Luana Muniz - Filha da lua,Lira Filmes,8/12/2021,Brasil,Documentário,14,9,"11.937,70",784
Doutor Gama,Doutor Gama,Elo Company,8/5/2021,Brasil,Drama,14,11,"111.505,22",5.592
Piedade,Piedade,Art House Movies,8/5/2021,Brasil,Drama,18,18,"62.735,01",4.238
Mangueira em 2 tempos,Mangueira em 2 tempos,Arteplex Filmes,8/5/2021,Brasil,Documentário,10,15,"17.266,49",2.022
Vento seco,Vento seco,Olhar Distribuição,8/5/2021,Brasil,Drama,18,4,"11.172,18",560
"Pergaminho Vermelho, O","Pergaminho Vermelho, O",Vitrine Filmes,8/5/2021,Brasil,Animação,Livre,1,"224,30",10
Ana. Sem Título,Ana. Sem Título,Imovision,7/29/2021,Brasil,Drama,12,10,"5.706,13",312
Rodantes,Rodantes,Zeta Filmes,7/29/2021,Brasil,Drama,16,10,"5.171,69",277
