TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
"Buscador, O","Buscador, O",O2 Play,7/29/2021,Brasil,Comédia,14,6,"2.624,32",138
Diários de intercâmbio,Diários de intercâmbio,DT/Paris,7/29/2021,Brasil,Comédia,Livre,1,"227,00",34
L.O.C.A.,L.O.C.A.,Imagem,7/29/2021,Brasil,Comédia,16,1,"163,80",10
Paul Singer - Uma utopia militante,Paul Singer - Uma utopia militante,Distribuição Própria,7/29/2021,Brasil,Documentário,Livre,1,"5,79",1
Música para quando as luzes se apagam,Música para quando as luzes se apagam,Art House Movies,7/22/2021,Brasil,Drama,14,11,"2.959,47",233
Migliaccio - O brasileiro em cena,Migliaccio - O brasileiro em cena,Bretz Filmes,7/8/2021,Brasil,Documentário,14,4,"1.413,23",88
Anna,Anna,Imovision,7/1/2021,Brasil,Drama,14,10,"10.827,20",576
Rumo,Rumo,Kinoscópio,7/1/2021,Brasil,Documentário,10,8,"2.741,00",150
4x100 - Correndo por um sonho,4x100 - Correndo por um sonho,Imovision,6/24/2021,Brasil,Drama,12,28,"75.602,15",5.115
Noites de alface,Noites de alface,Pipa Produções,6/24/2021,Brasil,Drama,12,13,"5.168,90",284
Veneza,Veneza,Imagem,6/17/2021,Brasil,Drama,16,169,"144.663,14",7.493
Helen,Helen,Elo Company,6/17/2021,Brasil,Drama,14,10,"2.722,96",172
Quem vai ficar com Mário?,Quem vai ficar com Mário?,DT/Paris,6/10/2021,Brasil,Comédia,14,174,"255.365,26",13.878
Missão cupido,Missão cupido,H2O Films,6/10/2021,Brasil,Comédia,14,26,"20.362,07",1.200
Acqua movie,Acqua movie,Imovision,6/10/2021,Brasil,Drama,Livre,7,"5.979,58",320
Cine Marrocos,Cine Marrocos,Bretz Filmes,6/3/2021,Brasil,Documentário,12,7,"4.984,16",285
A quem interessa a ignorância?,A quem interessa a ignorância?,O2 Play,6/3/2021,Brasil,Documentário,12,2,"881,55",45
Portuñol,Portuñol,Lança Filmes,6/3/2021,Brasil,Documentário,10,1,"351,00",41
Alvorada,Alvorada,Vitrine Filmes,5/27/2021,Brasil,Documentário,Livre,14,"10.297,87",567
Loop,Loop,Elo Company,5/20/2021,Brasil,Ficção-científica,14,1,"320,80",20
Libelu - Abaixo a ditadura,Libelu - Abaixo a ditadura,Boulevard Filmes,5/13/2021,Brasil,Documentário,14,5,"3.975,53",222
Boa noite,Boa noite,Bretz Filmes,5/13/2021,Brasil,Documentário,10,2,"461,17",23
Raia 4,Raia 4,Boulevard Filmes,5/6/2021,Brasil,Drama,14,2,"862,97",70
"Siron, tempo sobre tela","Siron, tempo sobre tela",Pandora Filmes,5/6/2021,Brasil,Documentário,Livre,2,"409,59",21
"Auto da boa mentira, O","Auto da boa mentira, O",Imagem,4/29/2021,Brasil,Comédia,12,204,"193.693,75",11.700
Desvio,Desvio,Vitrine Filmes,4/29/2021,Brasil,Drama,16,3,"337,07",34
Nazinha - Olhai por nós,Nazinha - Olhai por nós,Boulevard Filmes,4/29/2021,Brasil,Documentário,14,1,"294,59",21
"Torre, A","Torre, A",Vitrine Filmes,4/29/2021,Brasil,Drama,16,3,"250,23",37
Chão,Chão,Vitrine Filmes,4/29/2021,Brasil,Documentário,10,3,"145,59",24
Proibido nascer no paraíso,Proibido nascer no paraíso,Boulevard Filmes,4/15/2021,Brasil,Documentário,Livre,1,"52,00",24
Chorão - Marginal alado,Chorão - Marginal alado,O2 Play,4/8/2021,Brasil,Documentário,14,4,"10.139,12",555
"Mulher da luz própria, A","Mulher da luz própria, A",Mercúrio Produções,4/8/2021,Brasil,Documentário,12,1,"190,00",13
Currais,Currais,O2 Play,4/1/2021,Brasil,Documentário,12,1,"985,00",118
Lucicreide vai pra Marte,Lucicreide vai pra Marte,DT/Paris,3/18/2021,Brasil,Comédia,10,51,"202.213,61",15.007
Amigas de sorte,Amigas de sorte,DT/Paris,3/18/2021,Brasil,Comédia,14,1,"4.150,00",415
Como ela faz?,Como ela faz?,Distribuição Própria,3/4/2021,Brasil,Documentário,12,1,"60,00",4
"Pantanal, a boa inocência de nossas origens","Pantanal, a boa inocência de nossas origens",Elo Company,3/4/2021,Brasil,Documentário,10,1,"56,37",3
Depois a louca sou eu,Depois a louca sou eu,DT/Paris,2/25/2021,Brasil,Comédia,16,199,"245.825,69",13.494
Christabel,Christabel,Pipa Produções,2/25/2021,Brasil,Drama,14,11,"1.766,98",96
"Minha fortaleza, os filhos de fulano","Minha fortaleza, os filhos de fulano",Distribuição Própria,2/25/2021,Brasil,Documentário,14,1,"285,00",15
Alcione - O samba é primo do jazz,Alcione - O samba é primo do jazz,Distribuição Própria,2/11/2021,Brasil,Biografia,12,1,"974,08",52
"Ponte de bambu, A","Ponte de bambu, A",Elo Company,2/11/2021,Brasil,Documentário,10,1,"879,13",47
Quem pode jogar?,Quem pode jogar?,Distribuição Própria,2/11/2021,Brasil,Documentário,18,1,"63,00",12
Dente por dente,Dente por dente,Vitrine Filmes,1/28/2021,Brasil,Suspense,16,122,"105.761,90",6.582
"Chacrinha, eu vim para confundir e não para explicar","Chacrinha, eu vim para confundir e não para explicar",Bretz Filmes,1/28/2021,Brasil,Documentário,12,2,"2.056,85",115
Callado,Callado,Bretz Filmes,1/21/2021,Brasil,Documentário,12,3,"2.002,27",113
"Salafrários, Os","Salafrários, Os",DT/Paris,1/14/2021,Brasil,Comédia,12,2,"7.956,00",612
Atravessa a vida,Atravessa a vida,Copacabana,1/14/2021,Brasil,Documentário,12,6,"3.175,46",177
Delicadeza é azul,Delicadeza é azul,Pipa Produções,1/14/2021,Brasil,Documentário,Livre,7,"1.087,60",57
"Tio quase perfeito 2, Um","Tio quase perfeito 2, Um",H2O Films,1/7/2021,Brasil,Comédia,Livre,436,"1.214.930,32",78.029
"Último jogo, O","Último jogo, O",Pandora Filmes,5/20/2021,Brasil / Argentina / Colômbia,Comédia,14,4,"1.352,67",76
King Kong em Asunción,King Kong em Asunción,ArtHouse,9/2/2021,Brasil / Bolívia / Paraguai,Drama,16,13,"5.770,27",386
AmarAção,AmarAção,Boca a Boca Filmes,6/10/2021,Brasil / França / Israel,Comédia - Romântica,12,9,"1.881,61",85
"Lobos do leste, Os",The wolf of the east,Bretz Filmes,2/25/2021,Brasil / Inglaterra / Japão / Suíça,Drama,12,2,"1.626,31",89
"Entre nós, um segredo","Entre nós, um segredo",Vitrine Filmes,4/29/2021,Brasil / México,Documentário,Livre,3,"244,86",34
Deserto particular,Deserto particular,Pandora Filmes,11/25/2021,Brasil / Portugal,Drama,14,18,"71.922,86",3.880
"Sentido da vida, O","Sentido da vida, O",DT/Paris,9/23/2021,Brasil / Portugal,Documentário,14,11,"2.834,28",167
"Animal amarelo, Um","Animal amarelo, Um",Olhar Distribuição,8/26/2021,Brasil / Portugal,Drama,16,9,"3.867,53",208
Chico Ventana também queria ter um submarino,Chico Ventana também queria ter um submarino,Vitrine Filmes,7/8/2021,Brasil / Uruguai / Argentina,Drama,12,5,"2.151,47",287
Aqueles que me desejam a morte,Those who wish me dead,Warner,5/27/2021,Canadá / EUA,Suspense,16,278,"505.742,14",27.426
Mortal Kombat,Mortal Kombat,Warner,5/20/2021,Canadá / EUA,Ação,16,1.048,"4.190.670,80",258.045
Duna,Dune,Warner,10/21/2021,Canadá / Hungria / Reino Unido / EUA,Ficção-científica,14,1.408,"16.261.326,88",827.044
Falling - Ainda há tempo,Falling,California,12/2/2021,Canadá / Reino Unido / Dinamarca,Drama,14,9,"7.604,16",387
Ema,Ema,Imovision,8/12/2021,Chile,Drama,16,18,"38.209,48",1.776
Nona - Se me molham eu os queimo,"Nona, si me mojan, yo los quenmo",Vitrine Filmes,2/18/2021,Chile,Fantasia,12,10,"7.399,87",360
"Fio invisível, O",Fever dream,O2 Play,10/7/2021,Chile / Espanha / EUA,Terror,12,6,"2.626,90",142
Eternos companheiros,Xiao Q,A2 Filmes,8/19/2021,China / Hong Kong,Drama,12,7,"3.767,75",220
Shadow,Ying,Playarte,8/12/2021,China / Hong Kong,Ação,16,13,"17.315,35",816
Monsta X - The dreaming,Monsta X - The dreaming,Distribuição Própria,12/9/2021,Coréia do Sul,Documentário,,107,"84.612,63",4.159
Blackpink the movie,Blackpink the movie,Distribuição Própria,7/29/2021,Coréia do Sul,Documentário,Livre,154,"516.060,16",26.276
De volta para casa,Coming home again,Zeta Filmes,9/9/2021,Coréia do Sul / EUA,Drama,12,10,"10.860,07",602
Druk - Mais uma rodada,Another round,Vitrine/Synapse,3/25/2021,Dinamarca,Comédia - Dramática,16,5,"59.316,87",3.490
Madre,Madre,Imovision,11/25/2021,Espanha / França,Drama,14,7,"4.091,79",222
"Janela para o mar, Uma",Una ventana al mar,Imovision,10/14/2021,Espanha / Grécia,Drama,14,16,"50.933,55",2.582
Matrix Resurrections,The Matrix Resurrections,Warner,12/22/2021,EUA,Ficção-científica,14,961,"11.737.405,14",641.932
Homem-Aranha - Sem volta para casa,Spider-Man - No way home,Sony,12/16/2021,EUA,Ação/ Aventura,12,5.880,"218.319.693,72",11.962.339
Missão resgate,The ice road,Imagem,12/9/2021,EUA,Suspense,14,528,"1.452.927,10",86.574
"Amor, sublime amor",West side story,Disney,12/9/2021,EUA,Musical,14,460,"622.017,05",29.818
Família monstro 2,Monster family 2,Paris,12/9/2021,EUA,Animação,Livre,347,"321.304,80",19.868
Não olhe para cima,Don't look up,O2 Play,12/9/2021,EUA,Comédia,16,46,"90.695,48",4.508
Nove dias,Nine days,Sony,12/9/2021,EUA,Drama,14,10,"28.141,63",1.375
Resident Evil - Bem-vindo a Raccoon City,Resident Evil - Welcome to Raccoon City,Sony,12/2/2021,EUA,Ação,16,953,"4.578.260,99",282.546
Clifford - O gigante cão vermelho,Clifford the big red dog,Paramount,12/2/2021,EUA,Infantil,Livre,543,"3.030.967,89",189.611
King Richard - Criando campeãs,King Richard,Warner,12/2/2021,EUA,Biografia,12,459,"1.174.854,84",52.061
Mostra-me o Pai,Show me the father,360 WayUp,12/2/2021,EUA,Documentário,10,91,"203.821,36",13.561
Vigaristas em Hollywood,The comeback trail,Paris,12/2/2021,EUA,Ação,14,306,"188.776,80",10.424
Encanto,Encanto,Disney,11/25/2021,EUA,Animação,Livre,1.515,"20.218.620,26",1.319.767
Casa Gucci,House of Gucci,Universal,11/25/2021,EUA,Drama,14,922,"9.031.175,14",424.331
Ghostbusters - Mais além,Ghostbusters - Afterlife,Sony,11/18/2021,EUA,Ação,12,1.634,"7.756.358,88",503.063
"Crônica francesa, A",The french dispatch,Disney,11/18/2021,EUA,Comédia,14,58,"632.747,84",27.540
Deus não está morto - O próximo capítulo,God's not dead - We the people,California,11/11/2021,EUA,Drama,10,326,"1.331.075,40",89.137
"Profissional, A",The protege,Imagem,11/11/2021,EUA,Ação,16,394,"727.500,61",41.407
Querido Evan Hansen,Dear Evan Hansen,Universal,11/11/2021,EUA,Musical,14,274,"269.336,19",11.830
"Tick, Tick…Boom!","Tick, Tick…Boom!",Netflix,11/11/2021,EUA,Musical,12,4,"7.013,06",333
Eternos,The eternals,Disney,11/4/2021,EUA,Ação,10,2.750,"71.206.011,23",4.154.488
"Família Addams 2 - Pé na estrada, A",The Addams family 2,Universal,10/28/2021,EUA,Animação,Livre,1.066,"11.313.778,25",705.227
Espíritos obscuros,Antlers,Disney,10/28/2021,EUA,Terror,16,502,"1.532.063,47",95.098
"História de família, Uma","Family Romance, LCC",Arteplex Filmes,10/28/2021,EUA,Drama,12,14,"73.872,89",3.736
Stillwater: Em busca da verdade,Stillwater,Warner,10/28/2021,EUA,Drama,14,3,"716,53",62
Ron bugado,Ron's gone wrong,Disney,10/21/2021,EUA,Animação,Livre,942,"3.863.155,12",239.844
Halloween kills - O terror continua,Halloween kills,Universal,10/14/2021,EUA,Terror,16,931,"6.441.392,47",419.604
"Último duelo, O",The last duel,Disney,10/14/2021,EUA,Drama,16,417,"1.257.169,02",59.345
Fátima - A história de um milagre,Fátima,Diamond/Galeria,10/14/2021,EUA,Drama,12,321,"1.006.955,92",62.934
Venom - Tempo de carnificina,Venom - Let there be carnage,Sony,10/7/2021,EUA,Ação,14,3.204,"67.081.932,81",4.088.134
"Direito de viver, O",Roe v. Wade,A2 Filmes,10/7/2021,EUA,Drama,14,2,"2.695,03",148
"Casa sombria, A",The night house,Disney,9/23/2021,EUA,Terror,14,673,"2.151.307,21",133.181
Oasis Knebworth 1996,Oasis Knebworth 1996,Distribuição Própria,9/23/2021,EUA,Documentário,,59,"58.295,89",2.323
Escape room 2 - Tensão máxima,Escape room 2,Sony,9/16/2021,EUA,Terror,14,814,"3.010.759,72",185.771
Mate ou morra,Boss level,Imagem,9/16/2021,EUA,Ação,16,630,"1.547.517,81",89.086
Cry macho - O caminho para a redenção,Cry macho,Warner,9/16/2021,EUA,Drama,12,20,"187.189,91",7.611
Patrulha Canina - O filme,Paw Patrol - The movie,Paramount,9/9/2021,EUA,Animação,Livre,826,"12.681.897,40",778.395
Maligno,Malignant,Warner,9/9/2021,EUA,Terror,16,1.020,"4.194.699,22",255.494
Shang-Chi e a lenda dos dez anéis,Shang-Chi and the legend of the ten rings,Disney,9/2/2021,EUA,Ação,12,2.097,"39.524.609,49",2.227.415
After - Depois do desencontro,After we fell,Diamond/Galeria,9/2/2021,EUA,Drama,16,748,"2.918.034,84",170.186
"Noite de crime - A fronteira, Uma",The forever purge,Universal,9/2/2021,EUA,Terror,16,199,"840.358,24",47.838
"If I Can't Have Love, I Want Power","If I Can't Have Love, I Want Power",Distribuição Própria,8/28/2021,EUA,Drama - Musical,,2,"19.306,56",730
Pedro Coelho 2 - O fugitivo,Peter Rabbit 2: The runaway,Sony,8/26/2021,EUA,Infantil,Livre,747,"2.707.754,87",168.234
"Lenda de Candyman, A",Candyman,Universal,8/26/2021,EUA,Terror,16,661,"1.829.895,54",107.060
Free Guy - Assumindo o controle,Free guy,Disney,8/19/2021,EUA,Ação,12,1.451,"8.100.775,36",461.667
Caminhos da memória,Reminiscence,Warner,8/19/2021,EUA,Ficção-científica,14,433,"663.239,62",30.695
"Poderoso chefinho 2 - Negócios da família, O",Boss baby 2,Universal,8/12/2021,EUA,Animação,Livre,1.193,"11.196.568,75",708.621
"Homem nas trevas 2, O",Don't breathe 2,Sony,8/12/2021,EUA,Terror,16,853,"3.819.432,50",224.080
"Esquadrão Suicida, O",The Suicide Squad,Warner,8/5/2021,EUA,Ação,16,2.045,"23.903.479,07",1.395.871
Jungle Cruise,Jungle Cruise,Disney,7/29/2021,EUA,Aventura,12,1.111,"4.954.976,54",289.304
Tempo,Old,Universal,7/29/2021,EUA,Thriller,14,619,"3.394.403,10",177.722
Dupla explosiva 2 e a primeira-dama do crime,The hitman's wife's bodyguard,Paris,7/29/2021,EUA,Ação,16,499,"1.025.508,08",58.713
"Lugar silencioso - Parte II, Um",A quiet place - Part II,Paramount,7/22/2021,EUA,Terror,14,1.414,"10.798.505,42",618.992
Space jam - Um novo legado,Space jam - A new legacy,Warner,7/15/2021,EUA,Aventura,Livre,1.071,"14.836.109,87",914.007
Viúva Negra,Black Widow,Disney,7/8/2021,EUA,Ação,12,2.018,"34.563.514,05",2.011.935
Knives and skin,Knives and skin,Zeta Filmes,7/8/2021,EUA,Drama,16,4,"2.962,23",172
"Croods 2 - Uma nova era, Os",Croods 2,Universal,7/1/2021,EUA,Animação,Livre,1.157,"13.187.516,15",859.601
Velozes e furiosos 9,Fast & Furious 9,Universal,6/24/2021,EUA,Ação,14,2.324,"71.354.939,58",4.259.621
Espiral - O legado de Jogos Mortais,Spiral - From the book of saw,Paris,6/17/2021,EUA,Terror,18,600,"2.022.485,58",118.809
Em um bairro de Nova York,In the heights,Warner,6/17/2021,EUA,Musical,12,233,"224.941,31",10.748
Spirit - O indomável,Spirit untamed,Universal,6/10/2021,EUA,Animação,Livre,570,"1.726.792,20",110.587
First cow - A primeira vaca da América,First cow,Vitrine Filmes,6/10/2021,EUA,Faroeste,12,6,"9.482,56",590
Invocação do mal 3 - A ordem do demônio,The conjuring - The devil made me do it,Warner,6/3/2021,EUA,Terror,14,1.437,"31.152.698,09",1.846.652
Cruella,Cruella,Disney,5/27/2021,EUA,Comédia,12,971,"10.810.949,09",607.161
Em guerra com o vovô,War with grandpa,Diamond/Galeria,5/20/2021,EUA,Comédia,10,464,"903.778,80",54.922
"Amor, casamentos e outros desastres","Love, weddings & other disasters",California,5/20/2021,EUA,Romance,14,23,"81.725,01",2.800
Mundo em caos,Chaos walking,Paris,5/13/2021,EUA,Aventura,14,486,"1.014.945,13",61.185
Godzilla vs Kong,Godzilla vs Kong,Warner,5/6/2021,EUA,Ação,12,1.121,"12.945.989,02",802.561
Rogai por nós,The unholy,Sony,5/6/2021,EUA,Terror,14,517,"4.825.706,96",294.169
Music,Music by Sia,Cinecolor,5/6/2021,EUA,Musical,14,16,"1.284,70",51
Nomadland,Nomadland,Disney,4/29/2021,EUA,Drama,12,128,"743.579,26",33.526
"Pequenos vestígios, Os",The little things,Warner,4/22/2021,EUA,Suspense,16,107,"365.001,68",17.116
