,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
50,Creed II,Creed II,Warner,1/24/2019,Afeganistão,Drama,12,624,"10.569.944,10",682.333
51,A caminho de casa,A dog's way home,Sony,2/28/2019,EUA,Drama,Livre,455,"9.536.136,82",663.655
52,Mais que vencedores,Overcomer,360 WayUp/CanZión Films,11/21/2019,EUA,Drama,10,497,"9.400.120,95",722.403
53,Dora e a cidade perdida,Dora and the lost city of gold,Paramount,11/14/2019,EUA,Aventura,10,653,"8.876.874,82",594.898
54,A morte te dá parabéns 2,Happy death day 2u,Universal,2/21/2019,EUA,Terror,14,712,"8.499.488,39",598.884
55,Godzilla II - Rei dos monstros,Godzilla - King of the monsters,Warner,5/30/2019,EUA,Ação,12,1.092,"8.472.826,11",538.491
56,Cemitério maldito,Pet sematary,Paramount,5/9/2019,EUA,Horror,16,557,"8.375.777,28",553.704
57,Nós,Us,Universal,3/21/2019,EUA,Terror,16,381,"8.371.442,15",516.151
58,Entre facas e segredos,Knives out,Paris,12/12/2019,EUA,Comédia,14,460,"8.329.313,57",469.967
59,Escape room,Escape room,Sony,2/7/2019,EUA,Thriller,14,572,"7.958.721,56",532.678
60,Uma segunda chance para amar,Last christmas,Universal,11/28/2019,Reino Unido,Comédia,12,541,"7.721.279,26",514.268
61,Invasão ao serviço secreto,Angel has fallen,Imagem / California,11/14/2019,EUA,Ação,14,484,"7.583.580,83",483.303
62,Sai de baixo - O filme,Sai de baixo - O filme,Imagem,2/21/2019,Brasil,Comédia,12,719,"7.127.547,10",470.249
63,Patrulha canina - Super filhotes,Paw patrol - Mighty pups,Paris,6/6/2019,EUA,Animação,Livre,510,"7.096.548,85",482.150
64,As panteras,Charlie's angels,Sony,11/14/2019,EUA,Ação,14,691,"6.990.095,63",470.205
65,Ad astra - Rumo às estrelas,Ad astra,Disney,9/26/2019,EUA,Aventura,14,632,"6.839.418,58",363.026
66,Divaldo - O mensageiro da paz,Divaldo - O mensageiro da paz,Disney,9/12/2019,Brasil,Drama,12,375,"6.807.616,79",435.297
67,Cinderela pop,Cinderela pop,Galeria Distribuidora,2/28/2019,Brasil,Fantasia,Livre,536,"6.735.999,05",467.526
68,Uma aventura Lego 2,The Lego movie 2,Warner,2/7/2019,EUA,Animação,Livre,900,"6.344.359,57",406.035
69,Ford vs Ferrari,Ford v. Ferrari,Disney,11/14/2019,EUA,Biografia,12,388,"5.866.478,30",289.282
70,Detetives do Prédio Azul 2 - O mistério italiano,Detetives do Prédio Azul 2 - O mistério italiano,DTF/Paris,12/20/2018,Brasil,Infantil,Livre,1.054,"5.675.532,70",440.939
71,A maldição da chorona,The curse of La Llorona,Warner,4/18/2019,EUA,Terror,14,576,"5.606.376,29",362.637
72,Máquinas mortais,Mortal engines,Universal,1/10/2019,EUA,Ficção-científica,14,465,"5.256.816,79",333.997
73,Brinquedo assassino,Child's play,Imagem,8/22/2019,Canadá/ EUA,Terror,16,810,"5.007.959,41",345.138
74,A favorita,The favourite,Fox,1/24/2019,EUA/ Reino Unido,Drama,14,81,"4.990.555,98",256.162
75,Doutor sono,Doctor sleep,Warner,11/7/2019,EUA,Terror,16,750,"4.891.749,26",303.496
76,Vice,Vice,Imagem,1/31/2019,EUA,Drama,14,156,"4.731.152,41",218.355
77,Dor e glória,Dolor y gloria,Universal,6/13/2019,Espanha,Drama,16,58,"4.190.210,23",223.970
78,Zumbilândia - Atire duas vezes,Zombieland 2 - Double tap,Sony,10/24/2019,EUA,Comédia,16,565,"4.174.809,41",288.575
79,Brincando com fogo,Playing with fire,Paramount,12/12/2019,EUA,Comédia,Livre,423,"4.080.937,75",310.688
80,A mula,The mule,Warner,2/14/2019,EUA,Drama,16,99,"3.973.725,57",180.836
81,After,After,Diamond Films,4/11/2019,EUA,Romance,14,592,"3.887.358,33",265.755
82,Crime sem saída,21 bridges,Galeria Distribuidora,12/12/2019,EUA,Ação,14,504,"3.788.170,05",263.240
