,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
226,Legalidade,Legalidade,Boulevard Filmes,9/12/2019,Brasil,Drama,14,32,"152.150,72",11.039
227,Cyrano mon amour,Edmond,A2 Filmes,6/27/2019,França,Comédia,14,24,"149.839,49",10.080
228,Verão de 84,Summer of 84,Cinecolor,8/29/2019,EUA/Canadá,Terror,16,108,"147.795,59",9.793
229,Climax,Climax,Imovision,1/31/2019,França,Drama,18,22,"146.728,89",8.425
230,A nossa espera,Nos batailles,Vitrine Filmes,1/3/2019,Bélgica/ França,Drama,12,19,"145.607,73",8.502
231,Memórias da dor,La douleur,Imovision,6/6/2019,França,Drama,12,6,"144.170,48",8.396
232,Vision,Vision,Imovision,9/5/2019,Japão/França,Drama,16,17,"142.011,64",7.720
233,Fora de série,Booksmart,Imagem,6/13/2019,EUA,Comédia,16,114,"140.939,13",9.670
234,Emma e as cores da vida,Il colore nascosto delle cose,Arteplex Filmes,12/27/2018,Itália,Drama,14,15,"140.625,14",8.763
235,Feliz aniversário,Fête de famille,Imovision,12/5/2019,França,Drama,16,9,"140.352,85",7.252
236,O mau exemplo de Cameron Post,The miseducation of cameron post,Pandora,4/18/2019,EUA,Drama,16,38,"136.750,26",8.247
237,A pequena travessa,Little miss dolittle,Paris,7/11/2019,Alemanha,Infantil,Livre,82,"135.069,57",9.265
238,A casa de veraneio,Les estivants,Imovision,2/28/2019,França/ Itália,Drama,12,16,"134.314,41",7.752
239,Era uma vez um Deadpool,Once upon a Deadpool,Fox,12/27/2018,EUA,Ação,????,98,"134.260,37",9.885
240,Vox lux - O preço da fama,Vox Lux,Paris,3/28/2019,EUA,Drama,16,32,"132.638,19",6.271
241,O bar Luva Dourada,Der Goldene Handschuh,Imovision,7/18/2019,Alemanha,Suspense,18,14,"129.324,14",7.568
242,P pintassilgo,The goldfinch,Warner,10/10/2019,EUA,Drama,16,21,"128.821,82",6.609
243,O mistério do gato chinês,Kûkai,Playarte,7/25/2019,China/ Japão,Fantasia,14,34,"128.595,28",6.968
244,Noite mágica,Notti magiche,Imovision,8/15/2019,Itália,Comédia,16,20,"126.010,78",7.657
245,Estaremos sempre juntos,Nous finirons ensemble,Imovision,11/14/2019,França / Bélgica,Comédia - Dramática,14,9,"125.205,25",7.101
246,Amor até as cinzas,Ash is purest white,Imovision,4/18/2019,China/ França,Drama,12,17,"123.998,22",7.121
247,Los silencios,Los silencios,Vitrine Filmes,4/11/2019,Brasil/Colômbia/França,Drama,12,19,"122.624,29",7.567
248,Mademoiselle Paradis,Mademoiselle Paradis,A2 Filmes,5/9/2019,Áustria/Alemanha,Drama,14,24,"122.607,13",7.301
249,Varda por Agnès,Varda by Agnès,Imovision,5/9/2019,França,Documentário,12,14,"122.097,43",7.322
250,Synonymes,Synonymes,Fênix Filmes/Escarlate,12/12/2019,França / Israel / Alemanha,Drama,18,17,"121.620,55",7.262
251,A lenda de Golem,The Golem,Playarte,6/13/2019,Israel,Terror,16,88,"120.097,92",7.803
252,Albatroz,Albatroz,DTF/Paris,3/7/2019,Brasil,Suspense,14,65,"113.390,33",6.455
253,Em trânsito,Transit,Supo Mungam Films,4/11/2019,Alemanha/ França,Drama,Livre,10,"112.391,46",7.494
254,Minha lua de mel polonesa,Lune de miel,Pandora,8/29/2019,França,Comédia,12,33,"109.743,92",6.562
255,Finalmente livres,En Liberté!,California,12/12/2019,França,Drama,14,81,"109.595,47",7.143
256,Pássaros de verão,Birds of passage,Arteplex Filmes,8/22/2019,Colômbia/ Dinamarca/ México/ Alemanha/ Suíça/ França,Drama,16,7,"109.335,78",6.270
257,A camareira,La camarista,Supo Mungam Films,11/14/2019,México,Drama,14,26,"106.430,87",6.558
258,Os dois filhos de Joseph,Deux fils,Pandora,8/1/2019,França,Comédia - Dramática,????,19,"103.052,64",6.797
259,Quando Margot encontra Margot,La belle et la belle,Pandora,4/4/2019,França,Comédia,14,40,"100.373,39",5.922
260,Imagem e palavra,Le livre d'image,Imovision,3/14/2019,França/ Suiça,Drama,16,16,"99.831,01",5.955
261,Papicha,Papicha,Pandora,10/31/2019,Argélia/ França/ Bélgica/ Qatar,Drama,16,39,"98.073,76",6.470
262,Três faces,Se rokh,Imovision,4/4/2019,Irã,Drama,14,8,"97.498,60",5.721
263,Filhas do Sol,Les filles du soleil,California,9/26/2019,França/ Bélgica/ Geórgia/ Suíça,Drama,16,7,"96.660,13",7.046
264,Retrato do amor,Photograph,California,8/8/2019,Alemanha/ Índia/ EUA,Romance,12,10,"95.681,56",5.461
265,Bate coração,Bate coração,DTF/Paris,11/7/2019,Brasil,Drama,12,88,"94.300,54",5.989
266,Greta,Greta,Pandora,10/10/2019,Brasil,Drama,18,18,"94.080,13",6.974
267,Um amante francês,Just a gigolo,Pagu Pictures,11/28/2019,França,Comédia,12,21,"89.241,25",4.966
268,Suspíria - A dança do medo,Suspiria,Playarte,4/11/2019,Itália/EUA,Terror,16,16,"87.786,90",5.614
269,O silêncio dos outros,El silencio de otros,Supo Mungam Films,2/28/2019,Espanha/ EUA,Documentário,12,11,"87.676,30",5.698
270,Meditation park,Meditation park,Lança Filmes,4/11/2019,Canadá,Documentário,10,6,"85.234,56",4.978
271,Aqueles que ficaram,Akik maradtak,Supo Mungam Films,12/26/2019,Hungria,Drama,12,19,"83.399,37",4.696
272,Meu querido filho,Weldi,Pandora,1/3/2019,"Tunísia, França, Bélgica, EUA",Drama,12,19,"82.995,78",5.621
273,Made in Italy,Made in Italy,Espaço Filmes,2/28/2019,Itália,Comédia - Dramática,14,6,"82.506,02",4.403
274,Entre tempos,Ricordi?,Cineart Filmes,8/22/2019,Itália,Drama,14,17,"81.001,08",4.680
275,Meu bebê,Mon bébé,Bonfilm,8/1/2019,França/ Belgica,Comédia - Dramática,14,14,"79.038,28",5.174
276,Inocência roubada,Les chatouilles,A2 Filmes,7/11/2019,França,Drama,16,12,"78.908,90",5.790
277,A juíza,RBG,Flow,5/23/2019,EUA,Documentário,Livre,6,"78.307,47",6.235
278,Sobibor,Sobibor,A2 Filmes,4/25/2019,Rússia/ Alemanha/ Lituânia/ Polônia,Guerra,16,20,"75.451,27",4.692
279,O homem que matou Dom Quixote,The man who killed Don Quixote,Elite Filmes,6/6/2019,Espanha/Bélgica/França/Portugal/Reino Unido,Aventura,12,27,"73.722,68",4.049
280,No coração do mundo,No coração do mundo,Embaúba Filmes,8/1/2019,Brasil,Drama,16,16,"73.717,52",5.520
281,Normandia nua,Normandie nue,A2 Filmes,2/21/2019,França,Comédia - Dramática,14,13,"73.699,10",5.263
282,Sócrates,Sócrates,O2 Play,9/26/2019,Brasil,Drama,16,22,"72.458,22",5.645
283,Luta de classes,La lutte des classes,A2 Filmes,10/24/2019,França,Comédia,12,22,"71.200,98",4.724
284,Torre das donzelas,Torre das donzelas,Elo Company,9/19/2019,Brasil,Documentário,12,15,"71.032,59",5.231
285,Bixa Travesty,Bixa Travesty,Arteplex Filmes,11/21/2019,Brasil,Documentário,18,15,"70.793,80",13.070
286,A árvore dos frutos selvagens,Ahlat agaci,Fênix Filmes,7/4/2019,Turquia,Drama,14,9,"67.525,23",4.131
287,"Santiago, Itália","Santiago, Itália",Pandora,6/20/2019,Itália/ França,Documentário,12,5,"66.665,95",4.141
288,Paulo de Tarso e a história do cristianismo primitivo,Paulo de Tarso e a história do cristianismo primitivo,A2 Filmes,10/3/2019,Brasil,Drama,14,13,"62.608,58",3.391
289,Alma imoral,Alma imoral,Elo Company,8/8/2019,Brasil,Documentário,12,4,"62.485,21",3.944
290,O menino que fazia rir,Der Junge muss an die frische Luft,Pandora,9/26/2019,Alemanha,,12,31,"57.333,49",4.244
291,E então nós dançamos,And Then We Danced,Zeta Filmes,12/19/2019,Suécia / Geórgia / França,Drama,14,20,"56.332,35",3.173
292,As filhas do fogo,Hijas del fuego,Vitrine Filmes,3/14/2019,Argentina,Drama,18,11,"54.939,09",3.342
293,O último lance,Tuntematon mestari,Cineart Filmes,4/25/2019,Finlândia,Drama,Livre,7,"54.673,30",3.281
294,Anos 90,Mid 90's,Diamond Films,5/30/2019,EUA,Comédia,16,25,"53.577,65",3.033
295,Os papéis de Aspern,The Aspern Papers,A2 Filmes,5/23/2019,Reino Unido/Alemanha,Drama,14,19,"53.288,08",3.369
296,Maria Callas - Em suas próprias palavras,Maria by Callas,Imovision,12/6/2018,França,Documentário,Livre,16,"52.290,43",3.652
297,A mulher do meu marido,A mulher do meu marido,Bretz Filmes,8/29/2019,Brasil,Comédia,14,40,"50.740,56",3.055
298,Eu não sou uma bruxa,I am not a witch,Imovision,6/13/2019,Reino Unido/França/Zâmbia,Drama,12,4,"48.824,89",2.908
299,Longe da árvore,Far from the tree,Flow,9/19/2019,EUA,Documentário,12,4,"48.465,24",4.926
300,Retablo,Retablo,Arteplex Filmes,11/7/2019,Peru / Alemanha / Noruega,Drama,16,8,"48.427,75",2.898
301,Recife assombrado,Recife assombrado,Elo Company,11/21/2019,Brasil,Terror,16,12,"47.679,07",4.788
302,Amazônia - O despertar da florestania,Amazônia - O despertar da florestania,Descoloniza Filmes,5/9/2019,Brasil,Documentário,Livre,13,"47.625,55",3.540
303,Happy hour - Verdades e consequências,Happy hour,Imovision,3/28/2019,Brasil/Argentina,Comédia - Dramática,14,29,"47.202,53",3.138
304,Praça pública,Place publique,Imovision,1/17/2019,França,Comédia,14,3,"47.040,27",2.814
305,"Mulheres armadas, homens na lata",Rebelles,Imovision,8/8/2019,França,Comédia,16,10,"46.446,71",2.777
306,Chicuarotes,Chicuarotes,Supo Mungam Films,9/5/2019,México,Drama,16,26,"45.998,51",3.046
307,A maratona de Brittany,Brittany runs a marathon,Diamond Films,10/24/2019,EUA,Comédia,14,6,"45.946,13",2.346
308,O ano de 1985,1985,Supo Mungam Films,4/25/2019,EUA,Drama,14,13,"45.301,18",2.690
309,"Conquistar, amar e viver intensamente","Plaire, aimer et courir vite",Imovision,12/20/2018,França,Drama,16,17,"44.958,87",3.233
310,Em guerra,En guerre,Supo Mungam Films,10/10/2019,França,Drama,16,5,"44.801,02",2.731
311,A vida de Diane,Diane,Supo Mungam Films,5/9/2019,EUA,Drama,16,14,"43.677,54",2.475
312,Sou carnaval de São Salvador,Sou carnaval de São Salvador,DTF/Paris,1/24/2019,Brasil,Documentário,14,29,"43.477,56",3.045
313,Carta para além dos muros,Carta para além dos muros,Descoloniza Filmes,9/26/2019,Brasil,Documentário,12,10,"42.752,79",3.565
314,Dogman,Dogman,Arteplex Filmes,2/21/2019,Itália/ França,Policial,16,0,"42.271,70",2.286
315,Estou me guardando para quando o carnaval chegar,Estou me guardando para quando o carnaval chegar,Vitrine Filmes,7/11/2019,Brasil,Documentário,10,14,"42.233,56",5.215
316,O relatório,The report,Diamond Films,11/7/2019,EUA,Drama,16,6,"40.902,53",1.884
317,O último amor de Casanova,Dernier amour,California,12/26/2019,França,Drama,14,24,"40.816,13",2.252
318,Temporada,Temporada,Vitrine Filmes,1/17/2019,Brasil,Drama,12,18,"40.656,45",4.978
319,Mal nosso,Mal nosso,Distribuição Própria,3/14/2019,Brasil,Terror,16,14,"39.168,75",2.155
320,A sombra do pai,A sombra do pai,Pandora,5/2/2019,Brasil,Drama,16,15,"38.644,27",2.331
321,Através do fogo,Sauver ou périr,California,6/6/2019,França,Drama,16,65,"38.381,56",2.657
322,Pyewacket - Entidade maligna,Pyewacket,Cinecolor,9/26/2019,Canadá,Suspense,16,42,"38.225,37",2.619
323,Vermelho sol,Rojo,Vitrine Filmes,8/8/2019,Brasil/ Argentina/ França/ Holanda/ Alemanha,Drama,14,15,"38.224,50",4.456
324,Os 3 infernais,3 from hell,Paris,10/24/2019,EUA,Terror,14,41,"37.988,51",2.302
325,Dafne,Dafne,Pagu Pictures,9/19/2019,Itália,Comédia,10,25,"37.773,13",2.172
326,Jesus de Nazaré - O filho de Deus,Jesús de Nazareth - El hijo de Dios,Europa,4/18/2019,Espanha,Religioso,14,60,"36.905,06",2.499
327,Um funeral em família,A Madea family funeral,Paris,4/4/2019,EUA,Comédia,12,29,"36.884,77",2.091
328,A fera na selva,A fera na selva,O2 Play,10/3/2019,Brasil,Comédia - Dramática,12,2,"36.524,99",2.864
329,Rafiki,Rafiki,Ipecine/Olhar Distribuição,8/8/2019,Quênia/França/África do Sul,Drama,14,9,"36.511,35",3.135
330,Cyrano de Bergerac,Cyrano de Bergerac,Bonfilm,6/13/2019,França,Comédia - Dramática,12,57,"36.038,26",2.604
331,A história de um sonho - Todas as casas do timão,A história de um sonho - Todas as casas do timão,Elo Company,6/6/2019,Brasil,Documentário,Livre,29,"35.466,90",4.929
332,Robin Hood - A origem,Robin Hood - Origins,Paris,11/29/2018,EUA,Aventura,14,605,"35.230,94",2.750
333,Yomeddine - Em busca de um lar,Yomeddine,Imovision,3/7/2019,Egito/ França,Aventura,10,5,"34.943,96",1.913
334,O galã,O galã,H2O Films,2/7/2019,Brasil,Comédia,12,26,"34.593,58",2.193
335,Maya,Maya,Zeta Filmes,6/20/2019,França,Drama,12,1,"34.201,05",2.307
336,Desafio de um campeão,Il campione,Arteplex Filmes,10/17/2019,Itália,Comédia,14,10,"33.834,36",1.918
337,Família submersa,A submerged family,Esfera,4/4/2019,Argentina/ Brasil,Drama,12,13,"33.799,65",1.976
338,Ventos da liberdade,Ballon,A2 Filmes,11/7/2019,Alemanha,Drama,12,20,"33.614,82",2.853
339,Euforia,Euforia,Espaço Filmes,10/17/2019,Itália,Drama,16,7,"33.335,18",1.920
340,Minha irmã de Paris,Ni une ni deux,Pagu Pictures,12/26/2019,França,Comédia,12,11,"33.179,16",1.802
341,Sobre rodas,Sobre rodas,Klaxon Cultura Audiovisual,3/14/2019,Brasil,Infantil,Livre,16,"30.947,05",3.217
342,Compra-me um revólver,Cómprame un revolver,Pandora,5/30/2019,México/Colômbia,Drama,16,32,"30.619,18",1.811
343,O Grinch,The Grinch,Universal,11/8/2018,EUA,Animação,Livre,964,"30.458,54",2.489
344,Sefarad,Sefarad,Lira Filmes,11/7/2019,Portugal,Drama,10,10,"29.626,07",1.827
345,Raiva,Raiva,Pandora,3/7/2019,Portugal/França/Brasil,Drama,14,16,"29.010,71",2.091
346,Domingo,Domingo,Art House Movies,10/3/2019,Brasil/ França,Drama,16,12,"28.708,56",2.282
347,A vida em si,Life itself,Paris,12/6/2018,EUA,Drama,16,209,"27.566,09",1.968
348,Eu sinto muito,Eu sinto muito,Elo Company,10/10/2019,Brasil,Drama,14,25,"27.375,56",2.862
349,Pastor Cláudio,Pastor Cláudio,Art House Movies,3/14/2019,Brasil,Documentário,12,5,"27.116,35",1.972
350,"O fim da viagem, o começo de tudo",Tabi no owari sekai no hajimari,Zeta Filmes,9/12/2019,Japão/Uzbequistão/Catar,Drama,12,5,"27.067,91",1.679
351,Meu amigo Fela,Meu amigo Fela,O2 Play,11/7/2019,Brasil,Documentário,14,18,"26.684,18",2.083
352,Pavarotti,Pavarotti,Cinecolor,10/17/2019,EUA/ Reino Unido,Documentário,10,10,"25.685,13",1.418
353,Em chamas,Beoning,Pandora,11/15/2018,Coréia do Sul,Drama,16,8,"24.895,01",2.060
354,A cidade dos piratas,A cidade dos piratas,Lança Filmes,10/31/2019,Brasil,Animação,16,16,"24.791,39",1.612
355,Uma noite de 12 anos,La noche de 12 años,Vitrine Filmes,9/27/2018,Uruguai/Argentina/Espanha,Drama,14,12,"24.740,78",1.462
356,Mormaço,Mormaço,Vitrine Filmes,5/9/2019,Brasil,Drama,14,10,"24.625,03",1.807
357,Peterloo,Peterloo,Diamond Films,9/12/2019,Reino Unido,Drama,14,5,"24.227,18",1.196
358,Márcia Haydée - Uma vida pela dança,Márcia Haydée - Uma vida pela dança,Anagrama Filmes,4/18/2019,Brasil,Documentário,Livre,17,"24.188,92",1.376
359,Santos de todos os gols,Santos de todos os gols,Elo Company/Europa,4/18/2019,Brasil,Documentário,10,21,"23.865,40",3.547
360,La cama,La cama,Livres Filmes,4/25/2019,Argentina/ Alemanha/ Brasil/ Holanda,Drama,16,8,"23.701,72",1.379
361,Tá rindo de quê?,Tá rindo de quê?,Bretz Filmes,2/28/2019,Brasil,Documentário,12,13,"23.653,57",1.448
362,Azougue Nazaré,Azougue Nazaré,Inquieta,11/14/2019,Brasil,Drama,14,13,"23.619,50",2.772
363,Chá com as damas,ing like a dame,Supo Mungam Films,12/13/2018,Reino Unido,Documentário,10,27,"23.035,96",1.705
364,Amazônia groove,Amazônia groove,Pagu Pictures,6/6/2019,Brasil,Documentário,Livre,9,"22.779,14",1.374
365,Cadáver,The possession of Hannah Grace,Sony,11/29/2018,EUA,Horror,14,483,"22.676,24",2.286
366,Deus é mulher e seu nome é Petúnia,"Gospod postoi, imeto i' e Petrunija",Pandora,12/26/2019,Macedônia,Drama,14,10,"22.333,56",1.353
367,O beijo no asfalto,O beijo no asfalto,Art House Movies,12/6/2018,Brasil,Drama,14,23,"22.167,40",1.634
368,Chuva é cantoria na aldeia dos mortos,Chuva é cantoria na aldeia dos mortos,Embaúba Filmes,4/18/2019,Brasil/ Portugal,Documentário,Livre,17,"21.223,94",1.755
369,As loucuras de Rose,Wild rose,Diamond Films,10/3/2019,Reino Unido,Musical,14,5,"20.719,95",1.307
370,Longa jornada noite adentro,Di qiu zui hou de ye wan,Zeta Filmes,5/9/2019,China/ França,Drama,12,10,"20.585,00",1.330
371,Milagre,Milagre,IvinFilms,4/4/2019,Brasil,Documentário,12,12,"20.179,19",1.085
372,Branca como a neve,Blanche comme neige,A2 Filmes,9/19/2019,França/ Belgica,Comédia - Dramática,16,13,"19.896,32",1.462
373,Mussum - O filme do Cacildis,Mussum - O filme do Cacildis,Elo Company,4/4/2019,Brasil,Documentário,10,24,"19.815,84",1.999
374,Barrabás,Barabbas,A2 Filmes,12/12/2019,Russia,Biografia,14,20,"19.701,87",1.400
375,Organismo,Organismo,Inquieta,4/25/2019,Brasil,Drama,16,9,"19.647,47",1.674
376,Beatriz,Beatriz,Anagrama Filmes,6/6/2019,Brasil,Drama,16,11,"19.193,39",1.200
377,O homem ideal?,M?esperarás?,Fênix Filmes,10/3/2019,Espanha,Comédia,12,13,"19.006,55",1.225
378,A resistência de Inga,Héraðið,Imovision,11/28/2019,Islândia / Dinamarca / Alemanha / França,Drama,14,6,"18.938,43",1.140
379,Tunga - O esquecimento das paixões,Tunga - O esquecimento das paixões,CUP Filmes,5/9/2019,Brasil,Documentário,18,7,"18.770,80",1.707
380,Asako I & II,Netemo sametemo,Zeta Filmes,12/20/2018,Japão,Drama,12,8,"18.735,75",1.440
381,Espírito jovem,Teen spirit,Diamond Films,6/20/2019,Inglaterra/EUA,Musical,12,27,"18.391,69",1.238
382,Ayka,Ayka,Zeta Filmes,4/11/2019,Rússia/Alemanha/Polônia/Cazaquistão/China,Drama,14,3,"18.252,39",1.431
383,O olho e a faca,O olho e a faca,California,6/27/2019,Brasil,Drama,16,14,"18.106,29",1.155
384,Frans Krajcberg: Manifesto,Frans Krajcberg: Manifesto,Distribuição Própria,10/10/2019,Brasil,Documentário,Livre,8,"17.707,47",1.715
385,Jorginho Guinle - $ó se vive uma vez,Jorginho Guinle - $ó se vive uma vez,Pandora,3/21/2019,Brasil,Biografia,14,4,"17.406,71",961
386,O filho do homem,O filho do homem,Elo Company,8/29/2019,Brasil,Drama,14,25,"17.197,96",1.646
387,Alaska,Alaska,Elo Company,3/21/2019,Brasil,Drama,14,22,"16.909,70",2.199
388,O enigma da rosa,Bajo la rosa,Elite Filmes/A2 Filmes,10/17/2019,Espanha,Suspense,16,8,"16.738,08",1.134
389,O amigo do rei,O amigo do rei,O2 Play,8/8/2019,Brasil,Documentário,12,14,"16.702,60",1.341
390,O clube dos canibais,O clube dos canibais,Olhar Distribuição,10/3/2019,Brasil,Terror,18,16,"16.567,30",1.786
391,Animais fantásticos - Os crimes de Grindelwald,Fantastic beasts - The crimes of Grindelwald,Warner,11/15/2018,EUA/ Reino Unido,Aventura,12,1.541,"16.542,72",1.105
392,Gorillaz: Reject False Icons,Gorillaz: Reject False Icons,Distribuição Própria,12/12/2019,Reino Unido,Documentário,14,15,"16.439,34",727
393,Amor assombrado,Amor assombrado,Film Connection,10/10/2019,Brasil,Drama,12,35,"16.067,46",1.142
394,"Rogéria, senhor Astolfo Barroso Pinto","Rogéria, senhor Astolfo Barroso Pinto",Pagu Pictures,10/31/2019,Brasil,Documentário,14,12,"15.550,34",981
395,Yara,Yara,Zeta Filmes,1/10/2019,Libano / Iraque / França,Drama,Livre,4,"15.435,62",1.079
396,De peito aberto,De peito aberto,Pagu Pictures,10/3/2019,Brasil,Documentário,10,18,"15.306,57",869
397,Inezita,Inezita,Distribuição Própria,3/28/2019,Brasil,Documentário,10,5,"14.915,94",859
398,Tsé,Tsé,Pagu Pictures,9/12/2019,Brasil,Documentário,10,9,"14.908,44",831
399,Diários de classe,Diários de classe,Elo Company,3/7/2019,Brasil,Documentário,12,23,"14.502,56",1.745
400,Eu sou brasileiro,Eu sou brasileiro,Elo Company,8/15/2019,Brasil,Drama,10,30,"14.237,90",1.502
401,O corpo é nosso,O corpo é nosso,O2 Play,9/5/2019,Brasil,Documentário,14,18,"14.135,42",1.226
402,Meu nome é Daniel,Meu nome é Daniel,Olhar Distribuição,10/17/2019,Brasil,Documentário,12,16,"14.131,65",1.581
403,Diamantino,Diamantino,Vitrine Filmes,12/20/2018,França/Brasil/portugal,Drama,14,16,"13.987,35",1.038
404,Horácio,Horácio,O2 Play,4/11/2019,Brasil,Comédia - Dramática,16,13,"13.857,50",821
405,Inferninho,Inferninho,Embaúba Filmes,5/23/2019,Brasil,Comédia - Dramática,12,10,"13.360,81",1.063
406,A quarta parede,A quarta parede,Elo Company,5/9/2019,Brasil,Drama,12,24,"13.336,05",1.551
407,Uma noite não é nada,Uma noite não é nada,Imovision,8/22/2019,Brasil,Drama,18,12,"13.290,13",888
408,Uma viagem inesperada,Viaje inesperado,Boulevard Filmes,3/28/2019,Argentina/ Brasil,Drama,14,13,"12.722,28",926
409,Luna,Luna,Cineart Filmes,10/10/2019,Brasil,Drama,14,14,"12.607,60",1.050
410,B.O.,B.O.,Raccord Produções,5/9/2019,Brasil,Comédia,14,6,"12.505,43",814
411,O incerto lugar do desejo,O incerto lugar do desejo,Elo Company,9/26/2019,Brasil,Documentário,12,1,"12.013,00",675
412,Homem livre,Homem livre,Olhar Distribuição,2/21/2019,Brasil,Drama,14,8,"10.939,72",1.163
413,Dois papas,The two popes,O2 Play,12/5/2019,Reino Unido / Itália / Argentina / EUA,Drama,12,2,"10.604,00",657
414,Tinta bruta,Tinta bruta,Vitrine Filmes,12/6/2018,Brasil,Drama,18,31,"10.349,58",1.144
415,Ainda temos a imensidão da noite,Ainda temos a imensidão da noite,Pandora,12/5/2019,Brasil,Drama,16,12,"10.158,87",697
416,Fourteen,Fourteen,Zeta Filmes,8/15/2019,EUA,Drama,12,5,"10.073,22",607
417,Diz a ela que me viu chorar,Diz a ela que me viu chorar,Vitrine Filmes,11/14/2019,Brasil,Documentário,16,11,"10.072,71",1.266
418,O Grande Circo Místico,O Grande Circo Místico,H2O Films,11/15/2018,Brasil/ Portugal,Drama,16,106,"9.941,87",701
419,Relatos do front - Fragmentos de uma tragédia brasileira,Relatos do front - Fragmentos de uma tragédia brasileira,Art House Movies,6/20/2019,Brasil,Documentário,14,7,"9.911,23",917
420,A princesa de Elymia,A princesa de Elymia,Panda Filmes,10/10/2019,Brasil,Animação,12,19,"9.793,75",790
421,De repente uma familia,Instant family,Paramount,11/29/2018,EUA,Comédia,12,429,"9.654,21",513
422,Abaixo a gravidade,Abaixo a gravidade,Fênix Filmes,8/1/2019,Brasil,Drama,16,11,"9.475,32",633
423,Dias vazios,Dias vazios,Olhar Distribuição,5/30/2019,Brasil,Drama,16,16,"9.348,22",539
424,As ineses,Las Ineses,Okna Produções,2/14/2019,Argentina/ Brasil,Comédia,10,6,"9.292,99",637
425,Eleições,Eleições,Olhar Distribuição,3/14/2019,Brasil,Documentário,12,6,"9.277,09",1.288
426,Lembro mais dos corvos,Lembro mais dos corvos,Vitrine Filmes,2/21/2019,Brasil,Documentário,14,13,"8.703,26",1.161
427,45 dias sem você,45 dias sem você,O2 Play,5/16/2019,Brasil,Comédia - Dramática,16,3,"8.591,99",835
428,Wajib - Um convite de casamento,Wajib,Distribuição Própria,1/24/2019,Palestina,Drama,12,0,"8.506,67",473
429,Depois do fim,Depois do fim,Lança Filmes,6/20/2019,Brasil,Documentário,Livre,2,"8.393,12",749
430,Foro íntimo,Foro íntimo,Embaúba Filmes,9/26/2019,Brasil,Drama,12,6,"8.280,03",660
431,A noite amarela,A noite amarela,Vitrine Filmes,10/10/2019,Brasil,Terror,12,13,"8.249,79",1.032
432,Os jovens Baumann,Os jovens Baumann,Vitrine Filmes,9/19/2019,Brasil,Drama,12,15,"8.104,40",1.155
433,Histórias estranhas,Histórias estranhas,Elo Company,5/23/2019,Brasil,Terror,16,24,"8.071,74",791
434,The cleaners,The cleaners,Distribuição Própria,3/28/2019,Alemanha/ Brasil,Documentário,16,2,"7.749,30",420
435,Antártica por um ano,Antártica por um ano,EH Filmes,5/16/2019,Brasil,Documentário,Livre,7,"7.316,65",423
436,Bio - Construindo uma vida,Bio - Construindo uma vida,Bretz Filmes,4/4/2019,Brasil,Drama,14,10,"7.295,32",390
437,Meu amor por Grace,Running for Grace,Elite Filmes/A2 Filmes,9/26/2019,EUA,Romance,12,6,"7.219,11",439
438,Entrevista com Deus,An interview with God,Imagem,11/15/2018,Ucrânia/ Holanda,Drama,Livre,249,"7.154,57",617
439,A turma do Pererê.doc,A turma do Pererê.doc,O2 Play,10/3/2019,Brasil,Documentário,10,13,"6.890,34",762
440,Rasga coração,Rasga coração,Sony,12/6/2018,Brasil,Drama,16,32,"6.707,25",400
441,Leste Oeste,Leste Oeste,Kinopus,8/8/2019,Brasil,Drama,14,10,"6.587,88",499
442,Alex câmera 10,Alex câmera 10,Moro Filmes,10/24/2019,Brasil,Documentário,Livre,12,"6.551,89",482
443,O homem que cuida,El hombre que cuida,Esfera,10/3/2019,República Dominicana/ Porto Rico/ Brasil,Drama,16,10,"6.504,83",422
444,Espero tua (re)volta,Espero tua (re)volta,Taturana Mobilização Social,8/15/2019,Brasil,Documentário,14,2,"6.440,68",581
445,A música do tempo - Do sonho do império ao império do sonho,A música do tempo - Do sonho do império ao império do sonho,Distribuição Própria,9/12/2019,Brasil,Documentário,Livre,6,"6.416,06",453
446,Uruguai na vanguarda,Uruguai na vanguarda,Distribuição Própria,9/19/2019,Brasil,Documentário,12,2,"6.363,66",466
447,Primeiro ano,Première année,A2 Filmes,4/11/2019,França,Drama,12,6,"6.327,85",529
448,Shade - Entre bruxas e heróis,Zlogonje,Cineart Filmes,1/24/2019,Sérvia,Aventura,12,10,"6.296,32",454
449,Encantado,Charming,Imagem,12/6/2018,Canadá/ EUA,Animação,Livre,602,"6.239,31",791
450,Palace II - 3 quartos com vista para o mar,Palace II - 3 quartos com vista para o mar,Pagu Pictures,7/18/2019,Brasil,Documentário,12,3,"5.714,23",290
451,O verde está do outro lado - Os donos da água,O verde está do outro lado - Os donos da água,Lira Filmes,8/22/2019,Brasil/ Chile,Documentário,10,9,"5.637,70",364
452,Ultraje,Ultraje,Elo Company,1/31/2019,Brasil,Documentário,12,26,"5.631,60",620
453,Vergel,Vergel,Art House Movies,2/7/2019,Argentina/ Brasil,Drama,16,5,"5.489,29",383
454,As cores da serpente,As cores da serpente,Salvador Filmes,3/21/2019,Angola,Documentário,12,4,"5.479,87",303
455,Um segredo em Paris,Drôles d'oiseaux,Pagu Pictures,11/15/2018,França,Comédia,12,25,"5.359,23",503
