,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2021 (R$), Público 2021,Salas Abertura,Estreia, renda (R$),público
Homem-Aranha - Sem volta para casa,Spider-Man - No way home,Sony,218.319.694,11.962.339,5.880,12/16/2021,218.319.694,11.962.339
Velozes e furiosos 9,Fast & Furious 9,Universal,71.354.940,4.259.621,2.324,6/24/2021,71.354.940,4.259.621
Eternos,The eternals,Disney,71.206.011,4.154.488,2.750,11/4/2021,71.206.011,4.154.488
Venom - Tempo de carnificina,Venom - Let there be carnage,Sony,67.081.933,4.088.134,3.204,10/7/2021,67.081.933,4.088.134
Shang-Chi e a lenda dos dez anéis,Shang-Chi and the legend of the ten rings,Disney,39.524.609,2.227.415,2.097,9/2/2021,39.524.609,2.227.415
Viúva Negra,Black Widow,Disney,34.563.514,2.011.935,2.018,7/8/2021,34.563.514,2.011.935
Invocação do mal 3 - A ordem do demônio,The conjuring - The devil made me do it,Warner,31.152.698,1.846.652,1.437,6/3/2021,31.152.698,1.846.652
O Esquadrão Suicida,The Suicide Squad,Warner,23.903.479,1.395.871,2.045,8/5/2021,23.903.479,1.395.871
007 - Sem tempo para morrer,No time to die,Universal,22.938.622,1.097.460,2.268,9/30/2021,22.938.622,1.097.460
Encanto,Encanto,Disney,20.218.620,1.319.767,1.515,11/25/2021,20.218.620,1.319.767
Mulher-Maravilha 1984,Wonder Woman 1984,Warner,18.767.524,1.156.802,2.034,12/17/2020,36.183.138,2.252.150
Duna,Dune,Warner,16.261.327,827.044,1.408,10/21/2021,16.261.327,827.044
Space jam - Um novo legado,Space jam - A new legacy,Warner,14.836.110,914.007,1.071,7/15/2021,14.836.110,914.007
Os Croods 2 - Uma nova era,Croods 2,Universal,13.187.516,859.601,1.157,7/1/2021,13.187.516,859.601
Godzilla vs Kong,Godzilla vs Kong,Warner,12.945.989,802.561,1.121,5/6/2021,12.945.989,802.561
Patrulha Canina - O filme,Paw Patrol - The movie,Paramount,12.681.897,778.395,826,9/9/2021,12.681.897,778.395
Matrix Resurrections,The Matrix Resurrections,Warner,11.737.405,641.932,961,12/22/2021,11.737.405,641.932
A Família Addams 2 - Pé na estrada,The Addams family 2,Universal,11.313.778,705.227,1.066,10/28/2021,11.313.778,705.227
O poderoso chefinho 2 - Negócios da família,Boss baby 2,Universal,11.196.569,708.621,1.193,8/12/2021,11.196.569,708.621
Cruella,Cruella,Disney,10.810.949,607.161,971,5/27/2021,10.810.949,607.161
Um lugar silencioso - Parte II,A quiet place - Part II,Paramount,10.798.505,618.992,1.414,7/22/2021,10.798.505,618.992
Casa Gucci,House of Gucci,Universal,9.031.175,424.331,922,11/25/2021,9.031.175,424.331
Free Guy - Assumindo o controle,Free guy,Disney,8.100.775,461.667,1.451,8/19/2021,8.100.775,461.667
