,,,,,,,ACUMULADO,
Ghostbusters - Mais além,Ghostbusters - Afterlife,Sony,7.756.359,503.063,1.634,11/18/2021,7.756.359,503.063
Tom & Jerry - O filme,Tom & Jerry,Warner,7.214.832,506.766,1.161,2/18/2021,7.214.832,506.766
Halloween kills - O terror continua,Halloween kills,Universal,6.441.392,419.604,931,10/14/2021,6.441.392,419.604
Marighella,Marighella,DT/Paris,6.067.271,319.541,341,11/4/2021,6.067.271,319.541
Jungle Cruise,Jungle Cruise,Disney,4.954.977,289.304,1.111,7/29/2021,4.954.977,289.304
Rogai por nós,The unholy,Sony,4.825.707,294.169,517,5/6/2021,4.825.707,294.169
Infiltrado,Wrath of man,Imagem,4.630.547,249.637,761,8/26/2021,4.630.547,249.637
Resident Evil - Bem-vindo a Raccoon City,Resident Evil - Welcome to Raccoon City,Sony,4.578.261,282.546,953,12/2/2021,4.578.261,282.546
Legado explosivo,Honest thief,Imagem/California,4.432.932,266.698,670,1/7/2021,4.432.932,266.698
Pinóquio,Pinocchio,Imagem,4.257.764,271.715,614,1/21/2021,4.257.764,271.715
Maligno,Malignant,Warner,4.194.699,255.494,1.020,9/9/2021,4.194.699,255.494
Mortal Kombat,Mortal Kombat,Warner,4.190.671,258.045,1.048,5/20/2021,4.190.671,258.045
Ron bugado,Ron's gone wrong,Disney,3.863.155,239.844,942,10/21/2021,3.863.155,239.844
O homem nas trevas 2,Don't breathe 2,Sony,3.819.433,224.080,853,8/12/2021,3.819.433,224.080
Tempo,Old,Universal,3.394.403,177.722,619,7/29/2021,3.394.403,177.722
Clifford - O gigante cão vermelho,Clifford the big red dog,Paramount,3.030.968,189.611,543,12/2/2021,3.030.968,189.611
Escape room 2 - Tensão máxima,Escape room 2,Sony,3.010.760,185.771,814,9/16/2021,3.010.760,185.771
After - Depois do desencontro,After we fell,Diamond/Galeria,2.918.035,170.186,748,9/2/2021,2.918.035,170.186
Monster Hunter,Monster Hunter,Sony,2.901.281,191.106,919,2/25/2021,2.901.281,191.106
Pedro Coelho 2 - O fugitivo,Peter Rabbit 2: The runaway,Sony,2.707.755,168.234,747,8/26/2021,2.707.755,168.234
Ainbo - A guerreira da Amazônia,Ainbo - Spirit of the Amazon,Paris,2.339.124,148.816,504,9/30/2021,2.339.124,148.816
A casa sombria,The night house,Disney,2.151.307,133.181,673,9/23/2021,2.151.307,133.181
Espiral - O legado de Jogos Mortais,Spiral - From the book of saw,Paris,2.022.486,118.809,600,6/17/2021,2.022.486,118.809
Trolls 2,Trolls world tour,Universal,2.021.697,132.910,728,12/3/2020,5.716.703,402.493
A lenda de Candyman,Candyman,Universal,1.829.896,107.060,661,8/26/2021,1.829.896,107.060
Spirit - O indomável,Spirit untamed,Universal,1.726.792,110.587,570,6/10/2021,1.726.792,110.587
O mensageiro do último dia,Empty man,Disney,1.621.448,103.446,324,1/14/2021,1.621.448,103.446
Mate ou morra,Boss level,Imagem,1.547.518,89.086,630,9/16/2021,1.547.518,89.086
Espíritos obscuros,Antlers,Disney,1.532.063,95.098,502,10/28/2021,1.532.063,95.098
Missão resgate,The ice road,Imagem,1.452.927,86.574,528,12/9/2021,1.452.927,86.574
A viúva das sombras,The widow,Paris,1.403.557,97.349,435,3/4/2021,1.403.557,97.349
Demon Slayer - Mugen Train: O filme,Demon Slayer - The movie: Mugen Train,Cinecolor,1.357.391,80.504,386,5/13/2021,1.357.391,80.504
Deus não está morto - O próximo capítulo,God's not dead - We the people,California,1.331.075,89.137,326,11/11/2021,1.331.075,89.137
O último duelo,The last duel,Disney,1.257.169,59.345,417,10/14/2021,1.257.169,59.345
Um tio quase perfeito 2,Um tio quase perfeito 2,H2O Films,1.214.930,78.029,436,1/7/2021,1.214.930,78.029
King Richard - Criando campeãs,King Richard,Warner,1.174.855,52.061,459,12/2/2021,1.174.855,52.061
Raya e o último dragão,Raya and the last dragon,Disney,1.156.825,88.324,379,3/4/2021,1.156.825,88.324
#Semsaída,#Followme,Playarte,1.138.172,81.411,386,2/11/2021,1.138.172,81.411
Turma da Mônica - Lições,Turma da Mônica - Lições,DT/Paris,1.043.918,59.163,968,12/30/2021,1.043.918,59.163
Dupla explosiva 2 e a primeira-dama do crime,The hitman's wife's bodyguard,Paris,1.025.508,58.713,499,7/29/2021,1.025.508,58.713
Mundo em caos,Chaos walking,Paris,1.014.945,61.185,486,5/13/2021,1.014.945,61.185
Fátima - A história de um milagre,Fátima,Diamond/Galeria,1.006.956,62.934,321,10/14/2021,1.006.956,62.934
Destruição final - O último refúgio,Greenland,Diamond/Galeria,939.702,54.649,532,11/19/2020,5.880.974,375.614
Em guerra com o vovô,War with grandpa,Diamond/Galeria,903.779,54.922,464,5/20/2021,903.779,54.922
Uma noite de crime - A fronteira,The forever purge,Universal,840.358,47.838,199,9/2/2021,840.358,47.838
A sogra perfeita,A sogra perfeita,DT/Paris,839.302,66.803,406,11/25/2021,839.302,66.803
Sapatinho vermelho e os sete anões,Red shoes & the 7 dwarfs,Paris,799.604,56.018,518,12/31/2020,984.033,69.735
Noite passada em Soho,Last night in Soho,Universal,769.507,47.267,388,11/18/2021,769.507,47.267
Nomadland,Nomadland,Disney,743.579,33.526,128,4/29/2021,743.579,33.526
A profissional,The protege,Imagem,727.501,41.407,394,11/11/2021,727.501,41.407
Caminhos da memória,Reminiscence,Warner,663.240,30.695,433,8/19/2021,663.240,30.695
A crônica francesa,The french dispatch,Disney,632.748,27.540,58,11/18/2021,632.748,27.540
Estranho passageiro - Sputnik,Sputnik,Playarte,627.975,40.869,272,1/21/2021,627.975,40.869
"Amor, sublime amor",West side story,Disney,622.017,29.818,460,12/9/2021,622.017,29.818
No ritmo do coração,Coda,Diamond/Galeria,526.540,27.753,494,9/23/2021,526.540,27.753
Blackpink the movie,Blackpink the movie,Distribuição Própria,516.060,26.276,154,7/29/2021,516.060,26.276
Aqueles que me desejam a morte,Those who wish me dead,Warner,505.742,27.426,278,5/27/2021,505.742,27.426
Amizade maldita,Z - Made him do it,Imagem,499.520,32.129,376,12/3/2020,2.531.668,167.573
Bela vingança,Promising young woman,Universal,482.019,22.200,114,5/13/2021,482.019,22.200
Alice e Peter - Onde nascem os sonhos,Come away,Imagem,467.649,27.550,297,6/3/2021,467.649,27.550
Amarração do amor,Amarração do amor,DT/Paris,429.086,25.826,293,10/14/2021,429.086,25.826
A babá - O chamado das sombras,Baba Yaga - Terror of the dark forest,Playarte,424.981,26.602,190,12/9/2021,424.981,26.602
Convenção das bruxas,The witches,Warner,401.393,27.481,568,11/19/2020,5.109.872,361.374
Meu pai,The father,California,397.797,21.482,12,4/8/2021,397.797,21.482
A abelhinha Maya - E o ovo dourado,Maya the bee 3 - The golden orb,Playarte,389.390,24.555,492,9/23/2021,389.390,24.555
Os pequenos vestígios,The little things,Warner,365.002,17.116,107,4/22/2021,365.002,17.116
Família monstro 2,Monster family 2,Paris,321.305,19.868,347,12/9/2021,321.305,19.868
Scooby! O Filme,Scooby!,Warner,313.887,25.222,110,9/10/2020,4.673.888,335.038
Dois + dois,Dois + dois,DT/Paris,272.748,14.504,193,8/12/2021,272.748,14.504
Querido Evan Hansen,Dear Evan Hansen,Universal,269.336,11.830,274,11/11/2021,269.336,11.830
Quem vai ficar com Mário?,Quem vai ficar com Mário?,DT/Paris,255.365,13.878,174,6/10/2021,255.365,13.878
Chernobyl: O filme - Os segredos do desastre,Chernobyl - Abyss,Paris,250.898,14.865,195,11/18/2021,250.898,14.865
Depois a louca sou eu,Depois a louca sou eu,DT/Paris,245.826,13.494,199,2/25/2021,245.826,13.494
Em um bairro de Nova York,In the heights,Warner,224.941,10.748,233,6/17/2021,224.941,10.748
Judas e o Messias Negro,Judas and the black messiah,Warner,215.130,10.107,86,2/25/2021,215.130,10.107
"Lutar, lutar, lutar","Lutar, lutar, lutar",Embaúba Filmes,208.924,10.587,24,11/11/2021,208.924,10.587
Mostra-me o Pai,Show me the father,360 WayUp,203.821,13.561,91,12/2/2021,203.821,13.561
Lucicreide vai pra Marte,Lucicreide vai pra Marte,DT/Paris,202.214,15.007,51,3/18/2021,202.214,15.007
O auto da boa mentira,O auto da boa mentira,Imagem,193.694,11.700,204,4/29/2021,193.694,11.700
Vigaristas em Hollywood,The comeback trail,Paris,188.777,10.424,306,12/2/2021,188.777,10.424
Cry macho - O caminho para a redenção,Cry macho,Warner,187.190,7.611,20,9/16/2021,187.190,7.611
Freaky - No corpo de um assassino,Freaky,Universal,164.149,9.990,495,12/10/2020,1.093.988,70.621
A mensageira,The courier,Playarte,145.016,7.619,115,10/28/2021,145.016,7.619
Veneza,Veneza,Imagem,144.663,7.493,169,6/17/2021,144.663,7.493
A dona do barato,La Daronne,Imovision,143.452,6.923,19,9/23/2021,143.452,6.923
Minari - Em busca da felicidade,Minari,Diamond/Galeria,128.325,5.939,47,4/22/2021,128.325,5.939
Os tradutores,Les traducteurs,Imovision,117.092,4.791,21,10/28/2021,117.092,4.791
Doutor Gama,Doutor Gama,Elo Company,111.505,5.592,11,8/5/2021,111.505,5.592
Pixinguinha - Um homem carinhoso,Pixinguinha - Um homem carinhoso,DT/Paris,111.466,5.996,90,11/11/2021,111.466,5.996
O homem que vendeu sua pele,The man who sold his skin,Pandora Filmes,110.657,5.359,16,10/7/2021,110.657,5.359
Os melhores anos de uma vida,Les plus belles années d'une vie,Pandora Filmes,109.499,5.419,27,6/24/2021,109.499,5.419
Dente por dente,Dente por dente,Vitrine Filmes,105.762,6.582,122,1/28/2021,105.762,6.582
De volta à Itália,Made in Italy,California,103.854,3.664,23,10/28/2021,103.854,3.664
"3º andar - Terror na rua Malasana, O",Malasaña 32,Paris,96.904,7.102,390,11/12/2020,2.932.050,205.478
Bagdá vive em mim,Baghdad in my shadow,Arteplex Filmes,91.598,4.709,18,9/2/2021,91.598,4.709
Não olhe para cima,Don't look up,O2 Play,90.695,4.508,46,12/9/2021,90.695,4.508
Abe,Abe,DT/Paris,87.310,3.589,33,8/5/2021,87.310,3.589
Monsta X - The dreaming,Monsta X - The dreaming,Distribuição Própria,84.613,4.159,107,12/9/2021,84.613,4.159
"Amor, casamentos e outros desastres","Love, weddings & other disasters",California,81.725,2.800,23,5/20/2021,81.725,2.800
O tempo com você,Weathering with you,Cinecolor,81.171,4.737,2,1/14/2021,81.171,4.737
"Chorona, A",La llorona,Elite Filmes,76.299,4.574,112,9/23/2021,76.299,4.574
4x100 - Correndo por um sonho,4x100 - Correndo por um sonho,Imovision,75.602,5.115,28,6/24/2021,75.602,5.115
Meu fim. Seu começo.,Relativity,Arteplex Filmes,75.402,3.905,19,9/30/2021,75.402,3.905
Uma história de família,"Family Romance, LCC",Arteplex Filmes,73.873,3.736,14,10/28/2021,73.873,3.736
Possessão - O último estágio,The assent,Playarte,73.401,5.054,272,11/12/2020,1.262.358,82.986
Deserto particular,Deserto particular,Pandora Filmes,71.923,3.880,18,11/25/2021,71.923,3.880
Fale com as abelhas,Tell it to the bees,Arteplex Filmes,68.037,3.432,21,1/21/2021,68.037,3.432
Cidadãos do mundo,Lontano Lontano,Imovision,64.158,3.034,20,9/9/2021,64.158,3.034
Piedade,Piedade,Art House Movies,62.735,4.238,18,8/5/2021,62.735,4.238
Reação em cadeia,Reação em cadeia,DT/Paris,62.231,3.217,115,9/16/2021,62.231,3.217
Druk - Mais uma rodada,Another round,Vitrine/Synapse,59.317,3.490,5,3/25/2021,59.317,3.490
Oasis Knebworth 1996,Oasis Knebworth 1996,Distribuição Própria,58.296,2.323,59,9/23/2021,58.296,2.323
"Janela para o mar, Uma",Una ventana al mar,Imovision,50.934,2.582,16,10/14/2021,50.934,2.582
Garota da moto,Garota da moto,DT/Paris,49.062,2.930,131,9/23/2021,49.062,2.930
A boa esposa,La bonne épouse,California,47.832,2.398,22,6/17/2021,47.832,2.398
Unidas pela esperança,Military wives,California,46.535,1.993,43,1/14/2021,46.535,1.993
O matemático,Adventures of a mathematician,A2 Filmes,45.610,1.958,16,9/2/2021,45.610,1.958
Sibyl,Sibyl,Imovision,41.218,2.066,12,7/15/2021,41.218,2.066
O labirinto,L'uomo del labirinto,Pandora Filmes,38.911,1.867,25,8/12/2021,38.911,1.867
Ema,Ema,Imovision,38.209,1.776,18,8/12/2021,38.209,1.776
Tenet,Tenet,Warner,37.905,2.239,1.068,10/29/2020,5.989.799,335.678
Belle époque,La belle époque,Diamond/Galeria,37.018,1.552,17,12/3/2020,99.489,4.761
O charlatão,Charlatan,A2 Filmes,36.969,1.814,16,7/8/2021,36.969,1.814
O bom doutor,Docteur?,Pandora Filmes,36.727,1.768,24,9/9/2021,36.727,1.768
Jogo do poder,Adults in the room,California,34.042,1.730,7,8/12/2021,34.042,1.730
Sob as escadas de Paris,Sous les étoiles de Paris,A2 Filmes,33.515,1.664,8,10/14/2021,33.515,1.664
A última floresta,A última floresta,Gullane Distribuidora,33.312,1.621,5,9/9/2021,33.312,1.621
Encarcerados,Encarcerados,Gullane Distribuidora,30.764,2.804,16,8/26/2021,30.764,2.804
O silêncio da chuva,O silêncio da chuva,Elo Company,29.054,1.559,20,9/23/2021,29.054,1.559
Irmãos à italiana,Padrenostro,Pandora Filmes,28.359,1.409,16,7/22/2021,28.359,1.409
Nove dias,Nine days,Sony,28.142,1.375,10,12/9/2021,28.142,1.375
Andre Matos - O Maestro do Rock,Andre Matos - O Maestro do Rock,Cinemark,27.821,1.282,5,10/26/2021,27.821,1.282
Imperdoável,The unforgivable,Imagem,27.456,1.512,24,11/25/2021,27.456,1.512
A candidata perfeita,The perfect candidate,Imovision,26.677,1.295,15,8/26/2021,26.677,1.295
Charuto de mel,Honey Cigar,Imovision,26.311,1.488,10,11/11/2021,26.311,1.488
Notre Dame,Notre Dame,California,26.065,1.380,8,2/11/2021,26.065,1.380
Verão de 85,Été 85,California,25.663,1.352,15,6/3/2021,25.663,1.352
Um divã na Tunísia,Arab blues,Imovision,25.611,1.360,0,3/11/2021,25.611,1.360
O homem ideal,I'm your man,Diamond/Galeria,25.083,1.314,6,12/23/2021,25.083,1.314
Azor,Azor,Vitrine Filmes,23.488,1.401,14,12/16/2021,23.488,1.401
Aranha,Araña,Pandora Filmes,23.311,1.263,17,9/23/2021,23.311,1.263
DNA,ADN,Vitrine Filmes,22.447,1.402,11,9/30/2021,22.447,1.402
Bob Cuspe - Nós não gostamos de gente,Bob Cuspe - Nós não gostamos de gente,Vitrine Filmes,21.681,1.257,22,11/11/2021,21.681,1.257
A mão de Deus,The hand of God,O2 Play,21.469,1.077,13,12/2/2021,21.469,1.077
Curupira - O demônio da floresta,Curupira - O demônio da floresta,O2 Play,20.895,1.250,12,10/28/2021,20.895,1.250
Alice e o prefeito,Alice et le maire,Imovision,20.867,1.088,7,5/27/2021,20.867,1.088
Nós duas,Deux,Imovision,20.585,1.043,13,12/16/2021,20.585,1.043
Missão cupido,Missão cupido,H2O Films,20.362,1.200,26,6/10/2021,20.362,1.200
"If I Can't Have Love, I Want Power","If I Can't Have Love, I Want Power",Distribuição Própria,19.307,730,2,8/28/2021,19.307,730
Cabeça de nêgo,Cabeça de nêgo,Corte Seco Filmes,19.027,1.482,9,10/21/2021,19.027,1.482
Um crime em comum,Un crimen común,Vitrine Filmes,18.553,1.093,15,1/14/2021,18.553,1.093
Nunca mais nevará,Never gonna snow again,Imovision,18.245,924,5,8/19/2021,18.245,924
Shadow,Ying,Playarte,17.315,816,13,8/12/2021,17.315,816
Mangueira em 2 tempos,Mangueira em 2 tempos,Arteplex Filmes,17.266,2.022,15,8/5/2021,17.266,2.022
Cavalo,Cavalo,Descoloniza/La Ursa,17.189,1.344,11,8/12/2021,17.189,1.344
O jardim secreto de Mariana,O jardim secreto de Mariana,H2O Films,16.936,845,28,9/30/2021,16.936,845
Skin - À flor da pele,Skin,Bretz/MyMamma,16.569,768,7,1/7/2021,16.569,768
Um casal inseparável,Um casal inseparável,H2O Films,16.551,898,17,9/9/2021,16.551,898
Berlin Alexanderplatz,Berlin Alexanderplatz,A2 Filmes,16.316,773,9,2/18/2021,16.316,773
Edifício Gagarine,Gagarine,Vitrine Filmes,16.115,845,13,8/26/2021,16.115,845
Yalda - Uma noite de perdão,Yalda - A night for forgiveness,Imovision,16.018,827,8,12/9/2021,16.018,827
Undine,Undine,Imovision,15.104,757,10,12/23/2021,15.104,757
Suk suk - Um amor em segredo,Suk suk,Vitrine Filmes,14.947,967,4,9/9/2021,14.947,967
Minha irmã,Schwesterlein,A2 Filmes,14.668,799,7,1/28/2021,14.668,799
Seus olhos dizem,Your eyes tell,Sato Company,13.931,637,14,10/14/2021,13.931,637
Filho-mãe,Pesar - madar,Imovision,13.586,725,6,9/16/2021,13.586,725
Enquanto estivermos juntos,I still believe,Paris,13.564,1.228,431,11/19/2020,1.107.531,80.885
8 Presidentes 1 juramento - A história de um tempo presente,8 Presidentes 1 juramento - A história de um tempo presente,Copacabana,13.327,712,8,11/18/2021,13.327,712
Curral,Curral,Pandora Filmes,13.228,705,12,11/11/2021,13.228,705
"Hava, Maryam, Ayesha","Hava, Maryam, Ayesha",Imovision,12.629,716,5,7/8/2021,12.629,716
A última noite,Silent night,Paris,12.317,631,21,12/23/2021,12.317,631
Aznavour por Charles,Le regard de Charles,Imovision,12.237,630,6,2/11/2021,12.237,630
Luana Muniz - Filha da lua,Luana Muniz - Filha da lua,Lira Filmes,11.938,784,9,8/12/2021,11.938,784
O filho único do meu pai,O filho único do meu pai,D1 Realizações,11.856,878,6,9/23/2021,11.856,878
Enquanto houver amor,Hope gap,California,11.424,508,6,11/18/2021,11.424,508
Lá vamos nós,Hine Anachnu,Imovision,11.380,530,6,11/4/2021,11.380,530
Billie Eilish: The World's a Little Blurry,Billie Eilish: The World's a Little Blurry,Cinemark,11.190,506,30,2/25/2021,11.190,506
Vento seco,Vento seco,Olhar Distribuição,11.172,560,4,8/5/2021,11.172,560
Annette,Annette,Distribuição Própria,10.915,583,6,12/23/2021,10.915,583
Meu nome é Bagdá,Meu nome é Bagdá,Pagu Pictures,10.867,700,4,9/16/2021,10.867,700
De volta para casa,Coming home again,Zeta Filmes,10.860,602,10,9/9/2021,10.860,602
Anna,Anna,Imovision,10.827,576,10,7/1/2021,10.827,576
Mais que especiais,Hors normes,California,10.776,539,13,2/25/2021,10.776,539
Alvorada,Alvorada,Vitrine Filmes,10.298,567,14,5/27/2021,10.298,567
O império de Pierre Cardin,House of Cardin,Imovision,10.296,507,6,1/14/2021,10.296,507
Chorão - Marginal alado,Chorão - Marginal alado,O2 Play,10.139,555,4,4/8/2021,10.139,555
Los lobos,Los lobos,Vitrine Filmes,9.961,622,5,9/16/2021,9.961,622
First cow - A primeira vaca da América,First cow,Vitrine Filmes,9.483,590,6,6/10/2021,9.483,590
Ataque dos cães,The power of the dog,O2 Play,9.390,481,8,11/18/2021,9.390,481
Que mal eu fiz a Deus? 2,Qu'est-ce qu'on a encore fait au bon Dieu?,A2 Filmes,9.247,512,7,12/2/2021,9.247,512
Frei Damião - O santo do nordeste,Frei Damião - O santo do nordeste,Elo Company,8.977,589,6,11/4/2021,8.977,589
Homem onça,Homem onça,Pandora Filmes,8.670,500,14,8/26/2021,8.670,500
Babenco - Alguém tem que ouvir o coração e dizer: parou,Babenco - Alguém tem que ouvir o coração e dizer: parou,Imovision,8.635,402,49,11/26/2020,78.766,5.030
Perfil de uma mulher,A girl missing,Zeta Filmes,8.635,515,5,1/28/2021,8.635,515
Contos do amanhã,Contos do amanhã,Europa,8.496,557,9,12/9/2021,8.496,557
Invasão zumbi 2 - Península,Train to Busan 2,Paris,8.241,621,463,11/26/2020,1.299.042,96.177
Selvagem,Selvagem,Pietá Filmes,8.221,1.394,10,12/2/2021,8.221,1.394
Caros camaradas - Trabalhadores em luta,Dear comrades,A2 Filmes,8.213,444,8,7/29/2021,8.213,444
Os salafrários,Os salafrários,DT/Paris,7.956,612,2,1/14/2021,7.956,612
Falling - Ainda há tempo,Falling,California,7.604,387,9,12/2/2021,7.604,387
Galeria Futuro,Galeria Futuro,H2O Films,7.488,554,20,11/18/2021,7.488,554
Nona - Se me molham eu os queimo,"Nona, si me mojan, yo los quenmo",Vitrine Filmes,7.400,360,10,2/18/2021,7.400,360
Slalom - Até o limite,Slalom,Vitrine Filmes,7.398,394,6,7/22/2021,7.398,394
Pequena garota,Petite fille,Imovision,7.060,334,5,12/24/2020,9.727,475
"Tick, Tick…Boom!","Tick, Tick…Boom!",Netflix,7.013,333,4,11/11/2021,7.013,333
"Vez em Veneza, Uma",When in Venice,Zapata Filmes,6.631,312,1,11/11/2021,6.631,312
O mundo de Gloria,Gloria mundi,Imovision,6.300,352,5,2/25/2021,6.300,352
Danças negras,Danças negras,Lira Filmes,6.170,491,5,9/9/2021,6.170,491
Acqua movie,Acqua movie,Imovision,5.980,320,7,6/10/2021,5.980,320
O empregado e o patrão,El Empleado y el patrón,Vitrine Filmes,5.978,660,5,8/12/2021,5.978,660
Fate Stay Night Heavens Feel: III - Spring Song,Fate Stay Night Heavens Feel: III - Spring Song,Cinecolor,5.933,324,27,5/6/2021,5.933,324
Quando Hitler roubou o coelho cor-de-rosa,Als Hitler das rosa kaninchen stahl,A2 Filmes,5.793,311,17,2/18/2021,5.793,311
King Kong em Asunción,King Kong em Asunción,ArtHouse,5.770,386,13,9/2/2021,5.770,386
Ana. Sem Título,Ana. Sem Título,Imovision,5.706,312,10,7/29/2021,5.706,312
Por que você não chora?,Por que você não chora?,O2 Play,5.565,311,5,9/9/2021,5.565,311
M8 - Quando a morte socorre a vida,M8 - Quando a morte socorre a vida,DT/Paris,5.513,286,106,12/3/2020,170.860,9.737
Pedro e Inês,Pedro e Inés,Pandora Filmes,5.473,327,4,7/8/2021,5.473,327
Nem tudo se desfaz,Nem tudo se desfaz,Lavra Filmes,5.359,333,2,9/23/2021,5.359,333
Pacarrete,Pacarrete,Vitrine Filmes,5.302,386,30,11/26/2020,61.164,4.113
Algum lugar especial,Nowhere special,A2 Filmes,5.217,255,6,6/17/2021,5.217,255
Rodantes,Rodantes,Zeta Filmes,5.172,277,10,7/29/2021,5.172,277
Noites de alface,Noites de alface,Pipa Produções,5.169,284,13,6/24/2021,5.169,284
O protocolo de Auschwitz,Správa - The Report Movie,A2 Filmes,5.053,291,0,3/25/2021,5.053,291
Cine Marrocos,Cine Marrocos,Bretz Filmes,4.984,285,7,6/3/2021,4.984,285
10 horas para o natal,10 horas para o natal,DT/Paris,4.974,362,397,12/10/2020,486.352,31.423
Todos os mortos,Todos os mortos,Vitrine Filmes,4.434,288,7,12/10/2020,8.898,550
Esquadrão na moral,Esquadrão na moral,Cineart Filmes,4.412,292,12,12/9/2021,4.412,292
"Nuvem rosa, A","Nuvem rosa, A",O2 Play,4.271,270,7,8/26/2021,4.271,270
Amigas de sorte,Amigas de sorte,DT/Paris,4.150,415,1,3/18/2021,4.150,415
Madre,Madre,Imovision,4.092,222,7,11/25/2021,4.092,222
Libelu - Abaixo a ditadura,Libelu - Abaixo a ditadura,Boulevard Filmes,3.976,222,5,5/13/2021,3.976,222
Bravos valentes,Bravos valentes,Plural Filmes,3.916,258,2,9/30/2021,3.916,258
Um animal amarelo,Um animal amarelo,Olhar Distribuição,3.868,208,9,8/26/2021,3.868,208
"Eu estava em casa, mas...","Ich war zuhause, aber...",Zeta Filmes,3.859,188,4,6/10/2021,3.859,188
Eternos companheiros,Xiao Q,A2 Filmes,3.768,220,7,8/19/2021,3.768,220
Mães de verdade,True mothers,California,3.484,183,3,5/13/2021,3.484,183
Cravos,Cravos,Elo Company,3.339,200,11,11/25/2021,3.339,200
Valentina,Valentina,Anagrama Filmes,3.331,178,13,8/19/2021,3.331,178
Amigo Arrigo,Amigo Arrigo,Elo Company,3.242,150,4,11/4/2021,3.242,150
Atravessa a vida,Atravessa a vida,Copacabana,3.175,177,6,1/14/2021,3.175,177
A barqueira,La botera,Zeta Filmes,3.162,207,7,5/20/2021,3.162,207
Lamento,Lamento,Moro Filmes,3.143,155,5,8/26/2021,3.143,155
Knives and skin,Knives and skin,Zeta Filmes,2.962,172,4,7/8/2021,2.962,172
Música para quando as luzes se apagam,Música para quando as luzes se apagam,Art House Movies,2.959,233,11,7/22/2021,2.959,233
Sem ressentimentos,No hard feelings,Olhar Distribuição,2.921,211,4,12/16/2021,2.921,211
A noite do fogo,Noche de fuego,Vitrine Filmes,2.837,396,10,11/18/2021,2.837,396
O sentido da vida,"Sentido da vida, O",DT/Paris,2.834,167,11,9/23/2021,2.834,167
Minhas férias com Patrick,Antoinette Dans Les Cévennes,California,2.815,133,5,5/6/2021,2.815,133
Rumo,Rumo,Kinoscópio,2.741,150,8,7/1/2021,2.741,150
Helen,Helen,Elo Company,2.723,172,10,6/17/2021,2.723,172
O direito de viver,Roe v. Wade,A2 Filmes,2.695,148,2,10/7/2021,2.695,148
O fio invisível,Fever dream,O2 Play,2.627,142,6,10/7/2021,2.627,142
O buscador,O buscador,O2 Play,2.624,138,6,7/29/2021,2.624,138
Casulo,Kokon,Olhar Distribuição,2.537,212,4,12/9/2021,2.537,212
