,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2022 (R$), Público 2022,Salas Abertura,Estreia, renda (R$),público
"Lendário cão guerreiro, O",Paws of fury - The legend of Hank,Paramount,5.509.930,336.128,827,8/25/2022,5.509.930,336.128
Jujutsu Kaisen 0,Jujutsu Kaisen 0,Sony,4.953.888,268.385,865,4/28/2022,4.953.888,268.385
"Fera, A",Beast,Universal,4.654.452,262.351,1.116,8/11/2022,4.654.452,262.351
Predestinado,Predestinado,Imagem,4.497.907,265.967,767,9/1/2022,4.497.907,265.967
Juntos e enrolados,Juntos e enrolados,Imagem,4.298.082,249.957,497,1/13/2022,4.298.082,249.957
Harry Potter e a câmara secreta,Harry Potter and the Chamber of Secrets,Warner,4.225.344,230.777,relanç.,11/22/2002,nd,nd
Coração de fogo,Fireheart,Paris,4.033.284,215.423,910,2/24/2022,4.033.284,215.423
King's Man - A origem,The king's man,Disney,3.932.656,196.248,742,1/6/2022,3.932.656,196.248
Tudo em todo o lugar ao mesmo tempo,Everything everywhere all at once,Diamond/Galeria,3.893.686,187.371,183,6/23/2022,3.893.686,187.371
"Não se preocupe, querida",Don't worry darling,Warner,3.678.445,177.736,596,9/22/2022,3.678.445,177.736
Amsterdam,Amsterdam,Disney,3.168.215,130.023,572,10/6/2022,3.168.215,130.023
Noite infeliz,Violent night,Universal,3.076.850,175.270,753,12/1/2022,3.076.850,175.270
Ambulância - Um dia de crime,Ambulance,Universal,2.848.214,152.874,1.046,3/24/2022,2.848.214,152.874
After - Depois da promessa,After ever happy,Diamond/Galeria,2.748.163,163.312,848,8/25/2022,2.748.163,163.312
"Menu, O",The menu,Disney,2.718.737,122.603,496,12/1/2022,2.718.737,122.603
"Lugar bem longe daqui, Um",Where the crawdads sing,Sony,2.627.812,148.691,902,9/1/2022,2.627.812,148.691
Spencer,Spencer,Diamond/Galeria,2.550.145,106.920,538,1/27/2022,2.550.145,106.920
"Palestrante, O","Palestrante, O",DT/Paris,2.418.769,126.383,613,8/4/2022,2.418.769,126.383
Convite maldito,The invitation,Sony,2.274.809,129.194,805,10/27/2022,2.274.809,129.194
Pluft - O fantasminha,Pluft - O fantasminha,DT/Paris,2.273.417,126.996,853,7/21/2022,2.273.417,126.996
Nada é por acaso,Nada é por acaso,Imagem,2.196.726,147.569,519,11/17/2022,2.196.726,147.569
Caça implacável,Last seen alive,Diamond/Galeria,2.100.584,112.787,739,10/13/2022,2.100.584,112.787
"Beco do pesadelo, O",Nightmare alley,Disney,1.928.359,83.842,347,1/27/2022,1.928.359,83.842
"Morte, morte, morte",Bodies bodies bodies,Sony,1.861.795,107.963,829,10/6/2022,1.861.795,107.963
"Queda, A",The fall,Paris,1.825.559,103.047,637,9/29/2022,1.825.559,103.047
"Última chamada, A",The call,Cinemark,1.762.540,112.619,142,9/1/2022,1.762.540,112.619
Assassino sem rastro,Memory,Diamond/Galeria,1.596.120,78.965,417,6/9/2022,1.596.120,78.965
Agente das sombras,Blacklight,California,1.521.583,78.975,461,3/10/2022,1.521.583,78.975
Marte um,Marte um,Embaúba Filmes,1.505.221,87.645,29,8/25/2022,1.505.221,87.645
"Suburbanos, Os","Suburbanos, Os",DT/Paris,1.480.174,85.435,518,10/6/2022,1.480.174,85.435
"Ritual - Presença maligna, O",The banishing,Playarte,1.462.707,82.355,393,3/17/2022,1.462.707,82.355
Gêmeo maligno,The twin,Paris,1.354.453,76.948,433,8/11/2022,1.354.453,76.948
Belfast,Belfast,Universal,1.340.655,56.744,120,3/10/2022,1.340.655,56.744
Terrifier 2,Terrifier 2,Imagem,1.324.747,74.189,786,12/29/2022,1.324.747,74.189
"Médium, A",The medium,Paris,1.309.529,68.368,360,5/19/2022,1.309.529,68.368
"Agentes 355, As",The 355,Diamond/Galeria,1.284.697,69.824,666,1/20/2022,1.284.697,69.824
Licorice Pizza,Licorice Pizza,Universal,1.238.584,57.691,116,2/17/2022,1.238.584,57.691
Bem-vinda a Quixeramobim,Bem-vinda a Quixeramobim,DT/Paris,1.190.656,71.690,58,10/13/2022,1.190.656,71.690
Pinocchio - O menino de madeira,Pinocchio - A true story,Playarte,1.094.918,72.749,216,9/1/2022,1.094.918,72.749
"Boa sorte, Leo Grande","Good luck to you, Leo Grande",Paris,1.085.890,45.142,107,7/28/2022,1.085.890,45.142
Case comigo,Marry me,Universal,1.077.391,58.549,706,2/10/2022,1.077.391,58.549
Irmãos de honra,Devotion,Diamond/Galeria,1.072.829,52.400,529,12/8/2022,1.072.829,52.400
"Pior pessoa do mundo, A",The worst person in the world,Diamond/Galeria,1.049.834,51.421,23,3/24/2022,1.049.834,51.421
Crepúsculo,Twilight,Paris,1.017.930,76.437,518,12/19/2008,16.078.022,1.968.244
X - A marca da morte,X,Playarte,911.103,50.440,300,8/11/2022,911.103,50.440
"Pitada de sorte, Uma","Pitada de sorte, Uma",DT/Paris,908.883,86.430,256,9/15/2022,908.883,86.430
Papai é pop,Papai é pop,Diamond/Galeria,894.155,51.010,718,8/11/2022,894.155,51.010
"Hora do desespero, A",The desperate hour,Paris,820.969,41.093,410,6/9/2022,820.969,41.093
Alemão 2,Alemão 2,Manequim Filmes,789.703,41.082,278,3/31/2022,789.703,41.082
Encanto,Encanto,Disney,782.248,52.933,1.259,11/25/2021,21.003.224,1.373.587
Era uma vez um gênio,Three thousand years of longing,Paris,769.266,38.658,498,9/1/2022,769.266,38.658
"Maldição do quarto 203, A",Room 203,Playarte,746.390,43.097,252,12/1/2022,746.390,43.097
Veja por mim,See for me,Paris,730.560,38.820,321,6/23/2022,730.560,38.820
Tubarão - Mar de sangue,Shark bait,Paris,679.633,39.782,401,12/1/2022,679.633,39.782
Drive my car,Drive my car,O2 Play,659.515,33.081,63,3/17/2022,659.515,33.081
Me tira da mira,Me tira da mira,Imagem,649.298,35.879,487,3/24/2022,649.298,35.879
"Festival do amor, O",Rifkin's festival,Imagem,643.118,26.309,95,1/6/2022,643.118,26.309
Casa Gucci,House of Gucci,Universal,642.697,22.503,709,11/25/2021,9.673.872,446.927
Até os ossos,Bones and all,Warner,616.725,28.925,248,12/1/2022,616.725,28.925
Downton Abbey - Uma nova era,Downton Abbey - A new era,Universal,611.891,23.683,158,4/28/2022,611.891,23.683
"Aventuras de Gulliver, As",Gulliver returns,Imagem,599.515,35.270,501,2/3/2022,599.515,35.270
Chamas da vingança,Firestarter,Universal,571.703,32.195,517,5/19/2022,571.703,32.195
Epa! Cadê Noé? 2,Ooops! The adventure continues,Playarte,567.014,29.707,291,3/31/2022,567.014,29.707
Dog - A aventura de uma vida,Dog,Diamond/Galeria,561.192,30.151,360,5/19/2022,561.192,30.151
My Hero Academia - Missão mundial de heróis,My hero academia - World heroes´ mission,Sony,555.606,29.963,53,1/6/2022,555.606,29.963
45 do segundo tempo,45 do segundo tempo,DT/Paris,552.547,27.372,260,8/18/2022,552.547,27.372
"Peso do talento, O",The unbearable weight of massive talent,Paris,537.276,25.979,354,5/12/2022,537.276,25.979
Acampamento intergaláctico,Acampamento intergaláctico,Synapse,530.709,28.945,83,9/22/2022,530.709,28.945
A saga Crepúsculo - Lua nova,The Twilight Saga: New moon,Paris,509.943,36.593,839,11/20/2009,48.796.825,6.035.294
Até a morte - Sobreviver é a melhor vingança,Till death,Playarte,501.097,26.065,253,6/9/2022,501.097,26.065
Aftersun,Aftersun,O2 Play/Mubi,487.985,25.236,37,12/1/2022,487.985,25.236
Eike - Tudo ou nada,Eike - Tudo ou nada,DT/Paris,481.489,18.380,232,9/22/2022,481.489,18.380
Moonage daydream,Moonage daydream,Universal,475.055,25.767,22,9/15/2022,475.055,25.767
Minha família perfeita,Minha família perfeita,Disney,440.563,29.996,206,9/8/2022,440.563,29.996
Purgatório - Segredos revelados,Czysciec,Kolbe Arte Produções,424.246,25.929,60,10/20/2022,424.246,25.929
"Pronto, falei","Pronto, falei",Imagem,412.738,22.442,419,12/8/2022,412.738,22.442
"Jaula, A","Jaula, A",Disney,394.809,22.978,244,2/17/2022,394.809,22.978
Sra. Harris vai a Paris,Mrs. Harris goes to Paris,Universal,377.905,16.300,99,11/24/2022,377.905,16.300
Mais que amigos,Bros,Universal,376.840,18.441,190,10/6/2022,376.840,18.441
ET - O extraterrestre,E.T. The Extra-Terrestrial,Universal,358.053,18.476,nd,nd,nd,nd
Meu amigãozão - O filme,Meu amigãozão - O filme,O2 Play,354.754,16.841,145,5/12/2022,354.754,16.841
"Maldição - Despertar dos mortos, A",The cursed: Dead man’s prey,Diamond/Galeria,351.025,19.526,161,11/17/2022,351.025,19.526
"Tesouro do pequeno Nicolau, O",Le trésor du petit Nicolas,California,315.869,16.300,100,12/22/2022,315.869,16.300
A saga Crepúsculo: Amanhecer - Parte 1,The Twilight Saga: Breaking Dawn - Part 1,Paris,313.227,24.267,1.115,11/18/2011,66.763.589,7.196.075
Armageddon time,Armageddon time,Universal,298.320,11.805,22,11/10/2022,298.320,11.805
Ela disse,She said,Universal,294.942,12.161,115,12/8/2022,294.942,12.161
"Poderoso chefão - 50 anos, O",The Godfather - 50 Years,Paramount,288.518,12.059,27,2/24/2022,288.518,12.059
No ritmo do coração,Coda,Diamond/Galeria,282.680,11.080,396,9/23/2021,809.220,38.831
"Felicidade das pequenas coisas, A",Lunana: A Yak in the Classroom,Pandora Filmes,282.410,16.389,3,1/27/2022,282.410,16.389
Pureza,Pureza,DT/Paris,282.140,16.929,144,5/19/2022,282.140,16.929
Amigo secreto,Amigo secreto,Vitrine Filmes,281.937,15.257,47,6/16/2022,281.937,15.257
Maria - Ninguém sabe quem sou eu,Maria - Ninguém sabe quem sou eu,Arteplex Filmes,279.296,18.231,32,9/1/2022,279.296,18.231
Men - Faces do medo,Men,Paris,276.522,17.983,112,9/8/2022,276.522,17.983
Luta pela fé - A história do padre Stu,Father Stu,Sony,276.129,14.000,279,5/26/2022,276.129,14.000
A saga Crepúsculo - Eclipse,The Twilight Saga: Eclipse,Paris,275.906,19.629,956,6/30/2010,54.043.613,6.327.642
Coração ardente,Coração ardente,Distribuição Própria,270.260,16.871,52,3/10/2022,270.260,16.871
Com amor e fúria,Avec amour et acharnement,Synapse,269.120,12.854,30,11/3/2022,269.120,12.854
Tarsilinha,Tarsilinha,H2O Films,265.302,14.363,105,3/17/2022,265.302,14.363
Benedetta,Benedetta,Imovision,262.294,13.048,37,1/13/2022,262.294,13.048
Força bruta,The roundup,Paris,261.444,17.058,373,11/24/2022,261.444,17.058
Quatro amigas numa fria,Quatro amigas numa fria,Disney,261.431,14.243,213,5/19/2022,261.431,14.243
Sempre em frente,C'mon c'mon,Diamond/Galeria,255.125,12.069,60,2/17/2022,255.125,12.069
Crocodilos - A morte te espera,Black water - Abyss,Playarte,224.723,12.120,133,5/12/2022,224.723,12.120
Crimes of the future,Crimes of the future,O2 Play,212.290,11.533,18,7/14/2022,212.290,11.533
Vivo - Quem está aí?,Vivo,Distribuição Própria,200.644,12.164,103,6/14/2022,200.644,12.164
Vale night,Vale night,Disney,188.067,10.879,177,3/17/2022,188.067,10.879
"Viagem de Pedro, A","Viagem de Pedro, A",Vitrine Filmes,183.655,11.133,64,9/1/2022,183.655,11.133
"Amor dá voltas, O","Amor dá voltas, O",Imagem,178.995,10.525,169,12/22/2022,178.995,10.525
Super quem?,Super who,Paris,177.589,9.499,204,10/27/2022,177.589,9.499
The Beatles: Get back - O último show,The Beatles: Get back - The rooftop concert,Disney,163.407,4.970,12,2/10/2022,163.407,4.970
Noites de Paris,Les passagers de la nuit,Vitrine Filmes,160.190,8.082,14,10/20/2022,160.190,8.082
Má sorte no sexo ou pornô acidental,Bad luck banging or loony porn,Imovision,149.444,8.310,18,6/2/2022,149.444,8.310
Tre piani,Tre piani,Imovision,148.822,7.070,19,4/7/2022,148.822,7.070
"Acusação, A",Les choses humaines,Imovision,148.226,6.377,22,10/27/2022,148.226,6.377
Chico para sempre,Chico para sempre,Film Connection,147.878,8.344,54,10/13/2022,147.878,8.344
Sword art online progressive - Ária de uma noite sem estrelas,Sword art online progressive - Aria of a starless night,Sony,146.762,7.190,48,3/10/2022,146.762,7.190
"Suspeita, A","Suspeita, A",Imagem,145.385,7.477,112,6/16/2022,145.385,7.477
Ilusões perdidas,Illusions Perdues,California,136.723,7.029,19,6/9/2022,136.723,7.029
Na rédea curta,Na rédea curta,Elo Studios,135.391,8.186,44,12/1/2022,135.391,8.186
Ligação explosiva,Hard hit,Diamond/Galeria,126.793,8.671,138,11/24/2022,126.793,8.671
"Livro dos prazeres, O","Livro dos prazeres, O",Vitrine Filmes,124.073,8.055,30,9/22/2022,124.073,8.055
A saga Crepúsculo: Amanhecer - Parte 2,The Twilight Saga: Breaking Down - The Final,Paris,119.231,8.371,1.249,11/16/2012,108.071.417,10.332.231
"Herói, Um",A hero,California,118.504,5.815,30,7/28/2022,118.504,5.815
King Richard - Criando campeãs,King Richard,Warner,112.260,4.383,358,12/2/2021,1.287.115,56.455
Tromba trem - O filme,Tromba trem - O filme,Manequim Filmes,106.669,6.966,143,9/8/2022,106.669,6.966
"Bardo, falsa crônica de algumas verdades",Bardo,O2 Play,106.087,4.957,38,11/17/2022,106.087,4.957
"Destino de Haffmann, O",Adieu monsieur Haffmann,Synapse,101.044,4.877,19,8/11/2022,101.044,4.877
Paradise – Uma nova vida,Paradise - Una nuova vita,Arteplex Filmes,100.419,5.775,15,7/21/2022,100.419,5.775
"Nossos filhos, Aos","Nossos filhos, Aos",Imovision,99.813,5.349,22,7/28/2022,99.813,5.349
