,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2022 (R$), Público 2022,Salas Abertura,Estreia, renda (R$),público
"Broto legal, Um","Broto legal, Um",Pandora Filmes,27.182,1.602,25,6/16/2022,27.182,1.602
Des-igualdade,Des-igualdade,A2 Filmes,26.982,1.662,7,10/25/2022,26.982,1.662
Amado,Amado,DT/Paris,26.401,1.303,22,6/9/2022,26.401,1.303
Ainbo - A guerreira da Amazônia,Ainbo - Spirit of the Amazon,Paris,26.303,3.014,510,9/30/2021,2.366.182,151.985
"Conferência, A",The conference,A2 Filmes,25.297,1.242,9,11/3/2022,25.297,1.242
Bem-vindos a bordo,Rien à foutre,Synapse,25.127,1.490,17,12/8/2022,25.127,1.490
"Adeus, idiotas",Adieu les Cons,Polifilmes/Mares Filmes,24.947,1.403,9,2/24/2022,24.947,1.403
Luta pela liberdade,Xuan ya zhi shang - Cliff walkers,A2 Filmes,24.020,1.246,15,8/18/2022,24.020,1.246
Enquanto vivo,De son vivant,Bonfilm,23.997,1.424,22,6/9/2022,23.997,1.424
Pacificado,Pacificado,Disney,23.563,1.074,37,8/11/2022,23.563,1.074
"Truque da galinha, O",Feathers,Imovision,22.178,1.146,7,6/23/2022,22.178,1.146
"Mãe, A","Mãe, A",CUP Filmes,21.996,1.471,15,11/10/2022,21.996,1.471
"Pequeno grande plano, Um",La croisade,Synapse,21.724,996,7,8/18/2022,21.724,996
Rua Guaicurus,Rua Guaicurus,Embaúba Filmes,21.511,1.339,9,7/14/2022,21.511,1.339
Rogue One - Uma história Star Wars,Rogue One: A Star Wars Story,Disney,21.306,1.009,1.396,relanç.,48.336.042,2.868.463
"Território, O","Território, O",National Geographic Documentary Films,20.397,1.369,14,9/8/2022,20.397,1.369
Águas selvagens,Águas selvagens,Imagem,20.094,960,42,5/12/2022,20.094,960
Deserto particular,Deserto particular,Pandora Filmes,19.602,1.100,18,11/25/2021,92.085,5.067
"Lima Barreto, ao terceiro dia","Lima Barreto, ao terceiro dia",Pipa Produções,19.549,1.197,17,9/29/2022,19.549,1.197
Cano serrado,Cano serrado,H2O Films,19.193,1.115,52,8/25/2022,19.193,1.115
"Pai da Rita, O","Pai da Rita, O",O2 Play,18.808,1.225,29,5/19/2022,18.808,1.225
"Mulher do mundo, Uma",Une femme du monde,Imovision,18.550,997,6,12/8/2022,18.550,997
Meu álbum de amores,Meu álbum de amores,Pandora Filmes,18.279,1.104,17,8/18/2022,18.279,1.104
Garota inflamável,Stillstehen,Pandora Filmes,18.235,1.288,8,7/14/2022,18.235,1.288
Espero que esta te encontre e que estejas bem,Espero que esta te encontre e que estejas bem,Embaúba Filmes,18.169,1.448,15,6/9/2022,18.169,1.448
Klondike - A guerra na Ucrânia,Klondike,Pandora Filmes,17.943,979,13,5/5/2022,17.943,979
Lara,Lara,Imovision,17.898,1.065,4,12/30/2021,18.588,1.100
Caixa preta,Boîte noire,Bonfilm,17.701,979,16,4/7/2022,17.701,979
De repente drag,De repente drag,Elo Studios,17.606,1.108,10,8/4/2022,17.606,1.108
"Dia qualquer, Um","Dia qualquer, Um",Pipa Produções,17.458,1.079,22,6/23/2022,17.458,1.079
1999 - A conquista da América,1999 - A conquista da América,Elo Studios,17.190,1.122,1,3/31/2022,17.190,1.122
"Conto de amor e desejo, Um",Une histoire d'amour et de désir,Bonfilm,16.576,1.085,13,4/28/2022,16.576,1.085
Mali twist,Twist à bamako,Imovision,16.242,883,6,11/24/2022,16.242,883
"Poderoso chefinho 2 - Negócios da família, O",Boss baby 2,Universal,15.918,2.045,1.188,8/12/2021,11.217.984,711.231
Garoto chiffon,Garçon chiffon,Imovision,15.829,996,14,3/24/2022,15.829,996
Clifford - O gigante cão vermelho,Clifford the big red dog,Paramount,15.744,1.650,540,12/2/2021,3.048.462,191.613
Ataque dos cães,The power of the dog,O2 Play,15.430,1.249,8,11/18/2021,24.820,1.730
Sol,Sol,DT/Paris,14.621,673,30,12/8/2022,14.621,673
"Brigada da chefe, A",La brigade,Imovision,14.325,668,18,12/29/2022,14.325,668
Carro rei,Carro rei,Boulevard Filmes,14.127,1.163,16,6/30/2022,14.127,1.163
Rir para não chorar,Rir para não chorar,Elo Studios,14.124,868,26,10/20/2022,14.124,868
Odd Taxi: In the woods,Eiga Odd Taxi: In the woods,Sony,13.899,561,11,6/23/2022,13.899,561
Space jam - Um novo legado,Space jam - A new legacy,Warner,13.821,1.583,976,7/15/2021,14.856.576,916.186
Amira,Amira,Imovision,13.672,851,6,9/8/2022,13.672,851
Pedro Coelho 2 - O fugitivo,Peter Rabbit 2: The runaway,Sony,13.053,1.630,734,8/26/2021,17.856.576,916.186
Ménage,Ménage,Lira Filmes,12.761,817,13,3/17/2022,12.761,817
Meu tricolor de aço 2 - Um sonho que liberta,Meu tricolor de aço 2 - Um sonho que liberta,Estação Luz Filmes,12.263,976,10,4/14/2022,12.263,976
Gyuri,Gyuri,Descoloniza Filmes,12.134,1.076,9,7/7/2022,12.134,1.076
Undine,Undine,Imovision,11.516,796,10,12/23/2021,26.620,1.553
Seguindo Todos os Protocolos,Seguindo Todos os Protocolos,Vitrine Filmes,11.264,1.316,11,6/30/2022,11.264,1.316
Annette,Annette,Distribuição Própria,10.791,552,6,12/23/2021,21.706,1.135
Vitalina Varela,Vitalina Varela,Zeta Filmes,10.663,951,8,4/14/2022,10.663,951
Pequenos guerreiros,Pequenos guerreiros,Sereia Filmes,10.656,1.005,6,12/1/2022,10.656,1.005
Mateína - A Erva Perdida,Mateína,Lança Filmes,10.539,822,6,3/31/2022,10.539,822
Top Gun - Ases Indomáveis (1986),Top Gun,Park Circus,10.519,1.112,nd,relanç.,nd,nd
Dentro da caixinha - Segredo de criança,Dentro da caixinha - Segredo de criança,Cineart Filmes,10.355,498,6,3/24/2022,10.355,498
Segredos de Putumayo,Segredos de Putumayo,O2 Play,10.119,716,8,9/1/2022,10.119,716
Sociedade do medo,Sociedade do medo,Forte Filmes,9.984,644,12,10/20/2022,9.984,644
"Colmeia, A","Colmeia, A",Lança Filmes,9.843,716,13,6/30/2022,9.843,716
Fortaleza Hotel,Fortaleza Hotel,Vitrine Filmes,9.809,964,14,1/27/2022,9.809,964
Meu filho é um craque,Fourmi,Pandora Filmes,9.776,493,25,11/24/2022,9.776,493
Casa de antiguidades,Casa de antiguidades,Pandora Filmes,9.631,754,9,7/21/2022,9.631,754
No ritmo da vida,Jump Darling,A2 Filmes,9.544,493,9,3/3/2022,9.544,493
Lavra,Lavra,Pandora Filmes,9.375,643,9,10/6/2022,9.375,643
"Jangada de Welles, A","Jangada de Welles, A",Sereia Filmes,9.316,774,9,6/23/2022,9.316,774
Fé e fúria,Fé e fúria,Embaúba Filmes,9.284,673,10,10/13/2022,9.284,673
@Arthur.Rambo - Ódio nas redes,Arthur Rambo,Vitrine Filmes,8.861,715,11,5/12/2022,8.861,715
Golias,Goliath,Bonfilm,8.852,536,9,11/24/2022,8.852,536
Proibido nascer no paraíso,Proibido nascer no paraíso,Boulevard Filmes,8.848,1.369,1,4/15/2021,8.900,1.393
Maior que o mundo,Maior que o mundo,Imagem,8.770,351,17,8/18/2022,8.770,351
Mar de dentro,Mar de dentro,California,8.715,699,9,4/7/2022,8.715,699
Plano A,Plan A,A2 Filmes,8.656,448,5,12/1/2022,8.656,448
Human life,Human life,Marques Filmes,8.554,347,2,3/10/2022,8.554,347
Como agradar uma mulher,How to please a woman,A2 Filmes,8.492,255,13,12/29/2022,8.492,255
Jesus Kid,Jesus Kid,Olhar Distribuição,8.458,716,13,6/9/2022,8.458,716
Mostra-me o Pai,Show me the father,360 WayUp,8.338,529,91,12/2/2021,212.159,14.090
Amigos de risco,Amigos de risco,Inquieta,8.201,990,8,5/19/2022,8.201,990
"Boa mãe, A",Bonne Mère,Zeta Filmes,8.176,689,8,6/2/2022,8.176,689
Sujeito oculto,Sujeito oculto,Lume,8.109,706,0,6/23/2022,8.109,706
Tralala,Tralala,Bonfilm,8.031,553,12,8/4/2022,8.031,553
"Mesma parte de um homem, A","Mesma parte de um homem, A",Olhar Distribuição,7.877,615,6,4/7/2022,7.877,615
Nunca fomos tão modernos,Nunca fomos tão modernos,Pipa Produções,7.684,368,16,4/21/2022,7.684,368
"Presidente improvável, O","Presidente improvável, O",Bretz Filmes,7.615,383,11,3/31/2022,7.615,383
Paixões recorrentes,Paixões recorrentes,O2 Play,7.597,485,7,8/18/2022,7.597,485
"Mi iubita, meu amor","Mi iubita, mon amour",Zeta Filmes,7.280,525,9,9/29/2022,7.280,525
"Eu, um outro","Eu, um outro",O2 Play,7.215,449,9,11/10/2022,7.215,449
Primavera,Primavera,O2 Play,7.024,565,12,2/17/2022,7.024,565
"Se eu contar, você escuta?","Se eu contar, você escuta?",Distribuição Própria,6.839,1.347,4,5/19/2022,6.839,1.347
Diário de viagem,Diário de viagem,Pandora Filmes,6.808,389,1,11/17/2022,6.808,389
Kevin,Kevin,Embaúba Filmes,6.799,487,12,11/3/2022,6.799,487
Desterro,Desterro,Embaúba Filmes,6.693,721,16,9/22/2022,6.693,721
5 casas,5 casas,Lança Filmes,6.567,585,6,9/8/2022,6.567,585
Cordialmente teus,Cordialmente teus,Pandora Filmes,6.426,421,5,9/22/2022,6.426,421
"Teoria dos vidros quebrados, A",La teoria de los vidrios rotos,Okna Produções,6.107,463,2,8/18/2022,6.107,463
Shortbus - Remasterizado,Shortbus,Imovision,6.018,361,6,12/29/2022,6.018,361
"Espera de Liz, A","Espera de Liz, A",Pandora Filmes,5.956,589,19,3/17/2022,5.956,589
"Dia para sempre!, Um",Hallo again,A2 Filmes,5.740,345,5,6/9/2022,5.740,345
Tantas Almas,Tantas Almas,Vitrine Filmes,5.554,702,13,5/26/2022,5.554,702
"Queda, A (BR)","Queda, A (BR)",O2 Play,5.455,320,7,7/14/2022,5.455,320
Fabian - O mundo está acabando,Fabian - Going to the dogs,Zeta Filmes,5.245,454,6,3/10/2022,5.245,454
Enquanto estamos aqui,Enquanto estamos aqui,Pique-Bandeira Filmes,5.211,362,6,10/6/2022,5.211,362
"Bravos nunca se calam, Os","Bravos nunca se calam, Os",Lança Filmes,5.121,332,10,11/17/2022,5.121,332
"Rio de Janeiro de Ho Chi Minh, O","Rio de Janeiro de Ho Chi Minh, O",Pipa Produções,5.093,338,7,7/14/2022,5.093,338
Como matar a Besta,Matar a la Bestia,Vitrine Filmes,4.916,675,11,4/28/2022,4.916,675
Pajeú,Pajeú,Embaúba Filmes,4.794,479,10,3/31/2022,4.794,479
Aldeotas,Aldeotas,Gullane Distribuidora,4.740,561,1,11/10/2022,4.740,561
"Fantástica fábrica de golpes, A",The coup d`état factory,Quechua Films,4.526,304,2,9/1/2022,4.526,304
Curtas jornadas noite adentro,Curtas jornadas noite adentro,Livres Filmes,4.498,460,12,9/15/2022,4.498,460
"Diário para Jordan: Memórias de amor e perda, Um",A journal for Jordan,Sony,4.414,227,2,4/28/2022,4.414,227
Diários de Otsoga,Diários de Otsoga,Vitrine Filmes,4.378,343,6,7/21/2022,4.378,343
Rio de vozes,Rio de vozes,Pandora Filmes,4.296,350,6,2/17/2022,4.296,350
Meu tio José,Meu tio José,Fênix Filmes,4.263,256,9,10/27/2022,4.263,256
Desaparecidos,Vanishing,A2 Filmes,4.106,184,4,8/4/2022,4.106,184
Aquilo que eu nunca perdi,Aquilo que eu nunca perdi,Descoloniza Filmes,4.101,322,8,9/8/2022,4.101,322
"Morte habita à noite, A","Morte habita à noite, A",Vitrine Filmes,4.033,452,11,12/15/2022,4.033,452
Quem tem medo?,Quem tem medo?,Embaúba Filmes,3.986,293,8,8/4/2022,3.986,293
Deus tem aids,Deus tem aids,Vitrine Filmes,3.741,357,14,12/1/2022,3.741,357
Tambores da diáspora,Tambores da diáspora,Distribuição Própria,3.365,216,1,3/17/2022,3.365,216
Transversais,Transversais,Deberton Filmes,3.125,180,2,2/24/2022,3.125,180
Rebento,Rebento,Distribuição Própria,3.120,491,1,5/5/2022,3.120,491
Coisa pública,Coisa pública,Distribuição Própria,2.954,151,2,9/22/2022,2.954,151
Milagre das águas,Milagre das águas,Distribuição Própria,2.695,147,1,9/15/2022,2.695,147
Mudança,Mudança,Elo Studios,2.691,266,1,9/29/2022,2.691,266
"Grande Irmão - O dia que durou 21 anos 2, O","Grande Irmão - O dia que durou 21 anos 2, O",Elo Studios,2.650,163,1,9/8/2022,2.650,163
Pão e gente,Pão e gente,Embaúba Filmes,2.583,149,1,5/5/2022,2.583,149
Dissonantes,Dissonantes,Disney,2.583,159,5,6/23/2022,2.583,159
Virar mar,Meer werden,Vitrine Filmes,2.572,337,9,7/28/2022,2.572,337
"Tablado e Maria Clara Machado, O","Tablado e Maria Clara Machado, O",Gravinart Produções Artísticas,2.492,231,2,12/8/2022,2.492,231
Fora de cena,Fora de cena,Kinopus/Elo Studios,2.335,146,1,2/17/2022,2.335,146
Fado tropical,Fado tropical,Distribuição Própria,2.329,274,1,7/28/2022,2.329,274
Contatado,Contatado,Pandora Filmes,2.301,134,5,10/13/2022,2.301,134
Contágio zero,Hall,Cinecolor,2.234,103,5,8/4/2022,2.234,103
"Professora de violino, A",Das vorspiel,Filmicca,2.216,344,3,3/17/2022,2.216,344
Mirador,Mirador,Olhar Distribuição,1.969,235,5,5/5/2022,1.969,235
Última cidade,Última cidade,Marrevolto Filmes,1.826,205,3,7/21/2022,1.826,205
Los conductos,Los conductos,Olhar Distribuição,1.814,104,5,8/18/2022,1.814,104
"Cadeiras, As","Cadeiras, As",Distribuição Própria,1.785,124,1,10/13/2022,1.785,124
Breve história do planeta verde,Breve história do planeta verde,Embaúba Filmes,1.755,154,10,12/1/2022,1.755,154
Brado,Brado,Distribuição Própria,1.673,160,1,11/25/2022,1.673,160
Sapato 36,Sapato 36,Cavídeo,1.667,238,10,8/4/2022,1.667,238
"Ossos da saudade, Os","Ossos da saudade, Os",Olhar Distribuição,1.473,123,3,9/22/2022,1.473,123
Esse fim de semana,Ese fin de semana,Pandora Filmes,1.469,103,2,3/10/2022,1.469,103
"Escravos de Jó, Os","Escravos de Jó, Os",Sereia Filmes,1.448,183,1,9/29/2022,1.448,183
Passagem secreta,Passagem secreta,A2 Filmes,1.441,90,5,1/27/2022,1.441,90
"Batalha de Shangri-lá, A","Batalha de Shangri-lá, A",Moro Filmes,1.412,91,4,8/11/2022,1.412,91
"Trem da utopia, O","Trem da utopia, O",Distribuição Própria,1.398,68,4,5/12/2022,1.398,68
Brasileiríssima - A história da telenovela,Brasileiríssima - A história da telenovela,Bretz Filmes,1.343,83,3,6/9/2022,1.343,83
Êxtase,Êxtase,Descoloniza Filmes,1.252,112,6,12/1/2022,1.252,112
Platamama,Platamama,Paideia Filmes,1.163,51,1,8/4/2022,1.163,51
Armadilha explosiva,Blast,A2 Filmes,1.155,61,2,6/16/2022,1.155,61
Lola e o mar,Lola vers la mer,Filmicca,1.141,115,2,4/14/2022,1.141,115
"Ivan, o TerriRvel","Ivan, o TerriRvel",Fênix Filmes,1.104,99,1,9/15/2022,1.104,99
Escrita íntima,Escrita íntima,Gullane Distribuidora,1.037,55,3,6/9/2022,1.037,55
Mulheres de Havana,Mulheres de Havana,Distribuição Própria,817,48,1,12/15/2022,817,48
No outro encontro você,No outro encontro você,Bretz Filmes,730,40,2,9/29/2022,730,40
"Reflexo do lago, O","Reflexo do lago, O",Elo Studios,714,92,1,8/11/2022,714,92
"Comedy club, O","Comedy club, O",SuperOito Produções,699,106,3,10/27/2022,699,106
Toada para José Siqueira,Toada para José Siqueira,Distribuição Própria,680,117,1,6/2/2022,680,117
Otto - de trás p/ diante,Otto - de trás p/ diante,Cavídeo,608,52,1,12/29/2022,608,52
Visões do império,Visões do império,Bretz Filmes,578,31,2,3/10/2022,578,31
Nunca mais serei a mesma,Nunca mais serei a mesma,Bretz Filmes,577,28,1,12/1/2022,577,28
"Boas vidas, Os",I vitelloni,FJ Cines,528,70,1,9/8/2022,528,70
Arthur Moreira Lima - Um piano para todos,Arthur Moreira Lima - Um piano para todos,A2 Filmes,522,33,1,11/10/2022,522,33
Poetas do céu,Poetas del cielo,Pandora Filmes,506,39,1,7/28/2022,506,39
Porfírio do Amaral - A verdade sobre o samba,Porfírio do Amaral - A verdade sobre o samba,Moro Filmes,493,38,2,12/1/2022,493,38
Brasil África - Um elo natural,Brasil África - Um elo natural,Bretz Filmes,481,26,2,7/28/2022,481,26
Suzanne Daveau,Suzanne Daveau,Bretz Filmes,455,33,3,5/26/2022,455,33
"Voz da lua, A",La voce della luna,FJ Cines,448,58,1,9/8/2022,448,58
"Almas que dançam no escuro, As","Almas que dançam no escuro, As",Elite Filmes,425,18,3,12/29/2022,425,18
"Quarto ao lado, O","Quarto ao lado, O",Distribuição Própria,412,23,1,12/15/2022,412,23
Mato seco em chamas,Mato seco em chamas,Vitrine Filmes,411,45,0,10/27/2022,411,45
Muribeca,Muribeca,Descoloniza Filmes,362,53,1,8/25/2022,362,53
7 Cortes de cabelo no Congo,7 Cortes de cabelo no Congo,Consciência Negra,298,79,1,11/3/2022,298,79
Em busca do U-513,Em busca do U-513,Distribuição Própria,269,14,1,1/27/2022,269,14
"Rogai por nós, os santos no Brasil","Rogai por nós, os santos no Brasil",Film Connection,245,11,2,5/5/2022,245,11
"Noite antes do Natal, Uma","Noite antes do Natal, Uma",Tortuga Studios,226,13,1,12/22/2022,226,13
Alice no mundo da internet,Alice no mundo da internet,Synapse,179,13,2,12/22/2022,179,13
#,# (Hashtag),Distribuição Própria,156,7,1,12/8/2022,156,7
"Último País, O",El ultimo Pais,CUP Filmes,101,16,1,6/2/2022,101,16
"Curto verão de Hilda, O",Las Vacaciones de Hilda,Conexão Cultural,98,6,1,11/10/2022,98,6
"Disco normal, Um","Disco normal, Um",Distribuição Própria,86,25,1,11/24/2022,86,25
"Encantado, o Brasil em desencanto","Encantado, o Brasil em desencanto",Distribuição Própria,82,22,1,12/12/2022,82,22
Fabiana,Fabiana,Olhar Distribuição,80,38,1,3/10/2022,80,38
Procura-se,Procura-se,Warner,40,2,1,11/25/2022,40,2
"Josey Wales, o fora da lei",The Outlaw Josey Wales,Warner,33,3,1,1/20/2022,33,3
Ewé de Òsányìn: O segredo das folhas,Ewé de Òsányìn: O segredo das folhas,Consciência Negra,22,9,1,11/10/2022,22,9
"Imperdoáveis, Os",Unforgiven,Warner,22,2,1,1/20/2022,22,2
"Máquina infernal, A","Máquina infernal, A",Embaúba Filmes,19,3,2,5/5/2022,19,3
Alice dos Anjos,Alice dos Anjos,Elo Studios,18,8,1,11/24/2022,18,8
