,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2019 (R$), Público 2019,Salas Abertura,Estreia, renda (R$),público
Pássaros de verão,Birds of passage,Arteplex Filmes,109.336,6.270,7,8/22/2019,109.336,6.270
A camareira,La camarista,Supo Mungam Films,106.431,6.558,26,11/14/2019,106.431,6.558
Os dois filhos de Joseph,Deux fils,Pandora,103.053,6.797,19,8/1/2019,103.053,6.797
Quando Margot encontra Margot,La belle et la belle,Pandora,100.373,5.922,40,4/4/2019,100.373,5.922
Imagem e palavra,Le livre d'image,Imovision,99.831,5.955,16,3/14/2019,99.831,5.955
Papicha,Papicha,Pandora,98.074,6.470,39,10/31/2019,98.074,6.470
Três faces,Se rokh,Imovision,97.499,5.721,8,4/4/2019,97.499,5.721
"Iluminado, O",The Shining,Park Circus,96.850,7.477,133,relanç.,96.850,7.477
Filhas do Sol,Les filles du soleil,California,96.660,7.046,7,9/26/2019,96.660,7.046
Retrato do amor,Photograph,California,95.682,5.461,10,8/8/2019,95.682,5.461
Bate coração,Bate coração,DTF/Paris,94.301,5.989,88,11/7/2019,94.301,5.989
Greta,Greta,Pandora,94.080,6.974,18,10/10/2019,94.080,6.974
Um amante francês,Just a gigolo,Pagu Pictures,89.241,4.966,21,11/28/2019,89.241,4.966
Suspíria - A dança do medo,Suspiria,Playarte,87.787,5.614,16,4/11/2019,87.787,5.614
O silêncio dos outros,El silencio de otros,Supo Mungam Films,87.676,5.698,11,2/28/2019,87.676,5.698
Meditation park,Meditation park,Lança Filmes,85.235,4.978,6,4/11/2019,85.235,4.978
Aqueles que ficaram,Akik maradtak,Supo Mungam Films,83.399,4.696,19,12/26/2019,83.399,4.696
Meu querido filho,Weldi,Pandora,82.996,5.621,19,1/3/2019,82.996,5.621
Made in Italy,Made in Italy,Espaço Filmes,82.506,4.403,6,2/28/2019,82.506,4.403
Entre tempos,Ricordi?,Cineart Filmes,81.001,4.680,17,8/22/2019,81.001,4.680
Meu bebê,Mon bébé,Bonfilm,79.038,5.174,14,8/1/2019,79.038,5.174
Inocência roubada,Les chatouilles,A2 Filmes,78.909,5.790,12,7/11/2019,78.909,5.790
A juíza,RBG,Flow,78.307,6.235,6,5/23/2019,78.307,6.235
Sobibor,Sobibor,A2 Filmes,75.451,4.692,20,4/25/2019,75.451,4.692
O homem que matou Dom Quixote,The man who killed Don Quixote,Elite Filmes,73.723,4.049,27,6/6/2019,73.723,4.049
No coração do mundo,No coração do mundo,Embaúba Filmes,73.718,5.520,16,8/1/2019,73.718,5.520
Normandia nua,Normandie nue,A2 Filmes,73.699,5.263,13,2/21/2019,73.699,5.263
Sócrates,Sócrates,O2 Play,72.458,5.645,22,9/26/2019,72.458,5.645
Luta de classes,La lutte des classes,A2 Filmes,71.201,4.724,22,10/24/2019,71.201,4.724
Torre das donzelas,Torre das donzelas,Elo Company,71.033,5.231,15,9/19/2019,71.033,5.231
Bixa Travesty,Bixa Travesty,Arteplex Filmes,70.794,13.070,15,11/21/2019,70.794,13.070
A árvore dos frutos selvagens,Ahlat agaci,Fênix Filmes,67.525,4.131,9,7/4/2019,67.525,4.131
"Santiago, Itália","Santiago, Itália",Pandora,66.666,4.141,5,6/20/2019,66.666,4.141
Paulo de Tarso e a história do cristianismo primitivo,Paulo de Tarso e a história do cristianismo primitivo,A2 Filmes,62.609,3.391,13,10/3/2019,62.609,3.391
Alma imoral,Alma imoral,Elo Company,62.485,3.944,4,8/8/2019,62.485,3.944
André Rieu - Vamos dançar?,Shall We Dance?,Distribuição Própria,60.240,2.616,51,11/7/2019,60.240,2.616
O menino que fazia rir,Der Junge muss an die frische Luft,Pandora,57.333,4.244,31,9/26/2019,57.333,4.244
E então nós dançamos,And Then We Danced,Zeta Filmes,56.332,3.173,20,12/19/2019,56.332,3.173
As filhas do fogo,Hijas del fuego,Vitrine Filmes,54.939,3.342,11,3/14/2019,54.939,3.342
O último lance,Tuntematon mestari,Cineart Filmes,54.673,3.281,7,4/25/2019,54.673,3.281
Anos 90,Mid 90's,Diamond Films,53.578,3.033,25,5/30/2019,53.578,3.033
Os papéis de Aspern,The Aspern Papers,A2 Filmes,53.288,3.369,19,5/23/2019,53.288,3.369
Maria Callas - Em suas próprias palavras,Maria by Callas,Imovision,52.290,3.652,16,12/6/2018,291.757,17.690
A mulher do meu marido,"Mulher do meu marido, A",Bretz Filmes,50.741,3.055,40,8/29/2019,50.741,3.055
Eu não sou uma bruxa,I am not a witch,Imovision,48.825,2.908,4,6/13/2019,48.825,2.908
Longe da árvore,Far from the tree,Flow,48.465,4.926,4,9/19/2019,48.465,4.926
Retablo,Retablo,Arteplex Filmes,48.428,2.898,8,11/7/2019,48.428,2.898
Recife assombrado,Recife assombrado,Elo Company,47.679,4.788,12,11/21/2019,47.679,4.788
Amazônia - O despertar da florestania,Amazônia - O despertar da florestania,Descoloniza Filmes,47.626,3.540,13,5/9/2019,47.626,3.540
Happy hour - Verdades e consequências,Happy hour,Imovision,47.203,3.138,29,3/28/2019,47.203,3.138
Praça pública,Place publique,Imovision,47.040,2.814,3,1/17/2019,47.040,2.814
"Mulheres armadas, homens na lata",Rebelles,Imovision,46.447,2.777,10,8/8/2019,46.447,2.777
Chicuarotes,Chicuarotes,Supo Mungam Films,45.999,3.046,26,9/5/2019,45.999,3.046
A maratona de Brittany,Brittany runs a marathon,Diamond Films,45.946,2.346,6,10/24/2019,45.946,2.346
O ano de 1985,1985,Supo Mungam Films,45.301,2.690,13,4/25/2019,45.301,2.690
"Conquistar, amar e viver intensamente","Plaire, aimer et courir vite",Imovision,44.959,3.233,17,12/20/2018,134.501,8.233
Em guerra,En guerre,Supo Mungam Films,44.801,2.731,5,10/10/2019,44.801,2.731
Slayer: The Repentless Killogy,Slayer: The Repentless Killogy,Distribuição Própria,44.274,2.181,43,11/6/2019,44.274,2.181
A vida de Diane,Diane,Supo Mungam Films,43.678,2.475,14,5/9/2019,43.678,2.475
Sou carnaval de São Salvador,Sou carnaval de São Salvador,DTF/Paris,43.478,3.045,29,1/24/2019,43.478,3.045
Carta para além dos muros,Carta para além dos muros,Descoloniza Filmes,42.753,3.565,10,9/26/2019,42.753,3.565
Dogman,Dogman,Arteplex Filmes,42.272,2.286,1,2/21/2019,42.272,2.286
Estou me guardando para quando o carnaval chegar,Estou me guardando para quando o carnaval chegar,Vitrine Filmes,42.234,5.215,14,7/11/2019,42.234,5.215
O relatório,The report,Diamond Films,40.903,1.884,6,11/7/2019,40.903,1.884
O último amor de Casanova,Dernier amour,California,40.816,2.252,24,12/26/2019,40.816,2.252
Temporada,Temporada,Vitrine Filmes,40.656,4.978,18,1/17/2019,40.656,4.978
Mal nosso,Mal nosso,Distribuição Própria,39.169,2.155,14,3/14/2019,39.169,2.155
A sombra do pai,"Sombra do pai, A",Pandora,38.644,2.331,15,5/2/2019,38.644,2.331
Através do fogo,Sauver ou périr,California,38.382,2.657,65,6/6/2019,38.382,2.657
Pyewacket - Entidade maligna,Pyewacket,Cinecolor,38.225,2.619,42,9/26/2019,38.225,2.619
Vermelho sol,Rojo,Vitrine Filmes,38.225,4.456,15,8/8/2019,38.225,4.456
Os 3 infernais,3 from hell,Paris,37.989,2.302,41,10/24/2019,37.989,2.302
Dafne,Dafne,Pagu Pictures,37.773,2.172,25,9/19/2019,37.773,2.172
Jesus de Nazaré - O filho de Deus,Jesús de Nazareth - El hijo de Dios,Europa,36.905,2.499,60,4/18/2019,36.905,2.499
Um funeral em família,A Madea family funeral,Paris,36.885,2.091,29,4/4/2019,36.885,2.091
Kanye: Jesus Is King,Kanye: Jesus Is King,Imax,36.535,1.494,7,11/28/2019,36.535,1.494
A fera na selva,"Fera na selva, A",O2 Play,36.525,2.864,2,10/3/2019,36.525,2.864
Rafiki,Rafiki,Ipecine/Olhar Distribuição,36.511,3.135,9,8/8/2019,36.511,3.135
Cyrano de Bergerac,Cyrano de Bergerac,Bonfilm,36.038,2.604,57,6/13/2019,36.038,2.604
A história de um sonho - Todas as casas do timão,"História de um sonho - Todas as casas do timão, A",Elo Company,35.467,4.929,29,6/6/2019,35.467,4.929
Robin Hood - A origem,Robin Hood - Origins,Paris,35.231,2.750,605,11/29/2018,12.434.701,892.650
Yomeddine - Em busca de um lar,Yomeddine,Imovision,34.944,1.913,5,3/7/2019,34.944,1.913
O galã,"Galã, O",H2O Films,34.594,2.193,26,2/7/2019,34.594,2.193
Maya,Maya,Zeta Filmes,34.201,2.307,1,6/20/2019,34.201,2.307
Desafio de um campeão,Il campione,Arteplex Filmes,33.834,1.918,10,10/17/2019,33.834,1.918
Família submersa,A submerged family,Esfera,33.800,1.976,13,4/4/2019,33.800,1.976
Ventos da liberdade,Ballon,A2 Filmes,33.615,2.853,20,11/7/2019,33.615,2.853
Euforia,Euforia,Espaço Filmes,33.335,1.920,7,10/17/2019,33.335,1.920
Minha irmã de Paris,Ni une ni deux,Pagu Pictures,33.179,1.802,11,12/26/2019,33.179,1.802
Sobre rodas,Sobre rodas,Klaxon Cultura Audiovisual,30.947,3.217,16,3/14/2019,30.947,3.217
Compra-me um revólver,Cómprame un revolver,Pandora,30.619,1.811,32,5/30/2019,30.619,1.811
O Grinch,The Grinch,Universal,30.459,2.489,964,11/8/2018,22.237.047,1.518.970
Sefarad,Sefarad,Lira Filmes,29.626,1.827,10,11/7/2019,29.626,1.827
Raiva,Raiva,Pandora,29.011,2.091,16,3/7/2019,29.011,2.091
Domingo,Domingo,Art House Movies,28.709,2.282,12,10/3/2019,28.709,2.282
De volta para o futuro,Back to the Future,Park Circus,27.915,2.422,77,relanç.,27.915,2.422
A vida em si,Life itself,Paris,27.566,1.968,209,12/6/2018,1.687.860,84.702
Eu sinto muito,Eu sinto muito,Elo Company,27.376,2.862,25,10/10/2019,27.376,2.862
Pastor Cláudio,Pastor Cláudio,Art House Movies,27.116,1.972,5,3/14/2019,27.116,1.972
"O fim da viagem, o começo de tudo",Tabi no owari sekai no hajimari,Zeta Filmes,27.068,1.679,5,9/12/2019,27.068,1.679
Meu amigo Fela,Meu amigo Fela,O2 Play,26.684,2.083,18,11/7/2019,26.684,2.083
Pavarotti,Pavarotti,Cinecolor,25.685,1.418,10,10/17/2019,25.685,1.418
Aparecida - Um Musical,Aparecida - Um Musical,Distribuição Própria,25.018,1.525,93,10/12/2019,25.018,1.525
Em chamas,Beoning,Pandora,24.895,2.060,8,11/15/2018,155.179,9.754
A cidade dos piratas,"Cidade dos piratas, A",Lança Filmes,24.791,1.612,16,10/31/2019,24.791,1.612
Uma noite de 12 anos,La noche de 12 años,Vitrine Filmes,24.741,1.462,12,9/27/2018,1.190.164,67.677
Madonna + The Breakfast Club,Madonna + The Breakfast Club,Cinemark,24.736,1.183,42,8/16/2019,24.736,1.183
Mormaço,Mormaço,Vitrine Filmes,24.625,1.807,10,5/9/2019,24.625,1.807
Peterloo,Peterloo,Diamond Films,24.227,1.196,5,9/12/2019,24.227,1.196
Márcia Haydée - Uma vida pela dança,Márcia Haydée - Uma vida pela dança,Anagrama Filmes,24.189,1.376,17,4/18/2019,24.189,1.376
Santos de todos os gols,Santos de todos os gols,Elo Company/Europa,23.865,3.547,21,4/18/2019,23.865,3.547
La cama,La cama,Livres Filmes,23.702,1.379,8,4/25/2019,23.702,1.379
Tá rindo de quê?,Tá rindo de quê?,Bretz Filmes,23.654,1.448,13,2/28/2019,23.654,1.448
Azougue Nazaré,Azougue Nazaré,Inquieta,23.620,2.772,13,11/14/2019,23.620,2.772
Chá com as damas,ing like a dame,Supo Mungam Films,23.036,1.705,27,12/13/2018,171.617,11.163
Amazônia groove,Amazônia groove,Pagu Pictures,22.779,1.374,9,6/6/2019,22.779,1.374
Cadáver,The possession of Hannah Grace,Sony,22.676,2.286,483,11/29/2018,5.937.525,440.043
Deus é mulher e seu nome é Petúnia,"Gospod postoi, imeto i' e Petrunija",Pandora,22.334,1.353,10,12/26/2019,22.334,1.353
O beijo no asfalto,"Beijo no asfalto, O",Art House Movies,22.167,1.634,23,12/6/2018,123.715,8.209
Chuva é cantoria na aldeia dos mortos,Chuva é cantoria na aldeia dos mortos,Embaúba Filmes,21.224,1.755,17,4/18/2019,21.224,1.755
As loucuras de Rose,Wild rose,Diamond Films,20.720,1.307,5,10/3/2019,20.720,1.307
Longa jornada noite adentro,Di qiu zui hou de ye wan,Zeta Filmes,20.585,1.330,10,5/9/2019,20.585,1.330
Milagre,Milagre,IvinFilms,20.179,1.085,12,4/4/2019,20.179,1.085
Branca como a neve,Blanche comme neige,A2 Filmes,19.896,1.462,13,9/19/2019,19.896,1.462
Mussum - O filme do Cacildis,Mussum - O filme do Cacildis,Elo Company,19.816,1.999,24,4/4/2019,19.816,1.999
Barrabás,Barabbas,A2 Filmes,19.702,1.400,20,12/12/2019,19.702,1.400
Organismo,Organismo,Inquieta,19.647,1.674,9,4/25/2019,19.647,1.674
Beatriz,Beatriz,Anagrama Filmes,19.193,1.200,11,6/6/2019,19.193,1.200
O homem ideal?,M?esperarás?,Fênix Filmes,19.007,1.225,13,10/3/2019,19.007,1.225
A resistência de Inga,Héraðið,Imovision,18.938,1.140,6,11/28/2019,18.938,1.140
Tunga - O esquecimento das paixões,Tunga - O esquecimento das paixões,CUP Filmes,18.771,1.707,7,5/9/2019,18.771,1.707
Asako I & II,Netemo sametemo,Zeta Filmes,18.736,1.440,8,12/20/2018,44.111,2.954
Espírito jovem,Teen spirit,Diamond Films,18.392,1.238,27,6/20/2019,18.392,1.238
Ayka,Ayka,Zeta Filmes,18.252,1.431,3,4/11/2019,18.252,1.431
O olho e a faca,"Olho e a faca, O",California,18.106,1.155,14,6/27/2019,18.106,1.155
Frans Krajcberg: Manifesto,Frans Krajcberg: Manifesto,Distribuição Própria,17.707,1.715,8,10/10/2019,17.707,1.715
Jorginho Guinle - $ó se vive uma vez,Jorginho Guinle - $ó se vive uma vez,Pandora,17.407,961,4,3/21/2019,17.407,961
O filho do homem,"Filho do homem, O",Elo Company,17.198,1.646,25,8/29/2019,17.198,1.646
Alaska,Alaska,Elo Company,16.910,2.199,22,3/21/2019,16.910,2.199
O enigma da rosa,Bajo la rosa,Elite Filmes/A2 Filmes,16.738,1.134,8,10/17/2019,16.738,1.134
O amigo do rei,"Amigo do rei, O",O2 Play,16.703,1.341,14,8/8/2019,16.703,1.341
O clube dos canibais,"Clube dos canibais, O",Olhar Distribuição,16.567,1.786,16,10/3/2019,16.567,1.786
Animais fantásticos - Os crimes de Grindelwald,Fantastic beasts - The crimes of Grindelwald,Warner,16.543,1.105,1.541,11/15/2018,59.185.405,3.558.119
Gorillaz: Reject False Icons,Gorillaz: Reject False Icons,Distribuição Própria,16.439,727,15,12/12/2019,16.439,727
Amor assombrado,Amor assombrado,Film Connection,16.067,1.142,35,10/10/2019,16.067,1.142
Pulp Fiction - tempo de violência, Pulp Fiction,Park Circus,15.652,2.172,14,relanç.,15.652,2.172
"Rogéria, senhor Astolfo Barroso Pinto","Rogéria, senhor Astolfo Barroso Pinto",Pagu Pictures,15.550,981,12,10/31/2019,15.550,981
Yara,Yara,Zeta Filmes,15.436,1.079,4,1/10/2019,15.436,1.079
De peito aberto,De peito aberto,Pagu Pictures,15.307,869,18,10/3/2019,15.307,869
Inezita,Inezita,Distribuição Própria,14.916,859,5,3/28/2019,14.916,859
Tsé,Tsé,Pagu Pictures,14.908,831,9,9/12/2019,14.908,831
Diários de classe,Diários de classe,Elo Company,14.503,1.745,23,3/7/2019,14.503,1.745
Eu sou brasileiro,Eu sou brasileiro,Elo Company,14.238,1.502,30,8/15/2019,14.238,1.502
O corpo é nosso,"Corpo é nosso, O",O2 Play,14.135,1.226,18,9/5/2019,14.135,1.226
Meu nome é Daniel,Meu nome é Daniel,Olhar Distribuição,14.132,1.581,16,10/17/2019,14.132,1.581
Diamantino,Diamantino,Vitrine Filmes,13.987,1.038,16,12/20/2018,41.466,2.684
Horácio,Horácio,O2 Play,13.858,821,13,4/11/2019,13.858,821
Inferninho,Inferninho,Embaúba Filmes,13.361,1.063,10,5/23/2019,13.361,1.063
A quarta parede,"Quarta parede, A",Elo Company,13.336,1.551,24,5/9/2019,13.336,1.551
Uma noite não é nada,"Noite não é nada, Uma",Imovision,13.290,888,12,8/22/2019,13.290,888
Uma viagem inesperada,Viaje inesperado,Boulevard Filmes,12.722,926,13,3/28/2019,12.722,926
Luna,Luna,Cineart Filmes,12.608,1.050,14,10/10/2019,12.608,1.050
B.O.,B.O.,Raccord Produções,12.505,814,6,5/9/2019,12.505,814
O incerto lugar do desejo,"Incerto lugar do desejo, O",Elo Company,12.013,675,1,9/26/2019,12.013,675
Homem livre,Homem livre,Olhar Distribuição,10.940,1.163,8,2/21/2019,10.940,1.163
Dois papas,The two popes,O2 Play,10.604,657,2,12/5/2019,10.604,657
Tinta bruta,Tinta bruta,Vitrine Filmes,10.350,1.144,31,12/6/2018,46.171,5.691
Ainda temos a imensidão da noite,Ainda temos a imensidão da noite,Pandora,10.159,697,12,12/5/2019,10.159,697
Fourteen,Fourteen,Zeta Filmes,10.073,607,5,8/15/2019,10.073,607
Diz a ela que me viu chorar,Diz a ela que me viu chorar,Vitrine Filmes,10.073,1.266,11,11/14/2019,10.073,1.266
O Grande Circo Místico,"Grande Circo Místico, O",H2O Films,9.942,701,106,11/15/2018,885.757,52.227
Relatos do front - Fragmentos de uma tragédia brasileira,Relatos do front - Fragmentos de uma tragédia brasileira,Art House Movies,9.911,917,7,6/20/2019,9.911,917
A princesa de Elymia,"Princesa de Elymia, A",Panda Filmes,9.794,790,19,10/10/2019,9.794,790
De repente uma familia,Instant family,Paramount,9.654,513,429,11/29/2018,4.692.358,330.564
Abaixo a gravidade,Abaixo a gravidade,Fênix Filmes,9.475,633,11,8/1/2019,9.475,633
Dias vazios,Dias vazios,Olhar Distribuição,9.348,539,16,5/30/2019,9.348,539
As ineses,Las Ineses,Okna Produções,9.293,637,6,2/14/2019,9.293,637
Eleições,Eleições,Olhar Distribuição,9.277,1.288,6,3/14/2019,9.277,1.288
Soundgarden: Live from the Artists Den,Soundgarden: Live from the Artists Den,Imax,8.834,307,37,7/1/2019,8.834,307
Lembro mais dos corvos,Lembro mais dos corvos,Vitrine Filmes,8.703,1.161,13,2/21/2019,8.703,1.161
45 dias sem você,45 dias sem você,O2 Play,8.592,835,3,5/16/2019,8.592,835
Wajib - Um convite de casamento,Wajib,Distribuição Própria,8.507,473,1,1/24/2019,8.507,473
Depois do fim,Depois do fim,Lança Filmes,8.393,749,2,6/20/2019,8.393,749
Foro íntimo,Foro íntimo,Embaúba Filmes,8.280,660,6,9/26/2019,8.280,660
A noite amarela,"Noite amarela, A",Vitrine Filmes,8.250,1.032,13,10/10/2019,8.250,1.032
Os jovens Baumann,"Jovens Baumann, Os",Vitrine Filmes,8.104,1.155,15,9/19/2019,8.104,1.155
Histórias estranhas,Histórias estranhas,Elo Company,8.072,791,24,5/23/2019,8.072,791
The cleaners,The cleaners,Distribuição Própria,7.749,420,2,3/28/2019,7.749,420
Indiana Jones e Os Caçadores da Arca Perdida,Indiana Jones and the Raiders of the Lost Ark,Park Circus,7.389,1.184,56,relanç.,7.389,1.184
Antártica por um ano,Antártica por um ano,EH Filmes,7.317,423,7,5/16/2019,7.317,423
Bio - Construindo uma vida,Bio - Construindo uma vida,Bretz Filmes,7.295,390,10,4/4/2019,7.295,390
Meu amor por Grace,Running for Grace,Elite Filmes/A2 Filmes,7.219,439,6,9/26/2019,7.219,439
Entrevista com Deus,An interview with God,Imagem,7.155,617,249,11/15/2018,2.826.990,193.924
A turma do Pererê.doc,"Turma do Pererê.doc, A",O2 Play,6.890,762,13,10/3/2019,6.890,762
Rasga coração,Rasga coração,Sony,6.707,400,32,12/6/2018,137.084,8.301
Leste Oeste,Leste Oeste,Kinopus,6.588,499,10,8/8/2019,6.588,499
Alex câmera 10,Alex câmera 10,Moro Filmes,6.552,482,12,10/24/2019,6.552,482
O homem que cuida,El hombre que cuida,Esfera,6.505,422,10,10/3/2019,6.505,422
Espero tua (re)volta,Espero tua (re)volta,Taturana Mobilização Social,6.441,581,2,8/15/2019,6.441,581
A música do tempo - Do sonho do império ao império do sonho,"Música do tempo - Do sonho do império ao império do sonho, A",Distribuição Própria,6.416,453,6,9/12/2019,6.416,453
Uruguai na vanguarda,Uruguai na vanguarda,Distribuição Própria,6.364,466,2,9/19/2019,6.364,466
Primeiro ano,Première année,A2 Filmes,6.328,529,6,4/11/2019,6.328,529
Shade - Entre bruxas e heróis,Zlogonje,Cineart Filmes,6.296,454,10,1/24/2019,6.296,454
Encantado,Charming,Imagem,6.239,791,602,12/6/2018,3.220.784,243.965
Palace II - 3 quartos com vista para o mar,Palace II - 3 quartos com vista para o mar,Pagu Pictures,5.714,290,3,7/18/2019,5.714,290
O verde está do outro lado - Os donos da água,"Verde está do outro lado, O",Lira Filmes,5.638,364,9,8/22/2019,5.638,364
Ultraje,Ultraje,Elo Company,5.632,620,26,1/31/2019,5.632,620
Vergel,Vergel,Art House Movies,5.489,383,5,2/7/2019,5.489,383
As cores da serpente,"Cores da serpente, As",Salvador Filmes,5.480,303,4,3/21/2019,5.480,303
Um segredo em Paris,Drôles d'oiseaux,Pagu Pictures,5.359,503,25,11/15/2018,329.390,20.260
Meu mundial - Para vencer não basta jogar,Meu mundial - Para vencer não basta jogar,Bretz Filmes,5.199,331,12,9/19/2019,5.199,331
Aconteceu na quarta-feira,Aconteceu na quarta-feira,Distribuição Própria,5.187,437,1,4/11/2019,5.187,437
A serpente,"Serpente, A",Distribuição Própria,5.185,344,2,7/25/2019,5.185,344
Onde quer que você esteja,Onde quer que você esteja,Boulevard Filmes,5.160,361,9,10/3/2019,5.160,361
Western stars,Western stars,Warner,5.157,332,25,12/5/2019,5.157,332
Zoravia,Zoravia,Distribuição Própria,5.140,334,1,3/28/2019,5.140,334
Aspirantes,Aspirantes,Ciclorama Filmes,4.956,338,11,11/28/2019,4.956,338
Intruso,Intruso,Pipa Produções,4.902,377,10,10/31/2019,4.902,377
A pedra da serpente,"Pedra da serpente, A",Elo Company,4.822,551,26,2/14/2019,4.822,551
Rindo à toa,Rindo à toa,Bretz Filmes,4.786,291,10,5/30/2019,4.786,291
Um elefante sentado quieto,Da xiang xi di er zuo,Zeta Filmes,4.494,228,2,2/28/2019,4.494,228
As viúvas,Widows,Fox,4.376,271,253,11/29/2018,2.684.076,151.060
Borrasca,Borrasca,Fênix Filmes,4.358,767,8,5/2/2019,4.358,767
Amor em jogo,Kicking out Shoshana,Elite Filmes/A2 Filmes,4.275,257,3,10/31/2019,4.275,257
Marés,Marés,Elo Company,4.272,593,22,9/12/2019,4.272,593
Neville D'Almeida - Cronista da beleza e do caos,Neville D'Almeida - Cronista da beleza e do caos,Fênix Filmes,4.193,303,7,7/4/2019,4.193,303
A parte do mundo que me pertence,"Parte do mundo que me pertence, A",Olhar Distribuição,4.184,286,3,5/9/2019,4.184,286
"Carlota Joaquina, Princesa do Brasil","Carlota Joaquina, Princesa do Brasil",Park Circus,4.084,1.021,52,relanç.,4.084,1.021
Os caipiras em busca de um sonho,"Caipiras em busca de um sonho, Os",Distribuição Própria,3.970,250,1,11/21/2019,3.970,250
Zaatari - Memórias do labirinto,Zaatari - Memories of the labyrinth,Independente,3.894,206,2,5/30/2019,3.894,206
O Quebra-Nozes e os quatro reinos,The Nutcracker and the four realms,Disney,3.795,419,835,11/1/2018,13.107.275,857.718
Ambiente familiar,Ambiente familiar,Elo Company,3.676,385,24,9/26/2019,3.676,385
O último trago,"Último trago, O",Lume,3.613,296,5,3/7/2019,3.613,296
Museu,Museo,Supo Mungam Films,3.140,306,27,11/8/2018,195.594,12.494
Fernando,Fernando,Olhar Distribuição,3.040,182,4,11/28/2019,3.040,182
O quebra-cabeça,Puzzle,Sony,2.978,191,13,11/15/2018,154.717,9.053
Dê lembranças a todos - Dorival Caymmi,Dê lembranças a todos - Dorival Caymmi,Maff Distribuidora,2.875,307,1,11/22/2018,4.719,456
Um homem comum,An ordinary man,Mares Filmes/A2 Filmes,2.863,277,28,11/29/2018,60.237,4.929
A rosa azul de novalis,"Rosa azul de novalis, A",Vitrine Filmes,2.773,457,8,12/19/2019,2.773,457
Po,A boy called Po,Cineart Filmes,2.665,258,8,11/22/2018,13.797,1.134
A prece,La prière,Imovision,2.594,231,4,11/8/2018,54.593,3.421
Espírito de contradição,Espírito de contradição,Distribuição Própria,2.591,257,1,10/31/2019,2.591,257
O primeiro homem,First man,Universal,2.584,277,468,10/18/2018,5.759.525,302.716
A garota na névoa,La ragazza nella nebbia,Mares Filmes/A2 Filmes,2.425,268,5,11/8/2018,40.205,3.374
Os príncipes,"Príncipes, Os",Distribuição Própria,2.320,133,1,10/24/2019,2.320,133
Tudo por um popstar,Tudo por um popstar,DTF/Paris,2.275,209,577,10/11/2018,15.802.043,1.191.721
Cinderela e o príncipe secreto,Cinderella 3D,Imagem,2.262,122,323,10/11/2018,1.200.798,87.210
Novas espécies,Novas espécies,Elo Company,2.048,106,2,11/28/2019,2.048,106
Um dia para Susana,"Dia para Susana, Um",Vitrine Filmes,1.999,124,3,10/3/2019,1.999,124
Carta registrada,Certified mail,A2 Filmes,1.943,135,6,12/19/2019,1.943,135
Cine São Paulo,Cine São Paulo,Taturana Mobilização Social,1.826,127,2,11/7/2019,1.826,127
2 outonos e 3 Invernos,2 automnes 3 hivers,Fênix Filmes,1.788,149,3,12/6/2018,9.309,820
Minha filha,Figlia mia,Imovision,1.712,159,18,10/11/2018,105.100,6.213
A cabeça de Gumercindo Saraiva,"Cabeça de Gumercindo Saraiva, A",Elo Company,1.676,178,22,10/25/2018,46.811,4.374
A voz do silêncio,"Voz do silêncio, A",Imovision,1.588,215,20,11/22/2018,43.491,2.911
Teatros no Brasil,Teatros no Brasil,Distribuição Própria,1.524,90,6,8/22/2019,1.524,90
Blitz,Blitz,Pandora,1.461,138,1,6/27/2019,1.461,138
Amigos alienígenas,Luis and the aliens,Playarte,1.453,143,185,10/25/2018,752.742,52.187
Vida em movimento,Vida em movimento,Distribuição Própria,1.398,71,1,3/28/2019,1.398,71
Elegia de um crime,Elegia de um crime,Vitrine Filmes,1.392,132,0,3/14/2019,1.392,132
Jessica forever,Jessica forever,Zeta Filmes,1.362,95,3,10/10/2019,1.362,95
Utøya - 22 de julho,U - July 22,California,1.343,129,5,11/29/2018,26.107,1.844
A casa que Jack construiu,The house that Jack built,California,1.308,206,36,11/1/2018,386.264,22.831
Verão,Leto,Imovision,1.296,108,13,11/15/2018,24.745,1.426
O chalé é uma ilha batida de vento e chuva,"Chalé é uma ilha batida de vento e chuva, O",Bretz Filmes,1.275,77,1,4/4/2019,1.275,77
Mama colonel,Maman Colonelle,Vilacine,1.240,88,5,11/7/2019,1.240,88
Fogo contra fogo,Kalushi - The story of Solomon Mahlangu,Elite Filmes/A2 Filmes,1.225,120,6,11/21/2019,1.225,120
O ódio que você semeia,The hate u give,Fox,1.194,123,17,12/6/2018,83.312,4.597
Filme paisagem - Um olhar sobre Roberto Burle Marx,Filme paisagem - Um olhar sobre Roberto Burle Marx,Elo Company,1.096,73,5,11/15/2018,19.044,1.287
Caminhos magnétykos,Caminhos magnétykos,Esfera,1.082,74,3,9/26/2019,1.082,74
Estação do diabo,Ang panahon ng halimaw,Zeta Filmes,1.076,89,1,1/31/2019,1.076,89
António um dois três,António um dois três,Olhar Distribuição,991,92,1,3/28/2019,991,92
Slam - Voz de levante,Slam - Voz de levante,Pagu Pictures,975,100,10,11/22/2018,13.540,828
Ama-san,Ama-san,Terratreme,965,60,1,1/10/2019,965,60
O irlandês,The Irishman,O2 Play,951,48,1,11/14/2019,951,48
A mata negra,"Mata negra, A",Distribuição Própria,914,119,23,12/6/2018,9.501,992
