,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2019 (R$), Público 2019,Salas Abertura,Estreia, renda (R$),público
Godzilla II - Rei dos monstros,Godzilla - King of the monsters,Warner,8.472.826,538.491,1.092,5/30/2019,8.472.826,538.491
Cemitério maldito,Pet sematary,Paramount,8.375.777,553.704,557,5/9/2019,8.375.777,553.704
Nós,Us,Universal,8.371.442,516.151,381,3/21/2019,8.371.442,516.151
Entre facas e segredos,Knives out,Paris,8.329.314,469.967,460,12/12/2019,8.329.314,469.967
Escape room,Escape room,Sony,7.958.722,532.678,572,2/7/2019,7.958.722,532.678
Uma segunda chance para amar,Last christmas,Universal,7.721.279,514.268,541,11/28/2019,7.721.279,514.268
Invasão ao serviço secreto,Angel has fallen,Imagem / California,7.583.581,483.303,484,11/14/2019,7.583.581,483.303
Sai de baixo - O filme,Sai de baixo - O filme,Imagem,7.127.547,470.249,719,2/21/2019,7.127.547,470.249
Patrulha canina - Super filhotes,Paw patrol - Mighty pups,Paris,7.096.549,482.150,510,6/6/2019,7.096.549,482.150
As panteras,Charlie's angels,Sony,6.990.096,470.205,691,11/14/2019,6.990.096,470.205
Ad astra - Rumo às estrelas,Ad astra,Disney,6.839.419,363.026,632,9/26/2019,6.839.419,363.026
Divaldo - O mensageiro da paz,Divaldo - O mensageiro da paz,Disney,6.807.617,435.297,375,9/12/2019,6.807.617,435.297
Cinderela pop,Cinderela pop,Galeria Distribuidora,6.735.999,467.526,536,2/28/2019,6.735.999,467.526
Uma aventura Lego 2,The Lego movie 2,Warner,6.344.360,406.035,900,2/7/2019,6.344.360,406.035
Ford vs Ferrari,Ford v. Ferrari,Disney,5.866.478,289.282,388,11/14/2019,5.866.478,289.282
Detetives do Prédio Azul 2 - O mistério italiano,Detetives do Prédio Azul 2 - O mistério italiano,DTF/Paris,5.675.533,440.939,1.054,12/20/2018,17.952.583,1.320.655
A maldição da chorona,The curse of La Llorona,Warner,5.606.376,362.637,576,4/18/2019,5.606.376,362.637
Máquinas mortais,Mortal engines,Universal,5.256.817,333.997,465,1/10/2019,5.256.817,333.997
Brinquedo assassino,Child's play,Imagem,5.007.959,345.138,810,8/22/2019,5.007.959,345.138
A favorita,The favourite,Fox,4.990.556,256.162,81,1/24/2019,4.990.556,256.162
Doutor sono,Doctor sleep,Warner,4.891.749,303.496,750,11/7/2019,4.891.749,303.496
Vice,Vice,Imagem,4.731.152,218.355,156,1/31/2019,4.731.152,218.355
Dor e glória,Dolor y gloria,Universal,4.190.210,223.970,58,6/13/2019,4.190.210,223.970
Zumbilândia - Atire duas vezes,Zombieland 2 - Double tap,Sony,4.174.809,288.575,565,10/24/2019,4.174.809,288.575
Brincando com fogo,Playing with fire,Paramount,4.080.938,310.688,423,12/12/2019,4.080.938,310.688
A mula,The mule,Warner,3.973.726,180.836,99,2/14/2019,3.973.726,180.836
After,After,Diamond Films,3.887.358,265.755,592,4/11/2019,3.887.358,265.755
Crime sem saída,21 bridges,Galeria Distribuidora,3.788.170,263.240,504,12/12/2019,3.788.170,263.240
Bohemian Rhapsody,Bohemian Rhapsody,Fox,3.547.437,176.717,719,11/1/2018,55.467.575,3.094.503
"Ela disse, ele disse","Ela disse, ele disse",Imagem,3.456.550,245.137,486,10/3/2019,3.456.550,245.137
Predadores assassinos,Crawl,Paramount,3.410.382,230.927,563,9/26/2019,3.410.382,230.927
As golpistas ,Hustlers,Diamond Films,3.348.887,218.786,456,12/5/2019,3.348.887,218.786
Corgi - Top dog,The queen's Corgi,Imagem,3.319.845,227.293,512,9/5/2019,3.319.845,227.293
A sereia - Lago dos mortos,The mermaid - Lake of the dead,Paris,3.306.350,234.645,313,1/31/2019,3.306.350,234.645
O menino que queria ser rei,The kid who would be king,Fox,3.256.721,232.895,507,1/31/2019,3.256.721,232.895
Playmobil - O filme,Playmobil,Paris,3.148.214,211.016,477,12/19/2019,3.148.214,211.016
Vingança a sangue frio,Cold pursuit,Paris,3.100.331,194.476,325,3/14/2019,3.100.331,194.476
Parasita,Parasita,Alpha Filmes/ Pandora,3.055.958,161.798,63,11/7/2019,3.055.958,161.798
Meu amigo Enzo,The art of racing in the rain,Disney,3.053.260,200.378,474,8/8/2019,3.053.260,200.378
A esposa,The wife,Alpha Filmes/ Pandora,2.959.430,159.340,60,1/10/2019,2.959.430,159.340
Um dia de chuva em Nova York,A rainy day in New York,Imagem,2.948.683,137.758,117,11/21/2019,2.948.683,137.758
