,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2017 (R$), Público 2017,Salas Abertura,Estreia, renda (R$),público
Mulheres do século 20,20th Century Women,Sony,  218.419 ,  13.054 ,14,30/3/17,218.419,13.054
Your name,Kimi no na wa,Independente,  212.056 ,  14.307 ,35,11/10/17,212.056,14.307
Detroit em rebelião,Dettroit,Imagem,  211.764 ,  11.271 ,44,12/10/17,211.764,11.271
Poesia sem fim,Poesía Sin Fin,Espaço Filmes,  210.127 ,  12.576 ,6,6/7/17,210.127,12.576
No intenso agora,No intenso agora,Videofilmes,  207.543 ,  14.088 ,11,9/11/17,207.543,14.088
Bye bye Alemanha,Es war einmal in Deutschland,Mares Filmes,  199.419 ,  13.957 ,22,24/8/17,199.419,13.957
Doentes de amor,The big sick,California,  195.426 ,  11.185 ,39,19/10/17,195.426,11.185
O que está por vir,L'avenir,Zeta Filmes,  195.305 ,  14.363 ,15,22/12/16,314.768,22.605
Divinas Divas,Divinas Divas,Vitrine,  191.752 ,  25.651 ,19,22/6/17,191.752,25.651
Tour de France ,Tour de France,Bonfilm,  191.294 ,  14.654 ,7,13/7/17,191.294,14.654
Corpo elétrico,Corpo elétrico,Vitrine,  191.072 ,  13.430 ,19,17/8/17,191.072,13.430
Além da ilusão,Planetarium ,Mares Filmes,  183.433 ,  11.429 ,30,27/4/17,183.433,11.429
Assim é a vida,C'est la vie,Paris,  179.200 ,  10.738 ,30,21/12/17,179.200,10.738
"Amor, Paris, cinema",Arnaud fait son deuxième film,Fênix Filmes,  174.710 ,  12.211 ,22,28/9/17,174.710,12.211
"Stefan Zweig - Adeus, Europa",Vor der Morgenröte,Esfera,  169.818 ,  10.676 ,8,13/4/17,169.818,10.676
Gaga - O amor pela dança,Mr. Gaga,Vitrine,  169.743 ,  9.805 ,11,6/4/17,169.743,9.805
A viagem de Fanny,Le voyage de Fanny ,Mares Filmes,  167.363 ,  13.149 ,16,10/8/17,167.363,13.149
Masha e o urso,Masha e o urso,Paris,  165.335 ,  17.495 ,503,8/12/16,,
Personal Shopper,Personal Shopper,Imovision,  164.634 ,  12.085 ,25,9/3/17,164.634,12.085
Um homem chamado Ove,En Man Som Heter Ove,California,  161.015 ,  11.907 ,12,16/2/17,161.015,11.907
Fátima,Fátima,Imovision,  155.506 ,  10.366 ,8,16/3/17,155.506,10.366
Una,Una,Mares Filmes,  154.915 ,  10.317 ,21,13/4/17,154.915,10.317
A espera,L'attesa,Imovision,  152.744 ,  11.055 ,9,2/2/17,152.744,11.055
A garota desconhecida,La fille inconnue,California,  152.539 ,  9.681 ,5,23/2/17,152.539,9.681
A vida de uma mulher,Une vie,Mares Filmes,  144.206 ,  11.613 ,15,13/7/17,144.206,11.613
Afterimage,Powidoki,Imovision,  141.722 ,  8.569 ,15,17/8/17,141.722,8.569
Cães selvagens,Dog eat dog,Imagem,  141.557 ,  8.297 ,25,6/4/17,141.557,8.297
Rock'N Roll - Por trás da fama,Rock'N Roll',Mares Filmes,  135.317 ,  9.649 ,8,5/10/17,135.317,9.649
Borg vs McEnroe,Borg / McEnroe,Supo Mungam Films,  135.170 ,  7.377 ,26,9/11/17,135.170,7.377
Vazante,Vazante,Europa,  134.978 ,  9.084 ,24,9/11/17,134.978,9.084
Em busca de vingança,Aftermath,H2O Films,  132.885 ,  8.742 ,23,2/11/17,132.885,8.742
Uma razão para recomeçar,New life,Cineart Filmes,  131.954 ,  10.148 ,55,19/10/17,131.954,10.148
Argentina,Zonda - folclore argentino,Imovision,  131.695 ,  8.824 ,6,6/4/17,131.695,8.824
Histórias de amor que não pertencem a este mundo,Amori che non sanno stare al mondo,Mares Filmes,  131.403 ,  9.011 ,25,16/11/17,131.403,9.011
Redemoinho,Redemoinho,Vitrine,  120.753 ,  9.161 ,23,9/2/17,120.753,9.161
Lola Pater,Lola Pater,Imovision,  112.965 ,  7.716 ,16,23/11/17,112.965,7.716
Columbus,Columbus,Supo Mungam Films,  112.843 ,  6.933 ,18,14/9/17,112.843,6.933
Fala comigo,Fala comigo,Vitrine,  110.127 ,  7.491 ,19,13/7/17,110.127,7.491
Vermelho russo,Vermelho russo,Vitrine,  110.051 ,  6.946 ,19,27/4/17,110.051,6.946
Saint amour - na rota do vinho,Saint amour,Imovision,  109.139 ,  7.721 ,3,3/8/17,109.139,7.721
Todas as manhãs do mundo,Todas as manhãs do mundo,Fox,  106.152 ,  11.024 ,5,6/4/17,106.152,11.024
Não devore meu coração,Não devore meu coração,Fênix Filmes,  105.872 ,  7.477 ,78,23/11/17,105.872,7.477
Marvel's Inhumans ,Marvel's Inhumans ,Distribuição Própria,  102.401 ,  5.005 ,0,24/8/17,102.401,5.005
Corpo e alma,A teströl és lélekröl,Imovision,  101.228 ,  6.159 ,15,21/12/17,101.228,6.159
A garota do armário,Maman a tort,Imovision,  98.722 ,  6.469 ,3,21/9/17,98.722,6.469
A última ressaca do ano,Office christmas party,Paramount,  95.578 ,  9.057 ,293,8/12/16,5.773.809,453.158
Faces de uma mulher,Orpheline,Mares Filmes,  95.381 ,  6.842 ,24,25/5/17,95.381,6.842
Por que vivemos,Naze ikiru - Rennyo shonin to yoshizaki enjo,Espaço Filmes,  94.896 ,  7.184 ,14,23/11/17,94.896,7.184
Imprevistos de uma noite em Paris,Ouvert la nuit,Imovision,  94.256 ,  7.133 ,9,23/3/17,94.256,7.133
Inseparáveis,Inseparables,Paris,  90.929 ,  5.132 ,32,1/6/17,90.929,5.132
Belos sonhos,Fai bei sogni,Mares Filmes,  90.795 ,  7.286 ,22,22/12/16,164.059,12.687
Lucky,Lucky,Imovision,  90.169 ,  5.857 ,9,7/12/17,90.169,5.857
Sono Mortal,[Dead awake,Europa,  86.416 ,  8.376 ,50,28/9/17,86.416,8.376
Altas expectativas,Altas expectativas,Vitrine,  86.117 ,  6.039 ,82,7/12/17,86.117,6.039
"Papa Francisco, conquistando corações","Francisco, el padre Jorge",Mares Filmes/Alpha Filmes,  84.790 ,  6.936 ,77,9/3/17,84.790,6.936
A Glória e a Graça,"Glória e a Graça, A",H2O Films,  83.844 ,  5.457 ,27,30/3/17,83.844,5.457
A jovem rainha,The Girl King,Mares Filmes,  83.256 ,  7.470 ,7,23/2/17,83.256,7.470
Esta é sua morte - o show,This is your death,Cineart Filmes,  82.406 ,  6.080 ,49,21/9/17,82.406,6.080
A vilã,The villainess,Paris,  81.361 ,  4.618 ,23,23/11/17,81.361,4.618
Thelma,Thelma,Mares Filmes,  79.065 ,  5.454 ,19,30/11/17,79.065,5.454
Ninguém está olhando,Nadie nos mira,Vitrine,  77.946 ,  5.302 ,6,23/11/17,77.946,5.302
La vingança,La vinganza,DTF/Paris,  77.776 ,  4.779 ,23,16/3/17,77.776,4.779
Más notícias para o Sr. Mars,Des nouvelles de la planète Mars,Imovision,  77.149 ,  5.004 ,8,18/5/17,77.149,5.004
Em busca de Fellini,In Search of Fellini,Cineart Filmes,  76.829 ,  4.998 ,26,7/12/17,76.829,4.998
Eva não dorme,Eva não duerme,Pandora,  76.653 ,  5.860 ,9,3/8/17,76.653,5.860
Mulheres divinas,Die göttliche ordnung,Mares Filmes,  76.492 ,  5.189 ,15,14/12/17,76.492,5.189
Verão 1993,Estiu 1993,Supo Mungam Films,  76.019 ,  5.065 ,14,7/12/17,76.019,5.065
O futuro perfeito,El futuro perfecto,Zeta Filmes,  76.013 ,  5.023 ,9,13/7/17,76.013,5.023
Estados unidos pelo amor,Zjednoczone Stany Mi&#322;osci,Imovision,  75.899 ,  5.716 ,8,29/12/16,91.295,6.663
Pendular,Pendular,Vitrine,  74.647 ,  5.602 ,21,21/9/17,74.647,5.602
Pitanga,Pitanga,Elo Company,  73.903 ,  4.859 ,13,6/4/17,73.903,4.859
Apenas um garoto em Nova York,The only living boy in New York,H2O Films,  73.767 ,  3.761 ,21,7/12/17,73.767,3.761
A filha,The Daughter,Supo Mungam Films,  73.634 ,  4.938 ,17,4/5/17,73.634,4.938
Colossal,Colossal,Paris,  73.473 ,  3.966 ,22,15/6/17,73.473,3.966
Paraíso,pan,Mares Filmes,  73.209 ,  5.587 ,14,26/1/17,73.209,5.587
Dégradé,Dégradé,Imovision,  72.655 ,  4.720 ,6,25/5/17,72.655,4.720
Punhos de sangue,Chuck,California,  72.373 ,  3.427 ,34,25/5/17,72.373,3.427
O filho de Joseph,Le fils de Joseph,Supo Mungam Films,  71.138 ,  4.805 ,9,16/3/17,71.138,4.805
Professor Marston e as Mulheres-Maravilhas,Professor Marston & the Wonder-Women,Sony,  71.128 ,  4.212 ,12,14/12/17,71.128,4.212
As duas Irenes,"Duas Irenes, As",Vitrine,  69.517 ,  9.426 ,22,14/9/17,69.517,9.426
Exodus - De onde vim não existe mais,Exodus - De onde vim não existe mais,O2 Play / Paris Filmes,  69.513 ,  5.525 ,30,28/9/17,69.513,5.525
Clash,Eshtebak,Imovision,  67.770 ,  4.386 ,11,4/5/17,67.770,4.386
Deserto (MEX),Desierto,Esfera,  67.468 ,  4.435 ,0,26/10/17,67.468,4.435
Mulher do pai,Mulher do pai,Vitrine,  67.058 ,  5.364 ,23,22/6/17,67.058,5.364
O fantasma da Sicília,Sicilian ghost story,Pandora/ Alpha,  66.124 ,  4.383 ,6,28/9/17,66.124,4.383
Assim que abro meus olhos,A peine j'ouvre les yeux,Supo Mungam Films,  66.074 ,  5.062 ,5,12/1/17,66.074,5.062
Souvenir,Souvenir,Pandora,  65.564 ,  4.577 ,8,9/3/17,65.564,4.577
O mundo fora do lugar,Die abhandene Welt,Mares Filmes,  65.127 ,  4.924 ,12,30/3/17,65.127,4.924
Hiroshima meu amor,Hiroshima mon amour,Zeta Filmes,  65.001 ,  5.289 ,11,9/3/17,65.001,5.289
Human flow - Não existe lar se não há para onde ir,Human flow,Paris,  64.310 ,  3.895 ,21,16/11/17,64.310,3.895
Invisível,Invisible,Vitrine,  64.138 ,  7.194 ,26,9/11/17,64.138,7.194
Glory,Slava,Pandora,  63.942 ,  5.109 ,9,14/9/17,63.942,5.109
Na vertical,Rester vertical,Zeta Filmes,  63.782 ,  5.469 ,11,22/6/17,63.782,5.469
Sobre viagens e amores,L'estate Addosso,Lança Filmes,  63.526 ,  4.363 ,16,4/5/17,63.526,4.363
Shivá - Uma semana e um dia,Shavua Ve Yom,Imovision,  61.814 ,  3.864 ,7,24/8/17,61.814,3.864
A morte de Luís XIV,Last days of Luis XIV,Zeta Filmes,  59.626 ,  4.343 ,9,26/1/17,59.626,4.343
Travessia,Travessia,O2 Play,  59.069 ,  4.285 ,31,23/3/17,59.069,4.285
Esteros ,Esteros ,Europa,  58.946 ,  3.664 ,9,27/7/17,58.946,3.664
Uma verdade mais inconveniente,An inconvenient sequel: Truth to power,Paramount,  57.957 ,  2.766 ,12,9/11/17,57.957,2.766
O jovem Karl Marx,Le jeune Karl Marx,California,  56.096 ,  2.837 ,8,28/12/17,56.096,2.837
Julho agosto,Juillet Août,Cineart Filmes,  55.069 ,  4.027 ,11,13/7/17,55.069,4.027
A trama,L'atelier,Esfera,  54.757 ,  3.640 ,15,16/11/17,54.757,3.640
A cidade onde envelheço,"Cidade onde envelheço, a",Vitrine,  53.829 ,  6.495 ,13,9/2/17,53.829,6.495
Armas na mesa,Miss Sloane,Paris,  52.848 ,  3.953 ,14,2/2/17,52.848,3.953
Filhos de Bach,Bach in Brazil,Disney,  52.192 ,  3.337 ,26,8/6/17,52.192,3.337
Paro quando quero,Smeto quando voglio,Espaço Filmes,  51.249 ,  3.215 ,5,9/3/17,51.249,3.215
Cromossomo 21,Cromossomo 21,Espaço Filmes,  50.778 ,  3.679 ,12,30/11/17,50.778,3.679
Lumière - A aventura começa,Lumière - L aventure commence,Imovision,  50.614 ,  3.540 ,9,14/12/17,50.614,3.540
Jack Reacher - Sem retorno,Jack Reacher: Never Go Back,Paramount,  49.376 ,  3.315 ,377,24/11/16,9.514.930,697.992
Variações de Casanova,Casanova Variations,Imovision,  48.819 ,  3.247 ,13,13/4/17,48.819,3.247
O homem que caiu na Terra,The Man Who Fell to Earth,Zeta Filmes,  48.142 ,  3.846 ,12,12/1/17,48.142,3.846
Pelé - O nascimento de uma lenda,Pelé: Birth of a legend,Europa,  46.930 ,  2.689 ,43,26/10/17,46.930,2.689
Melhores amigos,Little men,Alpha Filmes/ Pandora,  44.659 ,  3.092 ,7,4/5/17,44.659,3.092
Cronica da demolição,Cronica da demolição,Distribuição Própria,  44.349 ,  3.163 ,5,11/5/17,44.349,3.163
Encantados,Encantados,Riofilme,  44.208 ,  3.625 ,9,7/12/17,44.208,3.625
David Lynch - a vida de um artista,David Lynch - The Art Life,Fênix Filmes,  43.767 ,  2.825 ,13,31/8/17,43.767,2.825
Cartas da Guerra,Cartas da Guerra,Imovision,  43.036 ,  2.810 ,6,13/7/17,43.036,2.810
Cora Coralina - Todas as vidas,Cora Coralina - Todas as vidas,Fênix Filmes,  43.001 ,  2.890 ,8,14/12/17,43.001,2.890
Doutor Estranho,Doctor Strange,Disney,  42.170 ,  2.932 ,1.292,3/11/16,75.243.405,4.833.634
Os pobres diabos,"Pobres diabos, Os",Lume,  41.753 ,  3.581 ,18,6/7/17,41.753,3.581
Dolores,Dolores,Fênix Filmes,  40.616 ,  2.829 ,14,6/4/17,40.616,2.829
Comeback,Comeback,02 Play,  39.432 ,  3.045 ,26,25/5/17,39.432,3.045
Sepultura Endurance,Sepultura,02 Play,  39.214 ,  2.587 ,13,15/6/17,39.214,2.587
Trolls,Trolls,Fox,  37.270 ,  5.111 ,827,27/10/16,26.014.380,1.889.461
Um filme de cinema,"Filme de cinema, Um",Art House Movies,  36.882 ,  2.988 ,14,24/8/17,36.882,2.988
Mulholland Drive - Cidade dos sonhos,Mulholland Dr.,Zeta Filmes,  36.551 ,  2.997 ,8,2/11/17,36.551,2.997
Nunca me sonharam,Nunca me sonharam,Maria Farinha Filmes,  35.345 ,  3.062 ,2,8/6/17,35.345,3.062
O sonho de Greta,Girl Asleep,Pandora,  34.878 ,  2.401 ,10,20/4/17,34.878,2.401
A tartaruga vermelha,The red turtle,Sony,  34.016 ,  2.840 ,5,16/2/17,34.016,2.840
Barreiras,Barrage,Pandora,  33.547 ,  2.238 ,7,23/11/17,33.547,2.238
O grande dia,Le grand jour,Imovision,  33.277 ,  1.956 ,5,27/4/17,33.277,1.956
As aventuras do pequeno Colombo,"Aventuras do pequeno Colombo, As",DTF/Paris,  33.161 ,  2.406 ,26,6/7/17,33.161,2.406
Snowden - Herói ou traidor,Snowden,Disney,  32.975 ,  1.890 ,88,10/11/16,2.078.017,109.261
Logan noir,Logan noir,Fox,  32.853 ,  1.770 ,25,29/5/17,32.853,1.770
Martirio,Martirio,Vitrine,  32.582 ,  3.901 ,13,13/4/17,32.582,3.901
O acampamento,Killing Ground,Cineart Filmes,  32.192 ,  2.150 ,16,31/8/17,32.192,2.150
As aventuras de Robinson Crusoé,Robinson Crusoe,Imagem,  32.085 ,  3.525 ,287,1/12/16,2.671.444,212.784
O ídolo,Ya Tayr El Tayer,California,  32.082 ,  2.479 ,6,26/1/17,32.082,2.479
Os cowboys,Les cowboys,Bonfilm,  31.762 ,  2.622 ,3,16/3/17,31.762,2.622
Clarisse ou alguma coisa sobre nós dois,Clarisse ou alguma coisa sobre nós dois,Serendip / Art,  31.324 ,  2.776 ,8,2/2/17,31.324,2.776
Minha vida de abobrinha,Ma vie de Courgette,California,  30.770 ,  2.486 ,13,16/2/17,30.770,2.486
Nojoom, Ana Nojoom bent alasherah wamotalagah,Esfera,  30.264 ,  2.254 ,1,26/1/17,30.264,2.254
Algo de novo,Qualcosa di nuovo,Espaço Filmes,  29.994 ,  1.962 ,3,16/11/17,29.994,1.962
Love Film Festival,Love Film Festival,Art House Movies,  29.927 ,  2.143 ,14,27/7/17,29.927,2.143
Blow-up,Blow-up,Zeta Filmes,  29.276 ,  2.091 ,19,8/12/16,104.097,7.695
O reino da beleza,Le règne de la beauté,Fênix Filmes,  28.828 ,  2.187 ,8,3/8/17,28.828,2.187
A família Dionti,"Família Dionti, A",Art House Movies,  28.507 ,  2.486 ,6,13/4/17,28.507,2.486
A última lição,La Dernière Leçon,Esfera,  26.564 ,  2.277 ,8,22/12/16,46.370,3.879
A vida após a vida,Zhi fan ye mao,Zeta Filmes,  25.076 ,  1.817 ,4,25/5/17,25.076,1.817
O novato,Le Nouveau,Bonfilm,  24.860 ,  1.973 ,0,30/6/17,24.860,1.973
Uma dama de óculos escuros com uma arma no carro,La dame dans l'auto avec des lunettes et un fuzil,Mares Filmes/Alpha Filmes,  24.440 ,  1.846 ,6,11/5/17,24.440,1.846
Jesus - A esperança,Jesus - A esperança,Moro Filmes,  22.942 ,  2.129 ,4,14/12/17,22.942,2.129
Sieranevada,Sieranevada,Mares Filmes,  22.646 ,  1.806 ,12,15/12/16,63.802,4.872
"Eu, Olga Hepnarová","Já, Olga Hepnarová",Supo Mungam Films,  22.330 ,  1.906 ,3,16/2/17,22.330,1.906
O dia mais feliz da vida de Olli Mäki,Hymyilevä Mies,Zeta Filmes,  22.048 ,  1.715 ,8,10/8/17,22.048,1.715
A terra vermelha,La tierra roja,Imovision,  21.998 ,  1.485 ,5,29/6/17,21.998,1.485
Relatos selvagens,Relatos salvajes,Warner,  21.206 ,  1.510 ,0,23/10/14,6.966.376,474.797
Gabeira,Gabeira,Gavea Filmes / Pipoca & Filmes,  19.428 ,  1.345 ,12,23/11/17,19.428,1.345
Mistério na costa chanel, Ma Loute,Alpha Filmes,  18.676 ,  1.390 ,0,19/1/17,18.676,1.390
Nas estradas do Nepal,Kalo Pothi,Esfera,  18.526 ,  1.561 ,4,15/12/16,35.775,2.932
Até nunca mais,À jamais,Mares Filmes,  18.446 ,  1.405 ,6,7/9/17,18.446,1.405
O ornitólogo,L'ornithologue,Vitrine,  18.319 ,  2.700 ,10,30/3/17,18.319,2.700
Ande comigo,De standhaftige,Alpha Filmes/ Pandora,  17.368 ,  1.214 ,4,1/6/17,17.368,1.214
A bela da tarde,Belle de jour,Zeta Filmes,  17.361 ,  1.215 ,5,7/12/17,17.361,1.215
Danado de bom,Danado de bom,Inquietude,  17.324 ,  1.396 ,6,29/6/17,17.324,1.396
Marguerite & Julien: Um amor proibido,Marguerite et Julien,Mares Filmes,  17.155 ,  1.358 ,5,9/2/17,17.155,1.358
Antes o tempo não acabava,Antes o tempo não acabava,Livres Filmes,  16.814 ,  1.308 ,10,30/11/17,16.814,1.308
Nascida de novo,Nascida de novo,Distribuição Própria,  16.717 ,  1.358 ,2,17/11/16,36.878,2.799
Cidades fantasmas,Cidades fantasmas,Casa de Cinema de Porto Alegre,  16.347 ,  1.065 ,3,15/6/17,16.347,1.065
Por trás do céu,Por trás do céu,Pandora,  15.667 ,  1.222 ,16,6/4/17,15.667,1.222
Animal político,Animal político,Vitrine,  15.370 ,  2.000 ,7,8/6/17,15.370,2.000
Deserto (BR),Deserto,Fênix Filmes,  15.160 ,  1.053 ,6,14/9/17,15.160,1.053
Na praia à noite sozinha,On the beach at night alone,Zeta Filmes,  14.166 ,  1.497 ,3,5/11/17,14.166,1.497
Aquarius,Aquarius,Vitrine,  14.123 ,  1.058 ,103,1/9/16,5.252.277,359.958
A Ópera de Paris,L'Opéra,Imovision,  13.933 ,  787 ,6,28/12/17,13.933,787
Coragem! - As muitas vidas de Dom Paulo Evaristo Arns,Coragem! - As muitas vidas de Dom Paulo Evaristo Arns,Espaço Itaú de Cinema,  13.930 ,  869 ,9,14/12/17,13.930,869
O crime da Gávea,"Crime da Gávea, O",Elo Company,  13.858 ,  1.024 ,5,9/3/17,13.858,1.024
Apesar da noite,Malgré la nuit,Zeta Filmes,  13.056 ,  926 ,5,13/4/17,13.056,926
Jonas e o circo sem lona,Jonas e o circo sem lona,Vitrine,  12.684 ,  1.816 ,10,16/3/17,12.684,1.816
BR 716,BR 716,Pipoca & Filmes / Forte Filmes,  12.492 ,  849 ,10,17/11/16,140.809,9.824
Bruxarias,Brujerias,Galeria Distribuidora,  12.477 ,  1.373 ,13,22/6/17,12.477,1.373
Quem é Primavera das Neves,Quem é Primavera das Neves,Distribuição Própria,  12.362 ,  930 ,3,15/6/17,12.362,930
Elon não acredita na morte,Elon não acredita na morte,Vitrine,  12.299 ,  1.666 ,13,27/4/17,12.299,1.666
A filosofia na alcova,"Filosofia na alcova, A",Satyros Cinema,  11.985 ,  805 ,1,23/11/17,11.985,805
"Lygia, uma escritora brasileira","Lygia, uma escritora brasileira",TvZero,  11.825 ,  782 ,7,23/11/17,11.825,782
Foucault Contra Si Mesmo,Foucault Contre Lui-même,Vilacine,  11.033 ,  1.074 ,3,27/7/17,11.033,1.074
É apenas o fim do mundo,Juste la fin du monde,California,  10.718 ,  1.082 ,10,24/11/16,122.921,9.081
Beduino,Beduino,Distribuição Própria,  10.605 ,  638 ,3,4/5/17,10.605,638
A luta de Steve,Gleason,Elite Filmes,  10.376 ,  785 ,5,13/7/17,10.376,785
Jovem mulher,Jeune femme,Zeta Filmes,  9.477 ,  653 ,3,21/12/17,9.477,653
Meu corpo é político,Meu corpo é político,Olhar Distribuição,  9.010 ,  712 ,5,30/11/17,9.010,712
Rifle,Rifle,Vitrine,  8.665 ,  1.257 ,10,3/8/17,8.665,1.257
Reset,Relève: Histoire d'une créationfr,Fênix Filmes,  8.279 ,  537 ,0,23/3/17,8.279,537
Olhando para as estrelas,Olhando para as estrelas,Elo Company,  8.048 ,  482 ,5,9/11/17,8.048,482
Eden,Eden,Livres Filmes,  7.933 ,  555 ,4,4/5/17,7.933,555
Tudo é projeto,Tudo é projeto,Olé Produções,  7.603 ,  466 ,3,14/12/17,7.603,466
150 Miligramas,La Fille de Brest,California,  7.457 ,  527 ,1,31/8/17,7.457,527
El Amparo,El Amparo,Pandora,  6.968 ,  517 ,1,12/10/17,6.968,517
Maria - Não esqueça que venho dos trópicos,Maria - Não esqueça que venho dos trópicos,Pandora,  6.328 ,  396 ,3,16/11/17,6.328,396
Introdução à música do sangue,Introdução à música do sangue,Art House Movies,  6.217 ,  506 ,5,29/6/17,6.217,506
O deserto do deserto,"Deserto do deserto, O",Distribuição Própria,  6.185 ,  508 ,1,10/8/17,6.185,508
Patti Cake$,Patti Cake$,RT Features,  6.117 ,  381 ,5,30/11/17,6.117,381
Corpo delito,Corpo delito,Vitrine,  5.948 ,  877 ,14,7/12/17,5.948,877
"Capoeira, um passo a dois","Capoeira, um passo a dois",Daza Filmes,  5.921 ,  478 ,0,27/3/17,5.921,478
A finada mãe da madame,"Finada mãe da madame, A",Santa Rita Filmes,  5.873 ,  462 ,3,24/8/17,5.873,462
Waiting for B,Waiting for B,Vitrine,  5.871 ,  1.049 ,9,2/3/17,5.871,1.049
Muito romântico,Muito romântico,Vitrine,  5.795 ,  791 ,9,25/5/17,5.795,791
A mulher que se foi,Ang babaeng humayo,Zeta Filmes,  5.606 ,  361 ,2,4/5/17,5.606,361
Eles só usam black tie,Necktie Youthafri,Fênix Filmes,  5.218 ,  391 ,5,9/3/17,5.218,391
Taego Ãwa,Taego Ãwa,Vitrine,  5.194 ,  761 ,8,11/5/17,5.194,761
Galeria F,Galeria F,Elo Company,  4.976 ,  504 ,4,30/3/17,4.976,504
Os golfinhos vão para o leste,"Golfinhos vão para o leste, Os",Lança Filmes / Okna Produções,  4.645 ,  338 ,2,23/11/17,4.645,338
A gente,"Gente, A",Olhar Distribuição,  4.556 ,  367 ,7,14/9/17,4.556,367
Mimosas,Mimosas,Pandora,  4.343 ,  320 ,1,24/8/17,4.343,320
Todas as meninas reunidas vamos lá,Todas as meninas reunidas vamos lá,DTF/Paris,  4.338 ,  274 ,13,21/12/17,4.338,274
O homem que matou John Wayne,"Homem que matou John Wayne, O",Pandora,  4.163 ,  294 ,3,17/8/17,4.163,294
Lamparina da aurora,Lamparina da aurora,Lume,  4.148 ,  341 ,8,30/11/17,4.148,341
Screamers,Screamers,Cineart Filmes,  4.087 ,  348 ,5,30/11/17,4.087,348
Eu te levo,Eu te levo,Pandora,  3.983 ,  323 ,4,30/3/17,3.983,323
Memória em Verde e Rosa,Memória em Verde e Rosa,Distribuição Própria,  3.949 ,  264 ,1,30/3/17,3.949,264
Colo,Colo,Zeta Filmes,  3.754 ,  550 ,2,16/11/17,3.754,550
Rúcula com tomate seco,Rúcula com tomate seco,DTF/Paris,  3.680 ,  405 ,5,23/11/17,3.680,405
Deixa na régua,Deixa na régua,Osmose Filmes,  3.566 ,  251 ,3,3/8/17,3.566,251
Por um punhado de dólares - Os novos emigrados,Por um punhado de dólares - Os novos emigrados,Elo Company,  3.382 ,  286 ,3,16/3/17,3.382,286
Aqualoucos,Aqualoucos,Paris,  3.295 ,  198 ,2,9/11/17,3.295,198
Silêncio no estúdio,Silêncio no estúdio,Modo Operante Produções,  3.008 ,  260 ,1,14/12/17,3.008,260
Asco,Asco,Distribuição Própria,  2.953 ,  132 ,1,1/3/17,2.953,132
Um casamento,"Casamento, Um",Pandora,  2.810 ,  244 ,4,18/5/17,2.810,244
Os transgressores,"Transgressores, Os",Film Connection,  2.711 ,  168 ,2,15/6/17,2.711,168
Uma rua chamada pecado,A Streetcar Named Desire,Distribuição Própria,  2.461 ,  143 ,nd,9/2/17,2.461,143
Mar inquieto,Mar inquieto,Lança Filmes,  2.430 ,  202 ,4,29/6/17,2.430,202
Yvone Kane,Yvone Kane,Bretz Filmes,  2.422 ,  161 ,3,30/11/17,2.422,161
"Pedro Osmar, prá liberdade que se conquista","Pedro Osmar, prá liberdade que se conquista",Distribuição Própria,  2.333 ,  182 ,8,16/3/17,2.333,182
O advogado,Byeon-ho-in,Contents 360,  2.166 ,  117 ,1,12/10/17,2.166,117
Intolerância.doc,Intolerância.doc,Distribuição Própria,  2.128 ,  140 ,1,17/8/17,2.128,140
Xingu Cariri Caruaru Carioca,Xingu Cariri Caruaru Carioca,4 ventos,  2.033 ,  140 ,1,23/11/17,2.033,140
Entrelinhas,The Unattainable Story,Europa,  1.998 ,  139 ,2,31/8/17,1.998,139
Vale da luta,Fight Valley,Elite Filmes,  1.951 ,  166 ,3,9/2/17,1.951,166
John From,John From,Fênix Filmes,  1.943 ,  192 ,1,5/1/17,1.943,192
Garoto fantasma,Phantom boy,Imovision,  1.743 ,  105 ,1,12/10/17,1.743,105
Quando o galo cantar pela terceira vez renegarás tua mãe,Quando o galo cantar pela terceira vez renegarás tua mãe,Elo Company,  1.689 ,  116 ,3,23/11/17,1.689,116
Estamos vivos,Estamos vivos,Livres Filmes,  1.354 ,  146 ,2,18/5/17,1.354,146
Com os punhos cerrados,Com os punhos cerrados,Pique-Bandeira Filmes,  1.104 ,  144 ,1,16/3/17,1.104,144
Bye bye Jaqueline,Bye bye Jaqueline,Lança Filmes, nd, nd,nd,28/12/17,nd,nd
Santo Amaro era skatista,Santo Amaro era skatista,Documenta Filmes, nd, nd,nd,14/12/17,nd,nd
O piano que conversa,O piano que conversa,MMTV, nd, nd,nd,21/9/17,nd,nd
Viva o cinema!,Viva o cinema!,Distribuição Própria, nd, nd,nd,17/8/17,nd,nd
El Mate,El Mate,Vagabundo Filmes, nd, nd,nd,17/8/17,nd,nd
Café - Um dedo de prosa,Café - Um dedo de prosa,Polifilmes/Spcine, nd, nd,nd,8/6/17,nd,nd
O profeta das águas,"Profeta das águas, O",Taus Produções, nd, nd,nd,20/4/17,nd,nd
Todas as cores da noite,Todas as cores da noite,Inquieta, nd, nd,nd,23/3/17,nd,nd
História antes de uma história,História antes de uma história,Polifilmes/Spcine, nd, nd,nd,16/3/17,nd,nd
Estopô Balaio,Estopô Balaio,Bela Filmes, nd, nd,nd,16/3/17,nd,nd
Olhar instigado,Olhar instigado,O2Play, nd, nd,nd,9/3/17,nd,nd
