,,,,,,,ACUMULADO,
Um lugar silencioso,A quiet place,Paramount,  22.945.600 ,  1.506.012 ,551,5/4/18,  22.945.600 ,  1.506.012 
Maze Runner - A cura mortal,Maze Runner - The death cure,Fox,  22.583.000 ,  1.453.897 ,1.017,25/1/18,  22.583.000 ,  1.453.897 
O Grinch,The Grinch,Universal,  22.206.700 ,  1.516.488 ,877,8/11/18,  22.206.700 ,  1.516.488 
Rampage - Destruição total,Rampage,Warner,  21.098.900 ,  1.348.055 ,958,12/4/18,  21.098.900 ,  1.348.055 
Oito mulheres e um segredo,Ocean's eight,Warner,  20.775.800 ,  1.303.564 ,633,7/6/18,  20.775.800 ,  1.303.564 
PéPequeno,Smallfoot,Warner,  20.767.600 ,  1.500.582 ,882,27/9/18,  20.767.600 ,  1.500.582 
Jogador nº 1,Ready player one,Warner,  19.931.300 ,  1.164.753 ,741,29/3/18,  19.931.300 ,  1.164.753 
Halloween,Halloween,Universal,  15.843.000 ,  1.129.383 ,866,25/10/18,  15.843.000 ,  1.129.383 
Tudo por um popstar,Tudo por um popstar,DTF/Paris,  15.799.800 ,  1.191.512 ,548,11/10/18,  15.799.800 ,  1.191.512 
A forma da água,The shape of water,Fox,  15.241.200 ,  871.667 ,168,1/2/18,  15.241.200 ,  871.667 
Sobrenatural - A última chave,Insidious - The last key,Sony,  15.107.800 ,  1.077.749 ,577,18/1/18,  15.107.800 ,  1.077.749 
Tomb Raider - A origem,Tomb Raider,Warner,  14.582.600 ,  904.364 ,958,15/3/18,  14.582.600 ,  904.364 
Arranha-céu - Coragem sem limite,Skyscrape,Universal,  14.502.900 ,  955.888 ,829,12/7/18,  14.502.900 ,  955.888 
Minha vida em Marte,Minha vida em Marte,DTF/Paris,  14.456.900 ,  925.042 ,930,27/12/18,  14.456.900 ,  925.042 
Mamma Mia! Lá vamos nós de novo!,Mamma Mia! Here we go again!,Universal,  14.029.200 ,  810.042 ,598,2/8/18,  14.029.200 ,  810.042 
Os jovens titãs em ação! Nos cinemas,Teen Titans go! to the movies,Warner,  13.785.000 ,  1.020.069 ,693,30/8/18,  13.785.000 ,  1.020.069 
O protetor 2,The equalizer 2,Sony,  13.372.100 ,  852.776 ,693,16/8/18,  13.372.100 ,  852.776 
O Quebra-Nozes e os quatro reinos,The Nutcracker and the four realms,Disney,  13.103.500 ,  857.299 ,821,1/11/18,  13.103.500 ,  857.299 
Han Solo - Uma história Star Wars,Han Solo - A Star Wars story,Disney,  13.030.200 ,  711.337 ,1.325,24/5/18,  13.030.200 ,  711.337 
Pedro coelho,Peter rabbit,Sony,  12.877.900 ,  940.559 ,732,22/3/18,  12.877.900 ,  940.559 
Círculo de fogo - A revolta,Pacific rim - Uprising,Universal,  12.762.800 ,  854.960 ,819,22/3/18,  12.762.800 ,  854.960 
O predador,Predator,Fox,  12.610.000 ,  809.387 ,753,13/9/18,  12.610.000 ,  809.387 
Robin Hood - A origem,Robin Hood - Origins,Paris,  12.399.500 ,  889.900 ,598,29/11/18,  12.399.500 ,  889.900 
Detetives do Prédio Azul 2 - O mistério italiano,Detetives do Prédio Azul 2 - O mistério italiano,DTF/Paris,  12.277.100 ,  879.720 ,1.051,20/12/18,  12.277.100 ,  879.720 
Bumblebee,Bumblebee,Paramount,  11.670.600 ,  722.575 ,1.011,27/12/18,  11.670.600 ,  722.575 
Paulo - Apóstolo de Cristo,Paul - Apostle of Christ,Sony,  11.018.800 ,  776.616 ,429,3/5/18,  11.018.800 ,  776.616 
A maldição da casa Winchester,Winchester - The house that ghosts built,Paris,  10.316.900 ,  729.351 ,457,1/3/18,  10.316.900 ,  729.351 
Star Wars - Os últimos jedi,Star Wars - The last jedi,Disney,  10.196.900 ,  565.343 ,1.642,14/12/17,  63.109.702 ,  3.519.440 
The Post - A guerra secreta,The Post,Universal,  9.163.720 ,  476.775 ,235,25/1/18,  9.163.720 ,  476.775 
Uma quase dupla,Uma quase dupla,DTF/Paris,  9.152.830 ,  643.084 ,444,19/7/18,  9.152.830 ,  643.084 
O candidato honesto 2,O candidato honesto 2,DTF/Paris,  8.394.350 ,  588.369 ,737,30/8/18,  8.394.350 ,  588.369 
O destino de uma nação,Darkest hour,Universal,  8.321.120 ,  413.632 ,182,11/1/18,  8.321.120 ,  413.632 
Alfa,Alpha,Sony,  7.718.190 ,  510.144 ,470,6/9/18,  7.718.190 ,  510.144 
Gnomeu e Julieta - O mistério do jardim,Sherlock Gnomes,Paramount,  7.534.920 ,  509.530 ,577,31/5/18,  7.534.920 ,  509.530 
Três anúncios para um crime,"Three Billboards outside Ebbing, Missouri",Fox,  7.305.890 ,  393.042 ,100,15/2/18,  7.305.890 ,  393.042 
Verdade ou desafio,Truth or dare,Universal,  6.883.060 ,  502.371 ,408,3/5/18,  6.883.060 ,  502.371 
Crô em família,Crô em família,Imagem,  6.810.770 ,  484.443 ,582,6/9/18,  6.810.770 ,  484.443 
Slender man - Pesadelo sem rosto,Slender man,Sony,  6.530.590 ,  472.626 ,557,23/8/18,  6.530.590 ,  472.626 
Operação Red Sparrow,Red Sparrow,Fox,  6.104.400 ,  346.072 ,288,1/3/18,  6.104.400 ,  346.072 
Cadáver,The possession of Hannah Grace,Sony,  5.914.850 ,  437.757 ,427,29/11/18,  5.914.850 ,  437.757 
O primeiro homem,First man,Universal,  5.756.940 ,  302.439 ,444,18/10/18,  5.756.940 ,  302.439 
O mistério do relógio na parede,The house with a clock in its walls,Universal,  5.309.170 ,  379.548 ,405,20/9/18,  5.309.170 ,  379.548 
O Rei do show,The greatest showman,Fox,  5.292.810 ,  319.676 ,462,25/12/17,  9.801.457 ,  604.129 
O passageiro,The commuter,Imagem / California,  5.255.090 ,  332.242 ,391,8/3/18,  5.255.090 ,  332.242 
O que de verdade importa,The healer,Anagrama Filmes,  5.231.960 ,  350.708 ,374,27/9/18,  5.231.960 ,  350.708 
"Com amor, Simon","Love, Simon",Fox,  4.921.650 ,  325.021 ,368,5/4/18,  4.921.650 ,  325.021 
O retorno de Mary Poppins,Mary Poppins returns,Disney,  4.759.500 ,  282.251 ,657,20/12/18,  4.759.500 ,  282.251 
Goosebumps 2: Halloween assombrado,Goosebumps - Haunted halloween,Sony,  4.700.110 ,  338.358 ,418,11/10/18,  4.700.110 ,  338.358 
De repente uma familia,Instant family,Paramount,  4.682.700 ,  330.051 ,402,29/11/18,  4.682.700 ,  330.051 
Christopher Robin - Um reencontro inesquecível,Christopher Robin,Disney,  4.453.950 ,  295.598 ,299,16/8/18,  4.453.950 ,  295.598 
Exorcismos e demônios,The crucifixion,Imagem / California,  4.421.990 ,  308.757 ,433,19/4/18,  4.421.990 ,  308.757 
Não se aceitam devoluções,Não se aceitam devoluções,Fox,  4.181.990 ,  299.986 ,468,31/5/18,  4.181.990 ,  299.986 
Os parças,Os parças,DTF/Paris,  4.070.410 ,  301.440 ,334,30/11/17,  21.736.855 ,  1.606.831 
O doutrinador,O doutrinador,DTF/Paris,  3.947.200 ,  281.735 ,469,1/11/18,  3.947.200 ,  281.735 
Buscando...,Searching,Sony,  3.916.390 ,  220.675 ,197,20/9/18,  3.916.390 ,  220.675 
Vidas à deriva,Adrift,Diamond Films,  3.794.160 ,  236.189 ,487,9/8/18,  3.794.160 ,  236.189 
Paddington 2,Paddington 2,Imagem,  3.786.290 ,  273.502 ,632,1/2/18,  3.786.290 ,  273.502 
Eu só posso imaginar,I can only imagine,Paris,  3.717.880 ,  252.319 ,470,31/5/18,  3.717.880 ,  252.319 
Deus não está morto - Uma luz na escuridão,God's not dead - A light in the darkness,California,  3.711.820 ,  273.949 ,268,30/8/18,  3.711.820 ,  273.949 
Hereditário,Hereditary,Diamond Films,  3.551.980 ,  251.437 ,441,21/6/18,  3.551.980 ,  251.437 
Liga da Justiça,Justice league,Warner,  3.465.680 ,  230.370 ,1.582,16/11/17,  134.697.390 ,  8.648.062 
Fúria em alto mar,Hunter killer,Imagem / California,  3.314.200 ,  222.264 ,389,25/10/18,  3.314.200 ,  222.264 
Millennium - A garota na teia de aranha,The girl in the spider's web,Sony,  3.264.290 ,  194.749 ,311,8/11/18,  3.264.290 ,  194.749 
A noite do jogo,Game night,Warner,  3.238.270 ,  202.207 ,319,10/5/18,  3.238.270 ,  202.207 
Encantado,Charming,Imagem,  3.214.540 ,  243.174 ,526,6/12/18,  3.214.540 ,  243.174 
Maria Madalena,Mary Magdalene,Universal,  3.198.100 ,  204.333 ,381,15/3/18,  3.198.100 ,  204.333 
A casa do medo - Incidente em Ghostland,Incident in a Ghostland,Paris,  3.140.530 ,  223.841 ,294,18/10/18,  3.140.530 ,  223.841 
No olho do furacão,The hurricane heist ,Imagem / California,  3.066.610 ,  225.705 ,386,7/6/18,  3.066.610 ,  225.705 
Me chame pelo seu nome,Call me by your name,Sony,  2.942.240 ,  169.651 ,62,18/1/18,  2.942.240 ,  169.651 
Do jeito que elas querem,Book club,Paris,  2.865.180 ,  163.343 ,267,14/6/18,  2.865.180 ,  163.343 
Operação Overlord,Overlord,Paramount,  2.858.540 ,  198.613 ,366,8/11/18,  2.858.540 ,  198.613 
Entrevista com Deus,An interview with God,Imagem,  2.819.840 ,  193.307 ,239,15/11/18,  2.819.840 ,  193.307 
Duda e os gnomos,Gnome alone,Imagem,  2.801.780 ,  186.417 ,396,1/3/18,  2.801.780 ,  186.417 
Um pequeno favor,A simple favor,Paris,  2.726.730 ,  140.084 ,185,27/9/18,  2.726.730 ,  140.084 
O parque do inferno,Hell fest,Paris,  2.721.430 ,  199.055 ,295,22/11/18,  2.721.430 ,  199.055 
As viúvas,Widows,Fox,  2.679.700 ,  150.789 ,222,29/11/18,  2.679.700 ,  150.789 
O chamado do mal,Malicious,Imagem,  2.676.590 ,  194.645 ,381,6/12/18,  2.676.590 ,  194.645 
Infiltrado na Klan,Blackkklansman,Universal,  2.596.640 ,  130.788 ,42,22/11/18,  2.596.640 ,  130.788 
Uma dobra no tempo,A wrinkle in time,Disney,  2.515.500 ,  155.966 ,287,29/3/18,  2.515.500 ,  155.966 
Mentes sombrias,The darkest minds,Fox,  2.491.040 ,  179.157 ,261,16/8/18,  2.491.040 ,  179.157 
Os exterminadores do além - Contra a loira do banheiro,"Exterminadores do além - Contra a loira do banheiro, Os",Galeria Distribuidora,  2.331.180 ,  173.437 ,332,29/11/18,  2.331.180 ,  173.437 
Meu ex é um espião,The spy who dumped me,Paris,  2.282.980 ,  154.845 ,343,23/8/18,  2.282.980 ,  154.845 
Todo o dinheiro do mundo,All the money in the world,Diamond Films,  2.238.720 ,  131.285 ,323,1/2/18,  2.238.720 ,  131.285 
Trama fantasma,Phantom thread,Universal,  2.207.430 ,  114.261 ,68,22/2/18,  2.207.430 ,  114.261 
Roda gigante,Wonder wheel,Imagem,  2.165.420 ,  118.243 ,121,28/12/17,  2.904.103 ,  155.216 
Fátima - O último mistério,Fátima - El último misterio,Coragem Distribuidora,  2.139.620 ,  145.201 ,34,9/8/18,  2.139.620 ,  145.201 
Assassinato no Expresso do Oriente,Murder on the Orient Express,Fox,  2.134.010 ,  114.099 ,362,30/11/17,  18.832.538 ,  1.117.701 
A primeira noite de crime,The first purge,Universal,  2.127.140 ,  153.377 ,130,27/9/18,  2.127.140 ,  153.377 
Desejo de matar,Death wish,Imagem,  2.057.400 ,  133.760 ,332,10/5/18,  2.057.400 ,  133.760 
Sexy por acidente,I feel pretty,Paris,  2.020.230 ,  136.251 ,260,28/6/18,  2.020.230 ,  136.251 
22 milhas,Mile 22,Diamond Films,  1.999.570 ,  130.877 ,267,20/9/18,  1.999.570 ,  130.877 
O homem das cavernas,Early man,Paris,  1.959.220 ,  138.149 ,255,5/4/18,  1.959.220 ,  138.149 
7 dias em Entebbe,Entebbe,Diamond Films,  1.937.860 ,  93.533 ,171,19/4/18,  1.937.860 ,  93.533 
Pequena grande vida,Downsizing,Paramount,  1.867.290 ,  117.729 ,198,22/2/18,  1.867.290 ,  117.729 
Lady Bird - A hora de voar,Lady Bird,Universal,  1.855.970 ,  104.564 ,69,15/2/18,  1.855.970 ,  104.564 
Johnny English 3.0,Johnny English strikes again,Universal,  1.828.360 ,  123.693 ,205,1/11/18,  1.828.360 ,  123.693 
Todo dia,Every day,Paris,  1.796.500 ,  115.656 ,239,26/7/18,  1.796.500 ,  115.656 
Escobar - A traição,Loving Pablo,California,  1.690.480 ,  71.342 ,98,23/8/18,  1.690.480 ,  71.342 
Meu amigo vampiro,The little vampire,Playarte,  1.666.690 ,  119.519 ,200,8/2/18,  1.666.690 ,  119.519 
A vida em si,Life itself,Paris,  1.660.290 ,  82.734 ,209,6/12/18,  1.660.290 ,  82.734 
Correndo atrás de um pai,Father figures,Paris,  1.552.290 ,  100.155 ,176,18/1/18,  1.552.290 ,  100.155 
Mulheres alteradas,Mulheres alteradas,DTF/Paris,  1.439.200 ,  92.568 ,163,5/7/18,  1.439.200 ,  92.568 
A abelhinha Maya - O filme,Maya the bee - The movie,Playarte,  1.427.030 ,  100.813 ,337,17/5/18,  1.427.030 ,  100.813 
A grande jogada,Molly's game,Diamond Films,  1.292.010 ,  76.676 ,181,22/2/18,  1.292.010 ,  76.676 
A justiceira,Peppermint,Diamond Films,  1.283.600 ,  89.270 ,149,18/10/18,  1.283.600 ,  89.270 
Desobediência,Disobedience,Sony,  1.226.520 ,  70.045 ,31,21/6/18,  1.226.520 ,  70.045 
O estrangeiro,The foreigner,Diamond Films,  1.201.760 ,  84.230 ,208,11/1/18,  1.201.760 ,  84.230 
Cinderela e o príncipe secreto,Cinderella 3D,Imagem,  1.198.540 ,  87.088 ,280,11/10/18,  1.198.540 ,  87.088 
Uma noite de 12 anos,La noche de 12 años,Vitrine,  1.165.420 ,  66.215 ,12,27/9/18,  1.165.420 ,  66.215 
As aventuras de Tadeo 2 - O segredo do Rei Midas,Tadeo Jones 2 - El secreto del Rey Midas,Paramount,  1.163.600 ,  95.645 ,518,21/12/17,  4.602.192 ,  346.316 
Covil de ladrões,Den of thieves,Diamond Films,  1.091.740 ,  58.649 ,143,5/4/18,  1.091.740 ,  58.649 
Papillon,Papillon,Imagem,  1.038.590 ,  53.570 ,65,4/10/18,  1.038.590 ,  53.570 
Ana e Vitória,Ana e Vitória,Galeria Distribuidora,  991.915 ,  70.889 ,197,2/8/18,  991.915 ,  70.889 
Sicario - Dia do soldado,Sicario - Day of the soldado,Sony,  922.322 ,  47.079 ,125,28/6/18,  922.322 ,  47.079 
O orgulho,Le brio,Pandora,  904.336 ,  53.580 ,35,19/7/18,  904.336 ,  53.580 
"Eu, Tonya","I, Tonya",California,  880.314 ,  50.764 ,46,15/2/18,  880.314 ,  50.764 
O grande Circo Místico,O grande Circo Místico,H2O Films,  875.815 ,  51.526 ,100,15/11/18,  875.815 ,  51.526 
Deixe a luz do sol entrar,Un beau soleil interieur,Imovision,  838.671 ,  49.656 ,16,29/3/18,  838.671 ,  49.656 
O paciente - O caso Tancredo Neves,O paciente - O caso Tancredo Neves,DTF/Paris,  819.174 ,  40.792 ,92,13/9/18,  819.174 ,  40.792 
10 segundos para vencer,10 segundos para vencer,Imagem,  801.653 ,  51.526 ,281,27/9/18,  801.653 ,  51.526 
O processo,O processo,Vitrine,  782.276 ,  50.502 ,49,17/5/18,  782.276 ,  50.502 
A festa,The party,Mares Filmes/A2 Filmes,  763.903 ,  43.469 ,32,26/7/18,  763.903 ,  43.469 
15h17 - Trem para Paris,The 15:17 to Paris,Warner,  754.061 ,  36.212 ,26,8/3/18,  754.061 ,  36.212 
Amigos alienígenas,Luis and the aliens,Playarte,  751.290 ,  52.044 ,169,25/10/18,  751.290 ,  52.044 
Os estranhos - Caçada noturna,The strangers - Prey at night,Diamond Films,  739.594 ,  55.394 ,192,7/6/18,  739.594 ,  55.394 
Medo profundo,47 meters down,Playarte,  720.149 ,  53.323 ,221,8/3/18,  720.149 ,  53.323 
Podres de ricos,Crazy rich asians,Warner,  719.711 ,  41.993 ,66,25/10/18,  719.711 ,  41.993 
O nome da morte,O nome da morte,Imagem,  715.374 ,  47.248 ,136,2/8/18,  715.374 ,  47.248 
Madame,Madame,California,  706.796 ,  39.388 ,28,29/3/18,  706.796 ,  39.388 
A outra mulher,Amoureux de ma femme,Imovision,  705.223 ,  39.397 ,38,16/8/18,  705.223 ,  39.397 
Refém do jogo,Final score,California,  700.894 ,  51.274 ,184,22/11/18,  700.894 ,  51.274 
Baseado em fatos reais,D' après une histoire vraie,Paris,  697.847 ,  34.861 ,48,12/4/18,  697.847 ,  34.861 
"Com amor, Van Gogh",Loving Vicent,Europa,  692.115 ,  45.257 ,36,30/11/17,  1.788.338 ,  114.221 
Tully,Tully,Diamond Films,  664.202 ,  34.098 ,56,24/5/18,  664.202 ,  34.098 
O insulto,L'insulte,Imovision,  663.098 ,  39.769 ,11,8/2/18,  663.098 ,  39.769 
Colette,Colette,Diamond Films,  663.019 ,  34.868 ,51,13/12/18,  663.019 ,  34.868 
Uma casa à beira-mar,La villa,Imovision,  658.598 ,  39.685 ,27,12/7/18,  658.598 ,  39.685 
The square - A arte da discórdia,The square,Pandora,  641.300 ,  39.576 ,26,4/1/18,  641.300 ,  39.576 
O amante duplo,L'amant double,California,  571.916 ,  35.442 ,46,21/6/18,  571.916 ,  35.442 
Benzinho,Benzinho,Vitrine,  553.944 ,  34.529 ,35,23/8/18,  553.944 ,  34.529 
12 heróis,12 strong,Diamond Films,  545.894 ,  31.444 ,89,15/3/18,  545.894 ,  31.444 
Talvez uma história de amor,Talvez uma história de amor,Warner,  544.712 ,  38.372 ,146,14/6/18,  544.712 ,  38.372 
Ella e John,The leisure seeker,Sony,  541.745 ,  34.233 ,7,5/4/18,  541.745 ,  34.233 
Legalize já - Amizade nunca morre,Legalize já - Amizade nunca morre,Imagem,  537.206 ,  37.629 ,167,18/10/18,  537.206 ,  37.629 
Chacrinha - O velho guerreiro,Chacrinha - O velho guerreiro,DTF/Paris,  529.182 ,  36.131 ,269,8/11/18,  529.182 ,  36.131 
Fantástica: Uma aventura no mundo Bonnie Bears,Boonie Bears - Entangled worlds,Lança Filmes,  512.440 ,  51.073 ,88,13/9/18,  512.440 ,  51.073 
Os invisíveis,Die unsichtbaren,Mares Filmes/A2 Filmes,  510.918 ,  31.437 ,19,4/10/18,  510.918 ,  31.437 
Gaby Estrella,Gaby Estrella,DTF/Paris,  508.218 ,  38.486 ,149,18/1/18,  508.218 ,  38.486 
A livraria,The bookshop,Cineart Filmes,  504.683 ,  31.945 ,28,22/3/18,  504.683 ,  31.945 
Lou,Lou Andreas Salomé,Cineart Filmes,  504.392 ,  33.799 ,9,11/1/18,  504.392 ,  33.799 
Troca de rainhas,L'echange des pricesses,Pandora,  462.086 ,  28.329 ,29,16/8/18,  462.086 ,  28.329 
Tudo acaba em festa,Tudo acaba em festa,DTF/Paris,  461.591 ,  30.526 ,84,15/11/18,  461.591 ,  30.526 
Você nunca esteve realmente aqui,You were never really here,Supo Mungam Films,  454.850 ,  25.110 ,28,9/8/18,  454.850 ,  25.110 
O jovem Karl Marx,Le jeune Karl Marx,California,  453.267 ,  30.878 ,8,28/12/17,  509.363 ,  33.715 
Aos teus olhos,Aos teus olhos,Pagu Pictures,  451.062 ,  26.782 ,47,12/4/18,  451.062 ,  26.782 
Hotel Artemis,Hotel Artemis,Diamond Films,  447.706 ,  24.273 ,60,13/9/18,  447.706 ,  24.273 
Te peguei!,TAG,Warner,  437.154 ,  24.872 ,68,23/8/18,  437.154 ,  24.872 
Ilha dos cachorros,Isle of dogs,Fox,  434.730 ,  23.928 ,11,19/7/18,  434.730 ,  23.928 
Coração de cowboy,Coração de cowboy,O2 Play,  431.481 ,  31.257 ,189,27/9/18,  431.481 ,  31.257 
Sol da meia-noite,Midnight sun,Diamond Films,  420.613 ,  30.756 ,201,14/6/18,  420.613 ,  30.756 
Sansão,Samson,California,  419.167 ,  31.167 ,78,27/9/18,  419.167 ,  31.167 
Submersão,Submergence,California,  411.473 ,  19.436 ,60,19/4/18,  411.473 ,  19.436 
Projeto Flórida,The Florida project,Diamond Films,  407.241 ,  23.336 ,40,1/3/18,  407.241 ,  23.336 
Em pedaços,Aus dem nichts,Imovision,  405.067 ,  23.791 ,21,15/3/18,  405.067 ,  23.791 
Alguém como eu,Alguém como eu,DTF/Paris,  400.965 ,  28.359 ,134,24/5/18,  400.965 ,  28.359 
A casa que Jack construiu,The house that Jack built,California,  384.956 ,  22.625 ,31,1/11/18,  384.956 ,  22.625 
Tudo que quero,Please stand by,Imagem,  381.740 ,  18.397 ,50,26/4/18,  381.740 ,  18.397 
Todas as canções de amor,Todas as canções de amor,Galeria Distribuidora,  375.750 ,  25.662 ,68,8/11/18,  375.750 ,  25.662 
Acertando o passo,Finding your feet,California,  370.192 ,  21.701 ,37,10/5/18,  370.192 ,  21.701 
Ferrugem,Ferrugem,Olhar Distribuição,  352.925 ,  25.783 ,47,30/8/18,  352.925 ,  25.783 
A melhor escolha,Last flag flying,Imagem,  350.553 ,  16.256 ,44,22/3/18,  350.553 ,  16.256 
Sem amor,Loveless,Sony,  347.059 ,  14.536 ,14,8/2/18,  347.059 ,  14.536 
Custódia ,Jusqu'à la garde,Supo Mungam Films,  342.837 ,  21.284 ,30,5/7/18,  342.837 ,  21.284 
De encontro com a vida,Mein blind date mit dem leben,Alpha Filmes/ Pandora,  341.430 ,  19.813 ,45,19/4/18,  341.430 ,  19.813 
50 são os novos 30 ,Marie-Francine,Cineart Filmes,  339.908 ,  23.039 ,13,28/6/18,  339.908 ,  23.039 
As herdeiras,Las herederas,Imovision,  327.244 ,  19.905 ,21,30/8/18,  327.244 ,  19.905 
Um segredo em Paris,Drôles d'oiseaux,Pagu Pictures,  324.031 ,  19.757 ,24,15/11/18,  324.031 ,  19.757 
Encolhi a professora,"Hilfe, ich hab meine lehrerin geschrumpft",Mares Filmes/Alpha Filmes,  308.226 ,  23.644 ,120,25/1/18,  308.226 ,  23.644 
Peixonauta - O filme,Peixonauta - O filme,Riofilme,  301.860 ,  22.247 ,81,25/1/18,  301.860 ,  22.247 
Paraíso Perdido,Paraíso Perdido,Vitrine,  299.321 ,  18.568 ,98,31/5/18,  299.321 ,  18.568 
Um dia para viver,24 hours to live,Playarte,  289.854 ,  20.248 ,144,7/6/18,  289.854 ,  20.248 
Gauguin - Viagem ao Taiti ,Gauguin - Voyage De Tahiti,Mares Filmes/A2 Filmes,  280.785 ,  19.222 ,24,23/8/18,  280.785 ,  19.222 
Antes que eu me esqueça,Antes que eu me esqueça,Imagem,  280.045 ,  16.424 ,63,24/5/18,  280.045 ,  16.424 
A vida em família,La vitta in comune,Pagu Pictures,  262.834 ,  15.163 ,14,6/9/18,  262.834 ,  15.163 
Promessa ao Amanhecer,La promesse de l'aube,Bonfilm,  250.047 ,  16.948 ,26,26/7/18,  250.047 ,  16.948 
Era uma vez um Deadpool,Once upon a Deadpool,Fox,  249.641 ,  15.620 ,89,27/12/18,  249.641 ,  15.620 
Lámen shop,Ramen teh,Imovision,  247.452 ,  13.980 ,17,26/7/18,  247.452 ,  13.980 
Maria Callas - Em suas próprias palavras,Maria by Callas,Imovision,  239.467 ,  14.038 ,15,6/12/18,  239.467 ,  14.038 
Somente o mar sabe,The mercy,Paris,  238.442 ,  11.727 ,24,26/4/18,  238.442 ,  11.727 
A amante,Inhebek Hedi,Pandora,  238.427 ,  14.455 ,15,31/5/18,  238.427 ,  14.455 
Teu mundo não cabe nos meus olhos,Teu mundo não cabe nos meus olhos,DTF/Paris,  237.347 ,  14.541 ,109,3/5/18,  237.347 ,  14.541 
A morte de Stalin,Death of Stalin,Paris,  236.039 ,  13.088 ,26,7/6/18,  236.039 ,  13.088 
1945,1945,Supo Mungam Films,  235.540 ,  15.047 ,18,5/4/18,  235.540 ,  15.047 
Gringo - Vivo ou morto,Gringo,Diamond Films,  234.095 ,  11.671 ,66,3/5/18,  234.095 ,  11.671 
O retorno do herói,Le retour du héros,Mares Filmes/A2 Filmes,  234.091 ,  15.477 ,25,20/9/18,  234.091 ,  15.477 
A origem do dragão,Birth of the dragon,Imagem,  229.252 ,  17.079 ,119,28/12/17,  652.076 ,  48.542 
Limites,Boundaries,Sony,  224.491 ,  12.348 ,20,13/9/18,  224.491 ,  12.348 
O que te faz mais forte,Stronger,Paris,  224.002 ,  12.070 ,32,8/2/18,  224.002 ,  12.070 
O sacrifício do cervo sagrado,The killing of a sacred deer,Diamond Films,  221.481 ,  13.734 ,39,8/2/18,  221.481 ,  13.734 
