,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2018 (R$), Público 2018,Salas Abertura,Estreia, renda (R$),público
Vingadores - Guerra infinita,Avengers - Infinity war,Disney,  237.834.000 ,  14.587.731 ,2.399,26/4/18,  237.834.000 ,  14.587.731 
Os Incríveis 2,The incredibles 2,Disney,  144.981.000 ,  9.881.675 ,1.584,28/6/18,  144.981.000 ,  9.881.675 
Pantera Negra,Black Panther,Disney,  120.901.000 ,  7.488.012 ,1.459,15/2/18,  120.901.000 ,  7.488.012 
Nada a perder,Nada a perder ,DTF/Paris,  119.161.000 ,  11.985.261 ,1.170,29/3/18,  119.161.000 ,  11.985.261 
Aquaman,Aquaman,Warner,  93.244.000 ,  5.674.673 ,1.732,13/12/18,  93.244.000 ,  5.674.673 
Jurassic World - Reino ameaçado,Jurassic World - Fallen kingdom,Universal,  80.707.600 ,  5.325.016 ,1.461,21/6/18,  80.707.600 ,  5.325.016 
A freira,The nun,Warner,  76.096.700 ,  5.294.358 ,1.313,6/9/18,  76.096.700 ,  5.294.358 
Hotel Transilvânia 3 - Férias monstruosas,Hotel Transylvania 3 - Summer vacation,Sony,  74.856.100 ,  5.410.603 ,1.206,12/7/18,  74.856.100 ,  5.410.603 
Jumanji: Bem-vindo à selva,Jumanji - Welcome to the jungle,Sony,  73.947.100 ,  4.798.832 ,939,4/1/18,  73.947.100 ,  4.798.832 
Venom,Venom,Sony,  71.996.200 ,  4.624.605 ,1.512,4/10/18,  71.996.200 ,  4.624.605 
Deadpool 2,Deadpool 2,Fox,  67.062.000 ,  4.647.277 ,1.499,17/5/18,  67.062.000 ,  4.647.277 
Cinquenta tons de liberdade,Fifty shades freed,Universal,  64.372.500 ,  4.360.927 ,1.591,8/2/18,  64.372.500 ,  4.360.927 
Animais fantásticos - Os crimes de Grindelwald,Fantastic beasts - The crimes of Grindelwald,Warner,  59.168.900 ,  3.557.014 ,1.484,15/11/18,  59.168.900 ,  3.557.014 
Bohemian Rhapsody,Bohemian Rhapsody,Fox,  51.920.100 ,  2.917.786 ,617,1/11/18,  51.920.100 ,  2.917.786 
Homem-Formiga e a Vespa,Ant-Man and the Wasp,Disney,  50.010.600 ,  3.281.910 ,1.484,5/7/18,  50.010.600 ,  3.281.910 
O touro Ferdinando,Ferdinand the bull,Fox,  47.048.300 ,  3.465.627 ,966,11/1/18,  47.048.300 ,  3.465.627 
Missão: Impossivel - Efeito Fallout,Mission Impossible Fallout,Paramount,  44.573.100 ,  2.575.019 ,1.331,26/7/18,  44.573.100 ,  2.575.019 
Extraordinário,Wonder,Paris,  41.407.100 ,  2.880.667 ,877,7/12/17,  94.263.549 ,  6.665.630 
Os farofeiros,Os farofeiros,DTF/Paris,  36.699.000 ,  2.629.466 ,727,8/3/18,  36.699.000 ,  2.629.466 
"Fala sério, mãe!","Fala sério, mãe!",DTF/Paris,  31.781.100 ,  2.418.001 ,682,28/12/17,  39.873.514 ,  3.017.916 
Viva - A vida é uma festa,Coco,Disney,  30.370.600 ,  1.987.695 ,626,4/1/18,  30.370.600 ,  1.987.695 
Megatubarão,The Meg,Warner,  29.302.100 ,  1.893.731 ,874,9/8/18,  29.302.100 ,  1.893.731 
Nasce uma estrela,A star is born,Warner,  25.315.300 ,  1.405.809 ,494,11/10/18,  25.315.300 ,  1.405.809 
