TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
"Lendário cão guerreiro, O",Paws of fury - The legend of Hank,Paramount,8/25/2022,EUA,Animação,Livre,827,5.509.930,336.128
Jujutsu Kaisen 0,Jujutsu Kaisen 0,Sony,4/28/2022,Japão,Animação,14,865,4.953.888,268.385
"Fera, A",Beast,Universal,8/11/2022,EUA,Suspense,14,1.116,4.654.452,262.351
Predestinado,Predestinado,Imagem,9/1/2022,Brasil,Drama,14,767,4.497.907,265.967
Juntos e enrolados,Juntos e enrolados,Imagem,1/13/2022,Brasil,Comédia,12,497,4.298.082,249.957
Harry Potter e a câmara secreta,Harry Potter and the Chamber of Secrets,Warner,11/22/2002,EUA / Reino Unido,Aventura,10,0,4.225.344,230.777
Coração de fogo,Fireheart,Paris,2/24/2022,Canadá,Animação,Livre,910,4.033.284,215.423
King's Man - A origem,The king's man,Disney,1/6/2022,Reino Unido,Ação,16,742,3.932.656,196.248
Tudo em todo o lugar ao mesmo tempo,Everything everywhere all at once,Diamond/Galeria,6/23/2022,EUA,Ação,14,183,3.893.686,187.371
"Não se preocupe, querida",Don't worry darling,Warner,9/22/2022,EUA,Suspense,16,596,3.678.445,177.736
Amsterdam,Amsterdam,Disney,10/6/2022,EUA,Drama,16,572,3.168.215,130.023
Noite infeliz,Violent night,Universal,12/1/2022,EUA,Ação,16,753,3.076.850,175.270
Ambulância - Um dia de crime,Ambulance,Universal,3/24/2022,EUA,Ação,14,1.046,2.848.214,152.874
After - Depois da promessa,After ever happy,Diamond/Galeria,8/25/2022,EUA,Drama,14,848,2.748.163,163.312
"Menu, O",The menu,Disney,12/1/2022,EUA,Terror,16,496,2.718.737,122.603
"Lugar bem longe daqui, Um",Where the crawdads sing,Sony,9/1/2022,EUA,Drama,14,902,2.627.812,148.691
Spencer,Spencer,Diamond/Galeria,1/27/2022,Alemanha,Biografia,12,538,2.550.145,106.920
"Palestrante, O","Palestrante, O",DT/Paris,8/4/2022,Brasil,Comédia,14,613,2.418.769,126.383
Convite maldito,The invitation,Sony,10/27/2022,EUA,Terror,14,805,2.274.809,129.194
Pluft - O fantasminha,Pluft - O fantasminha,DT/Paris,7/21/2022,Brasil,Comédia,Livre,853,2.273.417,126.996
Nada é por acaso,Nada é por acaso,Imagem,11/17/2022,Brasil,Drama,14,519,2.196.726,147.569
Caça implacável,Last seen alive,Diamond/Galeria,10/13/2022,EUA,Suspense,14,739,2.100.584,112.787
"Beco do pesadelo, O",Nightmare alley,Disney,1/27/2022,EUA,Suspense,16,347,1.928.359,83.842
"Morte, morte, morte",Bodies bodies bodies,Sony,10/6/2022,EUA,Terror,16,829,1.861.795,107.963
"Queda, A",The fall,Paris,9/29/2022,EUA,Suspense,12,637,1.825.559,103.047
"Última chamada, A",The call,Cinemark,9/1/2022,EUA,Terror,16,142,1.762.540,112.619
Assassino sem rastro,Memory,Diamond/Galeria,6/9/2022,EUA,Ação,16,417,1.596.120,78.965
Agente das sombras,Blacklight,California,3/10/2022,Austrália / EUA / China,Ação,14,461,1.521.583,78.975
Marte um,Marte um,Embaúba Filmes,8/25/2022,Brasil,Drama,16,29,1.505.221,87.645
"Suburbanos, Os","Suburbanos, Os",DT/Paris,10/6/2022,Brasil,Comédia,14,518,1.480.174,85.435
"Ritual - Presença maligna, O",The banishing,Playarte,3/17/2022,Reino Unido,Terror,14,393,1.462.707,82.355
Gêmeo maligno,The twin,Paris,8/11/2022,Finlândia,Terror,14,433,1.354.453,76.948
Belfast,Belfast,Universal,3/10/2022,Reino Unido,Drama,14,120,1.340.655,56.744
Terrifier 2,Terrifier 2,Imagem,12/29/2022,EUA,Terror,18,786,1.324.747,74.189
"Médium, A",The medium,Paris,5/19/2022,Tailândia / Coréia do Sul,Terror,16,360,1.309.529,68.368
"Agentes 355, As",The 355,Diamond/Galeria,1/20/2022,EUA / China,Ação,16,666,1.284.697,69.824
Licorice Pizza,Licorice Pizza,Universal,2/17/2022,EUA,Comédia,14,116,1.238.584,57.691
Bem-vinda a Quixeramobim,Bem-vinda a Quixeramobim,DT/Paris,10/13/2022,Brasil,Comédia,14,58,1.190.656,71.690
Pinocchio - O menino de madeira,Pinocchio - A true story,Playarte,9/1/2022,Rússia,Animação,Livre,216,1.094.918,72.749
"Boa sorte, Leo Grande","Good luck to you, Leo Grande",Paris,7/28/2022,Reino Unido,Comédia,16,107,1.085.890,45.142
Case comigo,Marry me,Universal,2/10/2022,EUA,Comédia,12,706,1.077.391,58.549
Irmãos de honra,Devotion,Diamond/Galeria,12/8/2022,EUA,Ação,12,529,1.072.829,52.400
"Pior pessoa do mundo, A",The worst person in the world,Diamond/Galeria,3/24/2022,Noruega,Romance,16,23,1.049.834,51.421
Crepúsculo,Twilight,Paris,12/19/2008,EUA,Romance,12,0,1.017.930,76.437
X - A marca da morte,X,Playarte,8/11/2022,EUA,Terror,18,300,911.103,50.440
"Pitada de sorte, Uma","Pitada de sorte, Uma",DT/Paris,9/15/2022,Brasil,Comédia,10,256,908.883,86.430
Papai é pop,Papai é pop,Diamond/Galeria,8/11/2022,Brasil,Comédia,12,718,894.155,51.010
"Hora do desespero, A",The desperate hour,Paris,6/9/2022,EUA,Suspense,14,410,820.969,41.093
Alemão 2,Alemão 2,Manequim Filmes,3/31/2022,Brasil,Ação,16,278,789.703,41.082
Encanto,Encanto,Disney,11/25/2021,EUA,Animação,Livre,0,782.248,52.933
Era uma vez um gênio,Three thousand years of longing,Paris,9/1/2022,EUA,Drama,16,498,769.266,38.658
"Maldição do quarto 203, A",Room 203,Playarte,12/1/2022,EUA,Terror,14,252,746.390,43.097
Veja por mim,See for me,Paris,6/23/2022,Canadá,Suspense,14,321,730.560,38.820
Tubarão - Mar de sangue,Shark bait,Paris,12/1/2022,Reino Unido,Terror,16,401,679.633,39.782
Drive my car,Drive my car,O2 Play,3/17/2022,Japão,Drama,16,63,659.515,33.081
Me tira da mira,Me tira da mira,Imagem,3/24/2022,Brasil,Comédia,14,487,649.298,35.879
"Festival do amor, O",Rifkin's festival,Imagem,1/6/2022,Espanha / EUA / Itália,Comédia,12,95,643.118,26.309
Casa Gucci,House of Gucci,Universal,11/25/2021,EUA,Drama,14,0,642.697,22.503
Até os ossos,Bones and all,Warner,12/1/2022,Itália / EUA,Drama,18,248,616.725,28.925
Downton Abbey - Uma nova era,Downton Abbey - A new era,Universal,4/28/2022,Reino Unido,Drama,12,158,611.891,23.683
"Aventuras de Gulliver, As",Gulliver returns,Imagem,2/3/2022,Ucrânia,Animação,Livre,501,599.515,35.270
Chamas da vingança,Firestarter,Universal,5/19/2022,EUA,Terror,16,517,571.703,32.195
Epa! Cadê Noé? 2,Ooops! The adventure continues,Playarte,3/31/2022,Irlanda / Luxemburgo,Animação,Livre,291,567.014,29.707
Dog - A aventura de uma vida,Dog,Diamond/Galeria,5/19/2022,EUA,Comédia,14,360,561.192,30.151
My Hero Academia - Missão mundial de heróis,My hero academia - World heroes´ mission,Sony,1/6/2022,Japão,Animação,12,53,555.606,29.963
45 do segundo tempo,45 do segundo tempo,DT/Paris,8/18/2022,Brasil,Comédia,12,260,552.547,27.372
"Peso do talento, O",The unbearable weight of massive talent,Paris,5/12/2022,EUA,Comédia,16,354,537.276,25.979
Acampamento intergaláctico,Acampamento intergaláctico,Synapse,9/22/2022,Brasil,Infantil,Livre,83,530.709,28.945
A saga Crepúsculo - Lua nova,The Twilight Saga: New moon,Paris,11/20/2009,EUA,Romance,12,0,509.943,36.593
Até a morte - Sobreviver é a melhor vingança,Till death,Playarte,6/9/2022,EUA,Terror,16,253,501.097,26.065
Aftersun,Aftersun,O2 Play/Mubi,12/1/2022,Reino Unido / EUA,Drama,14,37,487.985,25.236
Eike - Tudo ou nada,Eike - Tudo ou nada,DT/Paris,9/22/2022,Brasil,Biografia,12,232,481.489,18.380
Moonage daydream,Moonage daydream,Universal,9/15/2022,Alemanha / EUA,Documentário,14,22,475.055,25.767
Minha família perfeita,Minha família perfeita,Disney,9/8/2022,Brasil,Comédia,12,206,440.563,29.996
Purgatório - Segredos revelados,Czysciec,Kolbe Arte Produções,10/20/2022,Polônia,Religioso,14,60,424.246,25.929
"Pronto, falei","Pronto, falei",Imagem,12/8/2022,Brasil,Comédia,14,419,412.738,22.442
"Jaula, A","Jaula, A",Disney,2/17/2022,Brasil,Suspense,16,244,394.809,22.978
Sra. Harris vai a Paris,Mrs. Harris goes to Paris,Universal,11/24/2022,Reino Unido / Hungria,Drama,12,99,377.905,16.300
Mais que amigos,Bros,Universal,10/6/2022,EUA,Comédia,16,190,376.840,18.441
ET - O extraterrestre,E.T. The Extra-Terrestrial,Universal,7/23/2015,EUA,Ficção-científica,Livre,0,358.053,18.476
Meu amigãozão - O filme,Meu amigãozão - O filme,O2 Play,5/12/2022,Brasil,Animação,Livre,145,354.754,16.841
"Maldição - Despertar dos mortos, A",The cursed: Dead man’s prey,Diamond/Galeria,11/17/2022,Coréia do Sul,Terror,14,161,351.025,19.526
"Tesouro do pequeno Nicolau, O",Le trésor du petit Nicolas,California,12/22/2022,França,Comédia,Livre,100,315.869,16.300
A saga Crepúsculo: Amanhecer - Parte 1,The Twilight Saga: Breaking Dawn - Part 1,Paris,11/18/2011,EUA,Romance,14,0,313.227,24.267
Armageddon time,Armageddon time,Universal,11/10/2022,EUA,Drama,16,22,298.320,11.805
Ela disse,She said,Universal,12/8/2022,EUA,Drama,12,115,294.942,12.161
"Poderoso chefão - 50 anos, O",The Godfather - 50 Years,Paramount,9/2/2014,EUA,Drama,12,0,288.518,12.059
No ritmo do coração,Coda,Diamond/Galeria,9/23/2021,EUA / França,Comédia - Dramática,14,0,282.680,11.080
"Felicidade das pequenas coisas, A",Lunana: A Yak in the Classroom,Pandora Filmes,1/27/2022,Butão / China,Drama,10,3,282.410,16.389
Pureza,Pureza,DT/Paris,5/19/2022,Brasil,Drama,14,144,282.140,16.929
Amigo secreto,Amigo secreto,Vitrine Filmes,6/16/2022,Brasil,Documentário,12,47,281.937,15.257
Maria - Ninguém sabe quem sou eu,Maria - Ninguém sabe quem sou eu,Arteplex Filmes,9/1/2022,Brasil,Documentário,Livre,32,279.296,18.231
Men - Faces do medo,Men,Paris,9/8/2022,Reino Unido,Suspense,16,112,276.522,17.983
Luta pela fé - A história do padre Stu,Father Stu,Sony,5/26/2022,EUA,Religioso,12,279,276.129,14.000
A saga Crepúsculo - Eclipse,The Twilight Saga: Eclipse,Paris,6/30/2010,EUA,Romance,14,0,275.906,19.629
Coração ardente,Coração ardente,Distribuição Própria,3/10/2022,Espanha,Drama,10,52,270.260,16.871
Com amor e fúria,Avec amour et acharnement,Synapse,11/3/2022,França,Drama,14,30,269.120,12.854
Tarsilinha,Tarsilinha,H2O Films,3/17/2022,Brasil,Animação,Livre,105,265.302,14.363
Benedetta,Benedetta,Imovision,1/13/2022,França,Drama,18,37,262.294,13.048
Força bruta,The roundup,Paris,11/24/2022,Coréia do Sul,Ação,16,373,261.444,17.058
Quatro amigas numa fria,Quatro amigas numa fria,Disney,5/19/2022,Brasil,Comédia,12,213,261.431,14.243
Sempre em frente,C'mon c'mon,Diamond/Galeria,2/17/2022,EUA,Drama,10,60,255.125,12.069
Crocodilos - A morte te espera,Black water - Abyss,Playarte,5/12/2022,Austrália / EUA,Terror,14,133,224.723,12.120
Crimes of the future,Crimes of the future,O2 Play,7/14/2022,Canadá / Grécia,Ficção-científica,18,18,212.290,11.533
Vivo - Quem está aí?,Vivo,Distribuição Própria,6/14/2022,Espanha,Documentário,Livre,103,200.644,12.164
Vale night,Vale night,Disney,3/17/2022,Brasil,Comédia,16,177,188.067,10.879
"Viagem de Pedro, A","Viagem de Pedro, A",Vitrine Filmes,9/1/2022,Brasil,Drama,14,64,183.655,11.133
"Amor dá voltas, O","Amor dá voltas, O",Imagem,12/22/2022,Brasil,Romance,12,169,178.995,10.525
Super quem?,Super who,Paris,10/27/2022,França,Comédia,14,204,177.589,9.499
The Beatles: Get back - O último show,The Beatles: Get back - The rooftop concert,Disney,2/10/2022,EUA,Documentário,12,12,163.407,4.970
Noites de Paris,Les passagers de la nuit,Vitrine Filmes,10/20/2022,França,Drama,16,14,160.190,8.082
Má sorte no sexo ou pornô acidental,Bad luck banging or loony porn,Imovision,6/2/2022,Romênia / República Tcheca / Luxemburgo,Comédia,18,18,149.444,8.310
Tre piani,Tre piani,Imovision,4/7/2022,França / Itália,Drama,14,19,148.822,7.070
"Acusação, A",Les choses humaines,Imovision,10/27/2022,França,Drama,16,22,148.226,6.377
Chico para sempre,Chico para sempre,Film Connection,10/13/2022,Brasil,Documentário,Livre,54,147.878,8.344
Sword art online progressive - Ária de uma noite sem estrelas,Sword art online progressive - Aria of a starless night,Sony,3/10/2022,Japão,Animação,12,48,146.762,7.190
"Suspeita, A","Suspeita, A",Imagem,6/16/2022,Brasil,Ação,14,112,145.385,7.477
Ilusões perdidas,Illusions Perdues,California,6/9/2022,França / Bélgica,Drama,16,19,136.723,7.029
Na rédea curta,Na rédea curta,Elo Studios,12/1/2022,Brasil,Comédia,12,44,135.391,8.186
Ligação explosiva,Hard hit,Diamond/Galeria,11/24/2022,Coréia do Sul,Ação,14,138,126.793,8.671
"Livro dos prazeres, O","Livro dos prazeres, O",Vitrine Filmes,9/22/2022,Brasil,Drama,16,30,124.073,8.055
A saga Crepúsculo: Amanhecer - Parte 2,The Twilight Saga: Breaking Down - The Final,Paris,11/16/2012,EUA,Romance,12,0,119.231,8.371
"Herói, Um",A hero,California,7/28/2022,França / Irã,Drama,12,30,118.504,5.815
King Richard - Criando campeãs,King Richard,Warner,12/2/2021,EUA,Biografia,12,0,112.260,4.383
Tromba trem - O filme,Tromba trem - O filme,Manequim Filmes,9/8/2022,Brasil,Animação,Livre,143,106.669,6.966
