TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Clara Sola,Clara Sola,Imovision,8/11/2022,Suécia / Costa Rica / Bélgica,Drama,16,10,34.679,1.972
Encontros,Introduction,Pandora Filmes,9/1/2022,Coréia do Sul,Drama,14,8,34.557,2.641
"Chef, O",Boiling point,Synapse,9/1/2022,Reino Unido,Drama,16,6,34.025,1.635
Contratempos,À plein temps,Bonfilm,11/10/2022,França,Drama,12,10,33.422,1.889
"Pacto, O",Pact,A2 Filmes,4/7/2022,Dinamarca,Drama,14,19,33.267,1.772
De volta à Borgonha,Ce qui nous lie,Bretz Filmes,8/18/2022,França,Comédia,14,7,32.673,1.885
Pequena mamãe,Petite maman,Diamond/Galeria,3/3/2022,França,Drama,10,6,32.464,1.987
Assalto na Paulista,Assalto na Paulista,O2 Play/Kinoscopio,8/25/2022,Brasil,Ação,16,21,31.908,1.614
Il buco,Il buco,Zeta Filmes,8/11/2022,França / Itália / Alemanha,Drama,Livre,12,31.784,1.859
"Verdades, As","Verdades, As",Gullane Distribuidora,6/30/2022,Brasil,Drama,16,14,31.627,1.700
Terror no estúdio 666,Studio 666,Sony,3/17/2022,EUA,Terror,18,17,31.372,1.326
Peter Von Kant,Peter Von Kant,Bonfilm,10/20/2022,França,Comédia,16,18,31.041,1.924
"Segredo de Madeleine Collins, O",Madeleine Collins,Synapse,9/22/2022,França,Drama,14,17,30.293,1.673
Segredos em família,Algunas bestias,Imovision,10/13/2022,Chile,Drama,18,8,29.000,1.586
"Mulher que fugiu, A",The woman who ran,Pandora Filmes,2/10/2022,Coréia do Sul,Drama,10,16,27.620,1.757
Serial Kelly,Serial Kelly,Vitrine Filmes,11/24/2022,Brasil,Comédia,16,25,27.389,2.198
Madrugada em Paris,Médecin de nuit,Bonfilm,3/24/2022,França,Drama,16,22,27.297,1.659
"Felicidade das coisas, A","Felicidade das coisas, A",Embaúba Filmes,5/19/2022,Brasil,Drama,12,11,27.188,1.854
"Broto legal, Um","Broto legal, Um",Pandora Filmes,6/16/2022,Brasil,Biografia,12,25,27.182,1.602
Des-igualdade,Des-igualdade,A2 Filmes,10/25/2022,Brasil,Drama,Livre,7,26.982,1.662
Amado,Amado,DT/Paris,6/9/2022,Brasil,Drama,16,22,26.401,1.303
Ainbo - A guerreira da Amazônia,Ainbo - Spirit of the Amazon,Paris,9/30/2021,Peru,Animação,Livre,0,26.303,3.014
"Conferência, A",The conference,A2 Filmes,11/3/2022,Alemanha,Drama,14,9,25.297,1.242
Bem-vindos a bordo,Rien à foutre,Synapse,12/8/2022,França / Bélgica,Comédia - Dramática,16,17,25.127,1.490
"Adeus, idiotas",Adieu les Cons,Polifilmes/Mares Filmes,2/24/2022,França,Comédia,14,9,24.947,1.403
Luta pela liberdade,Xuan ya zhi shang - Cliff walkers,A2 Filmes,8/18/2022,China / Hong Kong,Drama,16,15,24.020,1.246
Enquanto vivo,De son vivant,Bonfilm,6/9/2022,França / Bélgica,Drama,14,22,23.997,1.424
Pacificado,Pacificado,Disney,8/11/2022,Brasil,Drama,16,37,23.563,1.074
"Truque da galinha, O",Feathers,Imovision,6/23/2022,França / Egito / Holanda / Grécia,Comédia - Dramática,16,7,22.178,1.146
"Mãe, A","Mãe, A",CUP Filmes,11/10/2022,Brasil,Drama,14,15,21.996,1.471
"Pequeno grande plano, Um",La croisade,Synapse,8/18/2022,França,Comédia,14,7,21.724,996
Rua Guaicurus,Rua Guaicurus,Embaúba Filmes,7/14/2022,Brasil,Documentário,18,9,21.511,1.339
Rogue One - Uma história Star Wars,Rogue One: A Star Wars Story,Disney,12/15/2016,EUA,Ficção-científica,10,0,21.306,1.009
"Território, O","Território, O",National Geographic Documentary Films,9/8/2022,Brasil / Dinamarca / EUA,Documentário,12,14,20.397,1.369
Águas selvagens,Águas selvagens,Imagem,5/12/2022,Brasil / Argentina,Drama,16,42,20.094,960
Deserto particular,Deserto particular,Pandora Filmes,11/25/2021,Brasil / Portugal,Drama,14,0,19.602,1.100
"Lima Barreto, ao terceiro dia","Lima Barreto, ao terceiro dia",Pipa Produções,9/29/2022,Brasil,Biografia,14,17,19.549,1.197
Cano serrado,Cano serrado,H2O Films,8/25/2022,Brasil,Faroeste,16,52,19.193,1.115
"Pai da Rita, O","Pai da Rita, O",O2 Play,5/19/2022,Brasil,Comédia,16,29,18.808,1.225
"Mulher do mundo, Uma",Une femme du monde,Imovision,12/8/2022,França,Drama,18,6,18.550,997
Meu álbum de amores,Meu álbum de amores,Pandora Filmes,8/18/2022,Brasil,Drama,16,17,18.279,1.104
Garota inflamável,Stillstehen,Pandora Filmes,7/14/2022,Alemanha / Itália,Drama,16,8,18.235,1.288
Espero que esta te encontre e que estejas bem,Espero que esta te encontre e que estejas bem,Embaúba Filmes,6/9/2022,Brasil,Documentário,Livre,15,18.169,1.448
Klondike - A guerra na Ucrânia,Klondike,Pandora Filmes,5/5/2022,Ucrânia / Turquia,Drama,16,13,17.943,979
Lara,Lara,Imovision,12/30/2021,Alemanha,Drama,14,0,17.898,1.065
Caixa preta,Boîte noire,Bonfilm,4/7/2022,França / Bélgica,Suspense,14,16,17.701,979
De repente drag,De repente drag,Elo Studios,8/4/2022,Brasil,Comédia,12,10,17.606,1.108
"Dia qualquer, Um","Dia qualquer, Um",Pipa Produções,6/23/2022,Brasil,Drama,16,22,17.458,1.079
1999 - A conquista da América,1999 - A conquista da América,Elo Studios,3/31/2022,Brasil,Documentário,10,1,17.190,1.122
"Conto de amor e desejo, Um",Une histoire d'amour et de désir,Bonfilm,4/28/2022,França / Tunísia,Drama,16,13,16.576,1.085
Mali twist,Twist à bamako,Imovision,11/24/2022,França,Drama,14,6,16.242,883
"Poderoso chefinho 2 - Negócios da família, O",Boss baby 2,Universal,8/12/2021,EUA,Animação,Livre,0,15.918,2.045
Garoto chiffon,Garçon chiffon,Imovision,3/24/2022,França,Comédia,14,14,15.829,996
Clifford - O gigante cão vermelho,Clifford the big red dog,Paramount,12/2/2021,EUA,Infantil,Livre,0,15.744,1.650
Ataque dos cães,The power of the dog,O2 Play,11/18/2021,Reino Unido,Faroeste,12,0,15.430,1.249
Sol,Sol,DT/Paris,12/8/2022,Brasil,Drama,14,30,14.621,673
"Brigada da chefe, A",La brigade,Imovision,12/29/2022,França,Comédia,12,18,14.325,668
Carro rei,Carro rei,Boulevard Filmes,6/30/2022,Brasil,Fantasia,14,16,14.127,1.163
Rir para não chorar,Rir para não chorar,Elo Studios,10/20/2022,Brasil,Comédia,12,26,14.124,868
Odd Taxi: In the woods,Eiga Odd Taxi: In the woods,Sony,6/23/2022,Japão,Animação,14,11,13.899,561
Space jam - Um novo legado,Space jam - A new legacy,Warner,7/15/2021,EUA,Aventura,Livre,0,13.821,1.583
Amira,Amira,Imovision,9/8/2022,Egito,Documentário,14,6,13.672,851
Pedro Coelho 2 - O fugitivo,Peter Rabbit 2: The runaway,Sony,8/26/2021,EUA,Infantil,Livre,0,13.053,1.630
Ménage,Ménage,Lira Filmes,3/17/2022,Brasil,Suspense,16,13,12.761,817
Meu tricolor de aço 2 - Um sonho que liberta,Meu tricolor de aço 2 - Um sonho que liberta,Estação Luz Filmes,4/14/2022,Brasil,Documentário,Livre,10,12.263,976
Gyuri,Gyuri,Descoloniza Filmes,7/7/2022,Brasil,Documentário,Livre,9,12.134,1.076
Undine,Undine,Imovision,12/23/2021,Alemanha,Drama,14,0,11.516,796
Seguindo Todos os Protocolos,Seguindo Todos os Protocolos,Vitrine Filmes,6/30/2022,Brasil,Comédia - Dramática,18,11,11.264,1.316
Annette,Annette,Distribuição Própria,12/23/2021,EUA / França,Romance/ Musical,16,0,10.791,552
Vitalina Varela,Vitalina Varela,Zeta Filmes,4/14/2022,Portugal,Drama,12,8,10.663,951
Pequenos guerreiros,Pequenos guerreiros,Sereia Filmes,12/1/2022,Brasil,Infantil,Livre,6,10.656,1.005
Mateína - A Erva Perdida,Mateína,Lança Filmes,3/31/2022,Uruguai / Brasil / Argentina,Comédia,14,6,10.539,822
Top Gun - Ases Indomáveis (1986),Top Gun,Park Circus,8/6/2014,EUA,Ação,12,0,10.519,1.112
Dentro da caixinha - Segredo de criança,Dentro da caixinha - Segredo de criança,Cineart Filmes,3/24/2022,Brasil,Fantasia,Livre,6,10.355,498
Segredos de Putumayo,Segredos de Putumayo,O2 Play,9/1/2022,Brasil,Documentário,14,8,10.119,716
Sociedade do medo,Sociedade do medo,Forte Filmes,10/20/2022,Brasil,Documentário,12,12,9.984,644
"Colmeia, A","Colmeia, A",Lança Filmes,6/30/2022,Brasil,Suspense,16,13,9.843,716
Fortaleza Hotel,Fortaleza Hotel,Vitrine Filmes,1/27/2022,Brasil,Drama,14,14,9.809,964
Meu filho é um craque,Fourmi,Pandora Filmes,11/24/2022,França / Bélgica,Comédia,12,25,9.776,493
Casa de antiguidades,Casa de antiguidades,Pandora Filmes,7/21/2022,Brasil / França,Drama,16,9,9.631,754
No ritmo da vida,Jump Darling,A2 Filmes,3/3/2022,Canadá,Drama,14,9,9.544,493
Lavra,Lavra,Pandora Filmes,10/6/2022,Brasil,Documentário,12,9,9.375,643
"Jangada de Welles, A","Jangada de Welles, A",Sereia Filmes,6/23/2022,Brasil,Documentário,12,9,9.316,774
Fé e fúria,Fé e fúria,Embaúba Filmes,10/13/2022,Brasil,Documentário,14,10,9.284,673
@Arthur.Rambo - Ódio nas redes,Arthur Rambo,Vitrine Filmes,5/12/2022,França,Drama,14,11,8.861,715
Golias,Goliath,Bonfilm,11/24/2022,França,Drama,16,9,8.852,536
Proibido nascer no paraíso,Proibido nascer no paraíso,Boulevard Filmes,4/15/2021,Brasil,Documentário,Livre,0,8.848,1.369
Maior que o mundo,Maior que o mundo,Imagem,8/18/2022,Brasil,Drama,16,17,8.770,351
Mar de dentro,Mar de dentro,California,4/7/2022,Brasil,Drama,14,9,8.715,699
Plano A,Plan A,A2 Filmes,12/1/2022,Alemanha / Israel,Drama,16,5,8.656,448
Human life,Human life,Marques Filmes,3/10/2022,Brasil,Documentário,10,2,8.554,347
Como agradar uma mulher,How to please a woman,A2 Filmes,12/29/2022,Austrália,Drama,14,13,8.492,255
Jesus Kid,Jesus Kid,Olhar Distribuição,6/9/2022,Brasil,Drama,14,13,8.458,716
Mostra-me o Pai,Show me the father,360 WayUp,12/2/2021,EUA,Documentário,10,0,8.338,529
Amigos de risco,Amigos de risco,Inquieta,5/19/2022,Brasil,Drama,14,8,8.201,990
Viúva Negra,Black Widow,Disney,7/8/2021,EUA,Ação,12,0,8.194,1.130
"Boa mãe, A",Bonne Mère,Zeta Filmes,6/2/2022,França,Drama,14,8,8.176,689
Sujeito oculto,Sujeito oculto,Lume,6/23/2022,Brasil,Drama,12,0,8.109,706
Tralala,Tralala,Bonfilm,8/4/2022,França,Musical,14,12,8.031,553
"Mesma parte de um homem, A","Mesma parte de um homem, A",Olhar Distribuição,4/7/2022,Brasil,Drama,16,6,7.877,615
Nunca fomos tão modernos,Nunca fomos tão modernos,Pipa Produções,4/21/2022,Brasil,Comédia - Romântica,14,16,7.684,368
"Presidente improvável, O","Presidente improvável, O",Bretz Filmes,3/31/2022,Brasil,Documentário,10,11,7.615,383
Paixões recorrentes,Paixões recorrentes,O2 Play,8/18/2022,Brasil,Drama,14,7,7.597,485
"Mi iubita, meu amor","Mi iubita, mon amour",Zeta Filmes,9/29/2022,França,Drama,14,9,7.280,525
"Eu, um outro","Eu, um outro",O2 Play,11/10/2022,Brasil,Documentário,14,9,7.215,449
Primavera,Primavera,O2 Play,2/17/2022,Brasil,Drama,14,12,7.024,565
"Se eu contar, você escuta?","Se eu contar, você escuta?",Distribuição Própria,5/19/2022,Brasil,Documentário,14,4,6.839,1.347
Diário de viagem,Diário de viagem,Pandora Filmes,11/17/2022,Brasil,Drama,14,1,6.808,389
Kevin,Kevin,Embaúba Filmes,11/3/2022,Brasil,Documentário,10,12,6.799,487
Desterro,Desterro,Embaúba Filmes,9/22/2022,Brasil / Argentina / Portugal,Drama,12,16,6.693,721
5 casas,5 casas,Lança Filmes,9/8/2022,Brasil / Alemanha,Documentário,12,6,6.567,585
Cordialmente teus,Cordialmente teus,Pandora Filmes,9/22/2022,Brasil,Drama,16,5,6.426,421
"Teoria dos vidros quebrados, A",La teoria de los vidrios rotos,Okna Produções,8/18/2022,Argentina,Comédia,12,2,6.107,463
Shortbus - Remasterizado,Shortbus,Imovision,12/29/2022,EUA,Drama,18,6,6.018,361
"Espera de Liz, A","Espera de Liz, A",Pandora Filmes,3/17/2022,Brasil,Drama,14,19,5.956,589
"Dia para sempre!, Um",Hallo again,A2 Filmes,6/9/2022,Alemanha,Comédia - Romântica,12,5,5.740,345
Tantas Almas,Tantas Almas,Vitrine Filmes,5/26/2022,Colômbia / Brasil / Bélgica,Drama,14,13,5.554,702
"Queda, A (BR)","Queda, A (BR)",O2 Play,7/14/2022,Brasil,Drama,16,7,5.455,320
Fabian - O mundo está acabando,Fabian - Going to the dogs,Zeta Filmes,3/10/2022,Alemanha,Drama,16,6,5.245,454
Enquanto estamos aqui,Enquanto estamos aqui,Pique-Bandeira Filmes,10/6/2022,Brasil,Documentário,12,6,5.211,362
"Bravos nunca se calam, Os","Bravos nunca se calam, Os",Lança Filmes,11/17/2022,Brasil,Comédia,12,10,5.121,332
"Rio de Janeiro de Ho Chi Minh, O","Rio de Janeiro de Ho Chi Minh, O",Pipa Produções,7/14/2022,Brasil,Drama,14,7,5.093,338
Como matar a Besta,Matar a la Bestia,Vitrine Filmes,4/28/2022,Argentina / Brasil / Chile,Drama,14,11,4.916,675
Pajeú,Pajeú,Embaúba Filmes,3/31/2022,Brasil,Drama,12,10,4.794,479
Aldeotas,Aldeotas,Gullane Distribuidora,11/10/2022,Brasil,Drama,14,1,4.740,561
"Fantástica fábrica de golpes, A",The coup d`état factory,Quechua Films,9/1/2022,Brasil,Documentário,12,2,4.526,304
Curtas jornadas noite adentro,Curtas jornadas noite adentro,Livres Filmes,9/15/2022,Brasil,Drama,16,12,4.498,460
"Diário para Jordan: Memórias de amor e perda, Um",A journal for Jordan,Sony,4/28/2022,EUA,Drama,14,2,4.414,227
Diários de Otsoga,Diários de Otsoga,Vitrine Filmes,7/21/2022,França / Portugal,Drama,12,6,4.378,343
Rio de vozes,Rio de vozes,Pandora Filmes,2/17/2022,Brasil,Documentário,10,6,4.296,350
Meu tio José,Meu tio José,Fênix Filmes,10/27/2022,Brasil,Animação,14,9,4.263,256
Desaparecidos,Vanishing,A2 Filmes,8/4/2022,França,Policial,16,4,4.106,184
Aquilo que eu nunca perdi,Aquilo que eu nunca perdi,Descoloniza Filmes,9/8/2022,Brasil,Documentário,12,8,4.101,322
"Morte habita à noite, A","Morte habita à noite, A",Vitrine Filmes,12/15/2022,Brasil,Drama,16,11,4.033,452
Quem tem medo?,Quem tem medo?,Embaúba Filmes,8/4/2022,Brasil,Documentário,14,8,3.986,293
Deus tem aids,Deus tem aids,Vitrine Filmes,12/1/2022,Brasil,Documentário,18,14,3.741,357
Tambores da diáspora,Tambores da diáspora,Distribuição Própria,3/17/2022,Brasil,Documentário,Livre,1,3.365,216
Transversais,Transversais,Deberton Filmes,2/24/2022,Brasil,Documentário,10,2,3.125,180
Rebento,Rebento,Distribuição Própria,5/5/2022,Brasil,Drama,14,1,3.120,491
Coisa pública,Coisa pública,Distribuição Própria,9/22/2022,Brasil,Drama,18,2,2.954,151
Milagre das águas,Milagre das águas,Distribuição Própria,9/15/2022,Brasil,Drama,12,1,2.695,147
Mudança,Mudança,Elo Studios,9/29/2022,Brasil,Drama,16,1,2.691,266
"Grande Irmão - O dia que durou 21 anos 2, O","Grande Irmão - O dia que durou 21 anos 2, O",Elo Studios,9/8/2022,Brasil,Documentário,14,1,2.650,163
Pão e gente,Pão e gente,Embaúba Filmes,5/5/2022,Brasil,Drama,12,1,2.583,149
Dissonantes,Dissonantes,Disney,6/23/2022,Brasil,Comédia,16,5,2.583,159
Virar mar,Meer werden,Vitrine Filmes,7/28/2022,Alemanha / Brasil,Documentário,10,9,2.572,337
"Tablado e Maria Clara Machado, O","Tablado e Maria Clara Machado, O",Gravinart Produções Artísticas,12/8/2022,Brasil,Documentário,Livre,2,2.492,231
Fora de cena,Fora de cena,Kinopus/Elo Studios,2/17/2022,Brasil,Drama,16,1,2.335,146
Fado tropical,Fado tropical,Distribuição Própria,7/28/2022,Brasil / Portugal,Drama,14,1,2.329,274
Contatado,Contatado,Pandora Filmes,10/13/2022,Brasil / Noruega / Peru / Venezuela,Drama,14,5,2.301,134
Contágio zero,Hall,Cinecolor,8/4/2022,Canadá,Terror,14,5,2.234,103
"Professora de violino, A",Das vorspiel,Filmicca,3/17/2022,Alemanha / França,Drama,14,3,2.216,344
Mirador,Mirador,Olhar Distribuição,5/5/2022,Brasil,Drama,16,5,1.969,235
Última cidade,Última cidade,Marrevolto Filmes,7/21/2022,Brasil,Drama,14,3,1.826,205
Los conductos,Los conductos,Olhar Distribuição,8/18/2022,Colômbia,Drama,16,5,1.814,104
"Cadeiras, As","Cadeiras, As",Distribuição Própria,10/13/2022,Brasil,Drama,Livre,1,1.785,124
Breve história do planeta verde,Breve história do planeta verde,Embaúba Filmes,12/1/2022,Argentina / Brasil,Fantasia,12,10,1.755,154
Brado,Brado,Distribuição Própria,11/25/2022,Itália,Drama,16,1,1.673,160
Sapato 36,Sapato 36,Cavídeo,8/4/2022,Brasil,Documentário,12,10,1.667,238
"Ossos da saudade, Os","Ossos da saudade, Os",Olhar Distribuição,9/22/2022,Brasil / Portugal / Angola,Documentário,Livre,3,1.473,123
Esse fim de semana,Ese fin de semana,Pandora Filmes,3/10/2022,Argentina / Brasil,Drama,12,2,1.469,103
"Escravos de Jó, Os","Escravos de Jó, Os",Sereia Filmes,9/29/2022,Brasil,Drama,14,1,1.448,183
Passagem secreta,Passagem secreta,A2 Filmes,1/27/2022,Brasil,Drama,10,5,1.441,90
"Batalha de Shangri-lá, A","Batalha de Shangri-lá, A",Moro Filmes,8/11/2022,Brasil,Suspense,14,4,1.412,91
"Trem da utopia, O","Trem da utopia, O",Distribuição Própria,5/12/2022,Brasil,Documentário,12,4,1.398,68
Brasileiríssima - A história da telenovela,Brasileiríssima - A história da telenovela,Bretz Filmes,6/9/2022,Brasil,Documentário,12,3,1.343,83
Êxtase,Êxtase,Descoloniza Filmes,12/1/2022,Brasil,Drama,16,6,1.252,112
Platamama,Platamama,Paideia Filmes,8/4/2022,Brasil,Documentário,Livre,1,1.163,51
Armadilha explosiva,Blast,A2 Filmes,6/16/2022,França,Suspense,14,2,1.155,61
Lola e o mar,Lola vers la mer,Filmicca,4/14/2022,Bélgica / França,Drama,14,2,1.141,115
"Ivan, o TerriRvel","Ivan, o TerriRvel",Fênix Filmes,9/15/2022,Brasil,Documentário,14,1,1.104,99
Escrita íntima,Escrita íntima,Gullane Distribuidora,6/9/2022,Brasil / Portugal,Documentário,12,3,1.037,55
Mulheres de Havana,Mulheres de Havana,Distribuição Própria,12/15/2022,Brasil,Documentário,10,1,817,48
No outro encontro você,No outro encontro você,Bretz Filmes,9/29/2022,Brasil,Drama,14,2,730,40
"Reflexo do lago, O","Reflexo do lago, O",Elo Studios,8/11/2022,Brasil,Documentário,Livre,1,714,92
"Comedy club, O","Comedy club, O",SuperOito Produções,10/27/2022,Brasil,Comédia,12,3,699,106
Toada para José Siqueira,Toada para José Siqueira,Distribuição Própria,6/2/2022,Brasil,Documentário,Livre,1,680,117
Otto - de trás p/ diante,Otto - de trás p/ diante,Cavídeo,12/29/2022,Brasil,Documentário,12,1,608,52
Visões do império,Visões do império,Bretz Filmes,3/10/2022,Portugal,Documentário,12,2,578,31
Nunca mais serei a mesma,Nunca mais serei a mesma,Bretz Filmes,12/1/2022,Brasil,Documentário,14,1,577,28
"Boas vidas, Os",I vitelloni,FJ Cines,9/8/2022,França / Itália,Comédia,14,1,528,70
Arthur Moreira Lima - Um piano para todos,Arthur Moreira Lima - Um piano para todos,A2 Filmes,11/10/2022,Brasil,Documentário,10,1,522,33
Poetas do céu,Poetas del cielo,Pandora Filmes,7/28/2022,Brasil / França / México,Documentário,12,1,506,39
Porfírio do Amaral - A verdade sobre o samba,Porfírio do Amaral - A verdade sobre o samba,Moro Filmes,12/1/2022,Brasil,Documentário,10,2,493,38
Brasil África - Um elo natural,Brasil África - Um elo natural,Bretz Filmes,7/28/2022,Brasil,Documentário,10,2,481,26
Suzanne Daveau,Suzanne Daveau,Bretz Filmes,5/26/2022,Portugal,Documentário,Livre,3,455,33
"Voz da lua, A",La voce della luna,FJ Cines,9/8/2022,França / Itália,Comédia,14,1,448,58
"Almas que dançam no escuro, As","Almas que dançam no escuro, As",Elite Filmes,12/29/2022,Brasil,Suspense,14,3,425,18
"Quarto ao lado, O","Quarto ao lado, O",Distribuição Própria,12/15/2022,Brasil,Drama,14,1,412,23
Mato seco em chamas,Mato seco em chamas,Vitrine Filmes,10/27/2022,Brasil / Portugal,Documentário,14,0,411,45
Muribeca,Muribeca,Descoloniza Filmes,8/25/2022,Brasil,Documentário,14,1,362,53
7 Cortes de cabelo no Congo,7 Cortes de cabelo no Congo,Consciência Negra,11/3/2022,Brasil,Documentário,14,1,298,79
Em busca do U-513,Em busca do U-513,Distribuição Própria,1/27/2022,Brasil,Documentário,10,1,269,14
"Rogai por nós, os santos no Brasil","Rogai por nós, os santos no Brasil",Film Connection,5/5/2022,Brasil,Documentário,12,2,245,11
"Noite antes do Natal, Uma","Noite antes do Natal, Uma",Tortuga Studios,12/22/2022,Brasil,Animação,Livre,1,226,13
Alice no mundo da internet,Alice no mundo da internet,Synapse,12/22/2022,Brasil,Infantil,Livre,2,179,13
#,# (Hashtag),Distribuição Própria,12/8/2022,Brasil,Drama,16,1,156,7
"Último País, O",El ultimo Pais,CUP Filmes,6/2/2022,Cuba / Brasil / Angola,Documentário,10,1,101,16
"Curto verão de Hilda, O",Las Vacaciones de Hilda,Conexão Cultural,11/10/2022,Uruguai / Brasil,Drama,16,1,98,6
"Disco normal, Um","Disco normal, Um",Distribuição Própria,11/24/2022,Brasil,Documentário,16,1,86,25
"Encantado, o Brasil em desencanto","Encantado, o Brasil em desencanto",Distribuição Própria,12/12/2022,Brasil / França,Documentário,Livre,1,82,22
Fabiana,Fabiana,Olhar Distribuição,3/10/2022,Brasil,Documentário,12,1,80,38
Procura-se,Procura-se,Warner,11/25/2022,Brasil,Comédia - Romântica,14,1,40,2
"Josey Wales, o fora da lei",The Outlaw Josey Wales,Warner,1/20/2022,EUA,Faroeste,16,1,33,3
Ewé de Òsányìn: O segredo das folhas,Ewé de Òsányìn: O segredo das folhas,Consciência Negra,11/10/2022,Brasil,Animação,10,1,22,9
"Imperdoáveis, Os",Unforgiven,Warner,1/20/2022,EUA,Faroeste,14,1,22,2
"Máquina infernal, A","Máquina infernal, A",Embaúba Filmes,5/5/2022,Brasil,Drama,12,2,19,3
Alice dos Anjos,Alice dos Anjos,Elo Studios,11/24/2022,Brasil,Fantasia,Livre,1,18,8
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Eternos,The eternals,Disney,11/4/2021,EUA,Ação,10,0,7.805,656
Patrulha Canina - O filme,Paw Patrol - The movie,Paramount,9/9/2021,EUA,Animação,Livre,0,7.227,846
Ron bugado,Ron's gone wrong,Disney,10/21/2021,EUA,Animação,Livre,0,7.054,635
"Família Addams 2 - Pé na estrada, A",The Addams family 2,Universal,10/28/2021,EUA,Animação,Livre,0,6.923,913
Harry Potter e a pedra filosofal,Harry Potter and the Philosopher's Stone,Warner,11/23/2001,EUA / Reino Unido,Aventura,Livre,0,6.554,249
"Última noite, A",Silent night,Paris,12/23/2021,Inglaterra,Suspense,16,0,5.839,300
Shang-Chi e a lenda dos dez anéis,Shang-Chi and the legend of the ten rings,Disney,9/2/2021,EUA,Ação,12,0,5.460,715
Missão resgate,The ice road,Imagem,12/9/2021,EUA,Suspense,14,0,5.333,322
Hotel Transilvânia 3 - Férias monstruosas,Hotel Transylvania 3 - Summer vacation,Sony,7/12/2018,EUA,Animação,,0,5.103,617
"Jardim das aflições, O","Jardim das aflições, O",Distribuição Própria,6/1/2017,Brasil,Documentário,,0,4.855,191
"Parque dos sonhos, O",Wonder park,Paramount,3/14/2019,EUA,Animação,Livre,0,4.316,552
Raya e o último dragão,Raya and the last dragon,Disney,3/4/2021,EUA,Animação,10,0,3.967,409
Nós duas,Deux,Imovision,12/16/2021,França,Drama,,0,3.789,389
"Hora do pesadelo, A",A Nightmare on Elm Street,Warner,5/7/2010,EUA,Horror,16,0,3.697,317
Pacarrete,Pacarrete,Vitrine Filmes,11/26/2020,Brasil,Drama,12,0,3.645,570
Azor,Azor,Vitrine Filmes,12/16/2021,Suíça / França / Argentina,Drama,12,0,3.584,288
Nosferatu,Nosferatu,Park Circus,9/17/2015,Alemanha,Terror,,0,3.330,298
"Vez em Veneza, Uma",When in Venice,Zapata Filmes,11/11/2021,Itália / Brasil,Romance,12,0,3.113,186
"Abelhinha Maya - E o ovo dourado, A",Maya the bee 3 - The golden orb,Playarte,9/23/2021,Alemanha / Austrália,Animação,Livre,0,3.060,370
Cruella,Cruella,Disney,5/27/2021,EUA,Comédia,12,0,2.791,345
Sonic - O filme,Sonic the hedgehog,Paramount,2/13/2020,Japão / EUA,Aventura,Livre,0,2.741,343
007 - Sem tempo para morrer,No time to die,Universal,9/30/2021,EUA / Reino Unido,Ação,14,0,2.700,108
Show / Esporte,Show / Esporte,Show/Esporte,1/1/2012,,,,0,2.664,222
Extraordinário,Wonder,Paris,12/7/2017,EUA,Drama,10,0,2.649,171
Homem-Aranha no Aranhaverso,Spider-Man into the Spider-Verse,Sony,1/10/2019,EUA,Animação,10,0,2.633,323
Bye bye Brasil (1980),Bye bye Brasil (1980),Distribuição Própria,2/8/1980,Brasil / Argentina / França,Drama,,0,2.457,248
Amarelo manga,Amarelo manga,Riofilme,8/15/2003,Brasil,,,0,2.381,300
Madame Satã,,Lumière,11/8/2002,Brasil,,,0,2.312,284
Mulher-Maravilha 1984,Wonder Woman 1984,Warner,12/17/2020,EUA,Aventura,10,0,2.282,304
Cidade de Deus,Cidade de Deus,Lumière,8/30/2002,Brasil,,,0,2.233,248
Scooby Doo,,Warner,10/4/2002,,,,0,2.211,191
Hélio Oiticica,Hélio Oiticica,Nossa,7/31/2014,Brasil,Documentário,,0,2.150,235
Currais,Currais,O2 Play,4/1/2021,Brasil,Documentário,12,0,2.104,214
Sangre,Sangre,Distribuição Própria,12/3/2020,Argentina,Drama,16,0,2.030,77
Yalda - Uma noite de perdão,Yalda - A night for forgiveness,Imovision,12/9/2021,França / Alemanha / Suíça,Drama,12,0,2.024,169
Deus não está morto - O próximo capítulo,God's not dead - We the people,California,11/11/2021,EUA,Drama,10,0,1.976,202
"História de família, Uma","Family Romance, LCC",Arteplex Filmes,10/28/2021,EUA,Drama,12,0,1.900,184
"Mão de deus, A",The hand of god,O2 Play,12/2/2021,Itália,Drama,16,0,1.888,241
Família monstro 2,Monster family 2,Paris,12/9/2021,EUA,Animação,Livre,0,1.815,214
"Professora de piano, A",,Mais Filmes,3/29/2002,EUA,Drama,,0,1.776,190
Sertânia,Sertânia,Bretz Filmes,12/3/2020,Brasil,Faroeste,14,0,1.757,306
Cantando na chuva (1952),Singin' in the Rain,Warner,7/30/2020,EUA,Comédia - Musical,,0,1.752,487
"Lutar, lutar, lutar","Lutar, lutar, lutar",Embaúba Filmes,11/11/2021,Brasil,Documentário,12,0,1.742,160
Nove dias,Nine days,Sony,12/9/2021,EUA,Drama,14,0,1.738,86
Terremoto,The quake,California,3/12/2020,Noruega,Ação,14,0,1.600,97
